date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
26:43.4,1,500,524,0,500,75.00%,57.02%,75.00%,75.00%,75.00%,73.85%,75.00%
32:10.8,2,500,524,0,500,82.00%,56.28%,82.00%,82.00%,82.00%,81.74%,78.50%
37:32.4,3,500,524,0,500,87.00%,34.87%,87.00%,87.00%,87.00%,86.84%,81.33%
42:54.5,4,500,524,0,500,84.00%,44.96%,84.00%,84.00%,84.00%,83.68%,82.00%
48:14.9,5,500,524,0,500,88.00%,30.66%,88.00%,88.00%,88.00%,87.92%,83.20%
53:40.6,1,500,531,500,1000,77.00%,46.01%,77.00%,77.00%,77.00%,76.98%,77.00%
59:02.4,2,500,531,500,1000,80.00%,53.11%,80.00%,80.00%,80.00%,79.47%,78.50%
04:23.4,3,500,531,500,1000,74.00%,60.69%,74.00%,74.00%,74.00%,73.91%,77.00%
09:44.7,4,500,531,500,1000,79.00%,58.93%,79.00%,79.00%,79.00%,78.38%,77.50%
15:07.6,5,500,531,500,1000,76.00%,91.74%,76.00%,76.00%,76.00%,75.65%,77.20%
20:31.2,1,500,522,1000,1500,84.00%,46.20%,84.00%,84.00%,84.00%,84.00%,84.00%
25:53.8,2,500,522,1000,1500,78.00%,82.13%,78.00%,78.00%,78.00%,75.12%,81.00%
31:14.5,3,500,522,1000,1500,82.00%,41.38%,82.00%,82.00%,82.00%,80.47%,81.33%
36:35.0,4,500,522,1000,1500,78.00%,59.67%,78.00%,78.00%,78.00%,77.92%,80.50%
41:54.7,5,500,522,1000,1500,82.00%,41.19%,82.00%,82.00%,82.00%,80.47%,80.80%
47:30.3,1,500,541,1500,2000,84.00%,45.44%,84.00%,84.00%,84.00%,83.97%,84.00%
52:59.8,2,500,541,1500,2000,81.00%,39.66%,81.00%,81.00%,81.00%,80.95%,82.50%
58:32.5,3,500,541,1500,2000,88.00%,35.15%,88.00%,88.00%,88.00%,88.00%,84.33%
04:01.6,4,500,541,1500,2000,86.00%,38.23%,86.00%,86.00%,86.00%,85.99%,84.75%
09:27.4,5,500,541,1500,2000,72.00%,74.48%,72.00%,72.00%,72.00%,69.62%,82.20%
14:51.9,1,500,525,2000,2500,84.00%,45.65%,84.00%,84.00%,84.00%,83.90%,84.00%
20:13.5,2,500,525,2000,2500,77.00%,63.21%,77.00%,77.00%,77.00%,76.94%,80.50%
