date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc,,,,,,,,,,,,,
50:23.9,1,500,530,0,500,72.00%,56.34%,72.00%,72.00%,72.00%,69.97%,72.00%,,,,,,,,,,,,,
55:42.2,2,500,530,0,500,86.00%,45.82%,86.00%,86.00%,86.00%,85.80%,79.00%,,,,,,,,,,,,,
00:57.1,3,500,530,0,500,82.00%,35.85%,82.00%,82.00%,82.00%,81.74%,80.00%,,,,,,,,,,,,,
06:09.1,4,500,530,0,500,87.00%,38.52%,87.00%,87.00%,87.00%,86.89%,81.75%,,,,,,,,,,,,,
11:18.6,5,500,530,0,500,87.00%,30.99%,87.00%,87.00%,87.00%,86.97%,82.80%,,,,,,,,,,,,,
16:34.4,1,500,530,500,1000,80.00%,44.08%,80.00%,80.00%,80.00%,79.71%,80.00%,,,,,,,,,,,,,
21:44.3,2,500,530,500,1000,75.00%,57.49%,75.00%,75.00%,75.00%,73.60%,77.50%,,,,,,,,,,,,,
26:55.0,3,500,530,500,1000,70.00%,54.60%,70.00%,70.00%,70.00%,66.58%,75.00%,,,,,,,,,,,,,
32:05.2,4,500,530,500,1000,86.00%,36.67%,86.00%,86.00%,86.00%,85.95%,77.75%,,,,,,,,,,,,,
37:17.0,5,500,530,500,1000,83.00%,37.84%,83.00%,83.00%,83.00%,82.96%,78.80%,,,,,,,,,,,,,
42:35.2,1,500,535,1000,1500,80.00%,57.40%,80.00%,80.00%,80.00%,79.60%,80.00%,,,,,,,,,,,,,
47:49.6,2,500,535,1000,1500,74.00%,72.56%,74.00%,74.00%,74.00%,73.83%,77.00%,,,,,,,,,,,,,
53:04.7,3,500,535,1000,1500,82.00%,56.68%,82.00%,82.00%,82.00%,81.64%,78.67%,,,,,,,,,,,,,
58:19.3,4,500,535,1000,1500,77.00%,95.41%,77.00%,77.00%,77.00%,76.89%,78.25%,,,,,,,,,,,,,
03:33.5,5,500,535,1000,1500,79.00%,59.84%,79.00%,79.00%,79.00%,78.90%,78.40%,,,,,,,,,,,,,
08:47.2,1,500,525,1500,2000,95.00%,19.46%,95.00%,95.00%,95.00%,94.54%,95.00%,,,,,,,,,,,,,
13:57.6,2,500,525,1500,2000,54.00%,99.04%,54.00%,54.00%,54.00%,53.08%,74.50%,,,,,,,,,,,,,
19:06.9,3,500,525,1500,2000,95.00%,19.54%,95.00%,95.00%,95.00%,94.54%,81.33%,,,,,,,,,,,,,
24:15.9,4,500,525,1500,2000,92.00%,24.90%,92.00%,92.00%,92.00%,91.42%,84.00%,,,,,,,,,,,,,
29:25.6,5,500,525,1500,2000,89.00%,22.35%,89.00%,89.00%,89.00%,88.27%,85.00%,,,,,,,,,,,,,
34:43.4,1,500,532,2000,2500,80.00%,47.00%,80.00%,80.00%,80.00%,79.60%,80.00%,,,,,,,,,,,,,
