date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
50:01.0,1,500,400,0,500,82.00%,44.45%,82.00%,82.00%,82.00%,81.82%,82.00%
54:11.8,2,500,400,0,500,92.00%,21.67%,92.00%,92.00%,92.00%,92.00%,87.00%
58:25.9,3,500,400,0,500,90.00%,23.92%,90.00%,90.00%,90.00%,89.96%,88.00%
02:33.8,4,500,400,0,500,68.00%,60.19%,68.00%,68.00%,68.00%,64.35%,83.00%
06:45.2,5,500,400,0,500,82.00%,35.93%,82.00%,82.00%,82.00%,81.93%,82.80%
10:57.6,1,500,400,500,1000,82.00%,40.83%,82.00%,82.00%,82.00%,81.64%,82.00%
15:06.9,2,500,400,500,1000,84.00%,41.89%,84.00%,84.00%,84.00%,83.33%,83.00%
19:17.8,3,500,400,500,1000,76.00%,46.61%,76.00%,76.00%,76.00%,73.26%,80.67%
23:25.8,4,500,400,500,1000,90.00%,34.32%,90.00%,90.00%,90.00%,89.80%,83.00%
27:36.7,5,500,400,500,1000,82.00%,42.15%,82.00%,82.00%,82.00%,81.40%,82.80%
31:50.0,1,500,400,1000,1500,82.00%,37.51%,82.00%,82.00%,82.00%,81.99%,82.00%
35:58.7,2,500,400,1000,1500,86.00%,31.00%,86.00%,86.00%,86.00%,85.72%,84.00%
40:08.6,3,500,400,1000,1500,82.00%,67.06%,82.00%,82.00%,82.00%,81.93%,83.33%
44:17.9,4,500,400,1000,1500,78.00%,57.45%,78.00%,78.00%,78.00%,77.78%,82.00%
48:27.3,5,500,400,1000,1500,82.00%,48.31%,82.00%,82.00%,82.00%,81.93%,82.00%
52:38.8,1,500,400,1500,2000,86.00%,31.15%,86.00%,86.00%,86.00%,85.95%,86.00%
56:45.1,2,500,400,1500,2000,84.00%,36.52%,84.00%,84.00%,84.00%,83.02%,85.00%
00:54.5,3,500,400,1500,2000,82.00%,49.25%,82.00%,82.00%,82.00%,81.64%,84.00%
05:03.5,4,500,400,1500,2000,74.00%,80.50%,74.00%,74.00%,74.00%,69.61%,81.50%
09:12.4,5,500,400,1500,2000,80.00%,48.87%,80.00%,80.00%,80.00%,77.72%,81.20%
13:25.1,1,500,400,2000,2500,88.00%,43.91%,88.00%,88.00%,88.00%,86.98%,88.00%
17:35.3,2,500,400,2000,2500,68.00%,83.35%,68.00%,68.00%,68.00%,68.00%,78.00%
21:43.8,3,500,400,2000,2500,70.00%,78.32%,70.00%,70.00%,70.00%,69.99%,75.33%
25:54.1,4,500,400,2000,2500,82.00%,39.27%,82.00%,82.00%,82.00%,79.65%,77.00%
30:05.0,5,500,400,2000,2500,78.00%,48.49%,78.00%,78.00%,78.00%,77.92%,77.20%
34:20.0,1,500,400,2500,3000,86.00%,32.74%,86.00%,86.00%,86.00%,85.86%,86.00%
38:30.2,2,500,400,2500,3000,78.00%,48.45%,78.00%,78.00%,78.00%,77.56%,82.00%
42:39.0,3,500,400,2500,3000,84.00%,38.59%,84.00%,84.00%,84.00%,83.97%,82.67%
46:48.8,4,500,400,2500,3000,80.00%,43.47%,80.00%,80.00%,80.00%,79.71%,82.00%
