date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-11-01 02:28:34.597037,1,500,300,0,500,48.00%,69.94%,48.00%,48.00%,48.00%,35.52%,48.00%
2022-11-01 02:28:39.142439,2,500,300,0,500,54.00%,70.03%,54.00%,54.00%,54.00%,47.99%,51.00%
2022-11-01 02:28:42.474049,3,500,300,0,500,46.00%,69.82%,46.00%,46.00%,46.00%,42.70%,49.33%
2022-11-01 02:28:47.068833,4,500,300,0,500,55.00%,68.78%,55.00%,55.00%,55.00%,53.31%,50.75%
2022-11-01 02:28:51.059797,5,500,300,0,500,48.00%,71.17%,48.00%,48.00%,48.00%,41.20%,50.20%
2022-11-01 02:28:55.526855,6,500,300,0,500,55.00%,69.97%,55.00%,55.00%,55.00%,55.00%,51.00%
2022-11-01 02:28:59.779303,7,500,300,0,500,49.00%,70.07%,49.00%,49.00%,49.00%,43.58%,50.71%
2022-11-01 02:29:04.473167,8,500,300,0,500,55.00%,69.68%,55.00%,55.00%,55.00%,54.23%,51.25%
2022-11-01 02:29:07.403710,9,500,300,0,500,54.00%,69.32%,54.00%,54.00%,54.00%,53.98%,51.56%
2022-11-01 02:29:11.831659,10,500,300,0,500,61.00%,69.35%,61.00%,61.00%,61.00%,60.52%,52.50%
2022-11-01 02:29:22.781925,1,500,300,500,1000,58.00%,66.05%,58.00%,58.00%,58.00%,57.85%,58.00%
2022-11-01 02:29:27.128404,2,500,300,500,1000,59.00%,68.14%,59.00%,59.00%,59.00%,57.46%,58.50%
2022-11-01 02:29:31.623661,3,500,300,500,1000,61.00%,67.41%,61.00%,61.00%,61.00%,60.96%,59.33%
2022-11-01 02:29:35.973964,4,500,300,500,1000,59.00%,65.72%,59.00%,59.00%,59.00%,58.96%,59.25%
2022-11-01 02:29:39.842186,5,500,300,500,1000,56.00%,67.75%,56.00%,56.00%,56.00%,55.56%,58.60%
2022-11-01 02:29:44.110106,6,500,300,500,1000,53.00%,67.58%,53.00%,53.00%,53.00%,52.96%,57.67%
2022-11-01 02:29:48.764256,7,500,300,500,1000,64.00%,66.14%,64.00%,64.00%,64.00%,63.77%,58.57%
2022-11-01 02:29:53.244690,8,500,300,500,1000,68.00%,66.60%,68.00%,68.00%,68.00%,67.36%,59.75%
2022-11-01 02:29:57.600584,9,500,300,500,1000,62.00%,67.27%,62.00%,62.00%,62.00%,61.98%,60.00%
2022-11-01 02:30:02.111601,10,500,300,500,1000,54.00%,67.26%,54.00%,54.00%,54.00%,54.00%,59.40%
2022-11-01 02:30:11.381163,1,500,300,1000,1500,48.00%,70.19%,48.00%,48.00%,48.00%,42.07%,48.00%
2022-11-01 02:30:14.541856,2,500,300,1000,1500,46.00%,73.47%,46.00%,46.00%,46.00%,35.71%,47.00%
2022-11-01 02:30:18.369949,3,500,300,1000,1500,43.00%,72.40%,43.00%,43.00%,43.00%,30.07%,45.67%
2022-11-01 02:30:21.568705,4,500,300,1000,1500,58.00%,68.18%,58.00%,58.00%,58.00%,57.93%,48.75%
2022-11-01 02:30:24.951145,5,500,300,1000,1500,44.00%,73.09%,44.00%,44.00%,44.00%,32.01%,47.80%
2022-11-01 02:30:27.832566,6,500,300,1000,1500,44.00%,73.91%,44.00%,44.00%,44.00%,33.33%,47.17%
2022-11-01 02:30:31.215169,7,500,300,1000,1500,41.00%,71.63%,41.00%,41.00%,41.00%,31.64%,46.29%
2022-11-01 02:30:34.768591,8,500,300,1000,1500,57.00%,68.03%,57.00%,57.00%,57.00%,56.65%,47.62%
2022-11-01 02:30:38.511231,9,500,300,1000,1500,43.00%,78.55%,43.00%,43.00%,43.00%,30.07%,47.11%
2022-11-01 02:30:41.670028,10,500,300,1000,1500,43.00%,73.13%,43.00%,43.00%,43.00%,30.07%,46.70%
2022-11-01 02:30:51.947362,1,500,300,1500,2000,60.00%,67.00%,60.00%,60.00%,60.00%,59.98%,60.00%
2022-11-01 02:30:56.203774,2,500,300,1500,2000,66.00%,65.97%,66.00%,66.00%,66.00%,66.00%,63.00%
2022-11-01 02:31:00.607619,3,500,300,1500,2000,67.00%,65.92%,67.00%,67.00%,67.00%,66.24%,64.33%
2022-11-01 02:31:03.740078,4,500,300,1500,2000,56.00%,68.56%,56.00%,56.00%,56.00%,55.93%,62.25%
2022-11-01 02:31:07.979400,5,500,300,1500,2000,58.00%,65.71%,58.00%,58.00%,58.00%,50.91%,61.40%
2022-11-01 02:31:12.584005,6,500,300,1500,2000,60.00%,66.58%,60.00%,60.00%,60.00%,58.66%,61.17%
2022-11-01 02:31:16.947589,7,500,300,1500,2000,65.00%,64.87%,65.00%,65.00%,65.00%,63.05%,61.71%
2022-11-01 02:31:19.674571,8,500,300,1500,2000,52.00%,69.55%,52.00%,52.00%,52.00%,34.21%,60.50%
2022-11-01 02:31:23.312713,9,500,300,1500,2000,48.00%,69.15%,48.00%,48.00%,48.00%,46.26%,59.11%
2022-11-01 02:31:27.805548,10,500,300,1500,2000,59.00%,67.13%,59.00%,59.00%,59.00%,58.80%,59.10%
2022-11-01 02:31:38.334899,1,500,300,2000,2500,62.00%,67.01%,62.00%,62.00%,62.00%,61.76%,62.00%
2022-11-01 02:31:42.731016,2,500,300,2000,2500,57.00%,67.69%,57.00%,57.00%,57.00%,55.72%,59.50%
2022-11-01 02:31:47.050946,3,500,300,2000,2500,57.00%,67.52%,57.00%,57.00%,57.00%,56.26%,58.67%
2022-11-01 02:31:51.313620,4,500,300,2000,2500,59.00%,67.02%,59.00%,59.00%,59.00%,50.72%,58.75%
2022-11-01 02:31:55.348669,5,500,300,2000,2500,58.00%,67.59%,58.00%,58.00%,58.00%,38.81%,58.60%
2022-11-01 02:31:59.550387,6,500,300,2000,2500,59.00%,67.24%,59.00%,59.00%,59.00%,55.78%,58.67%
2022-11-01 02:32:03.990204,7,500,300,2000,2500,51.00%,69.38%,51.00%,51.00%,51.00%,45.01%,57.57%
2022-11-01 02:32:07.226043,8,500,300,2000,2500,45.00%,70.97%,45.00%,45.00%,45.00%,41.33%,56.00%
2022-11-01 02:32:10.791232,9,500,300,2000,2500,59.00%,67.62%,59.00%,59.00%,59.00%,49.70%,56.33%
2022-11-01 02:32:13.363909,10,500,300,2000,2500,45.00%,71.04%,45.00%,45.00%,45.00%,43.73%,55.20%
2022-11-01 02:32:23.826725,1,500,300,2500,3000,61.00%,67.04%,61.00%,61.00%,61.00%,58.40%,61.00%
2022-11-01 02:32:28.350464,2,500,300,2500,3000,61.00%,65.31%,61.00%,61.00%,61.00%,60.96%,61.00%
2022-11-01 02:32:31.438036,3,500,300,2500,3000,50.00%,69.30%,50.00%,50.00%,50.00%,49.92%,57.33%
2022-11-01 02:32:34.680273,4,500,300,2500,3000,48.00%,69.37%,48.00%,48.00%,48.00%,32.43%,55.00%
2022-11-01 02:32:38.847569,5,500,300,2500,3000,61.00%,64.97%,61.00%,61.00%,61.00%,60.10%,56.20%
2022-11-01 02:32:43.182160,6,500,300,2500,3000,59.00%,66.69%,59.00%,59.00%,59.00%,54.64%,56.67%
