date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-11-04 15:18:07.391129,1,500,524,0,500,61.00%,67.88%,61.00%,61.00%,61.00%,60.68%,61.00%
2022-11-04 15:18:12.207130,2,500,524,0,500,49.00%,70.58%,49.00%,49.00%,49.00%,39.85%,55.00%
2022-11-04 15:18:17.042081,3,500,524,0,500,53.00%,69.43%,53.00%,53.00%,53.00%,43.50%,54.33%
2022-11-04 15:18:22.179964,4,500,524,0,500,60.00%,67.10%,60.00%,60.00%,60.00%,59.86%,55.75%
2022-11-04 15:18:27.197175,5,500,524,0,500,54.00%,67.81%,54.00%,54.00%,54.00%,48.75%,55.40%
2022-11-04 15:18:32.433320,6,500,524,0,500,63.00%,67.67%,63.00%,63.00%,63.00%,61.29%,56.67%
2022-11-04 15:18:37.257376,7,500,524,0,500,56.00%,69.02%,56.00%,56.00%,56.00%,55.36%,56.57%
2022-11-04 15:18:41.095153,8,500,524,0,500,49.00%,70.42%,49.00%,49.00%,49.00%,34.54%,55.63%
2022-11-04 15:18:45.906808,9,500,524,0,500,54.00%,68.63%,54.00%,54.00%,54.00%,50.09%,55.44%
2022-11-04 15:18:48.636371,10,500,524,0,500,52.00%,68.85%,52.00%,52.00%,52.00%,34.21%,55.10%
2022-11-04 15:19:00.281197,1,500,531,500,1000,55.00%,67.62%,55.00%,55.00%,55.00%,54.96%,55.00%
2022-11-04 15:19:05.129182,2,500,531,500,1000,59.00%,66.75%,59.00%,59.00%,59.00%,58.30%,57.00%
2022-11-04 15:19:10.005435,3,500,531,500,1000,61.00%,66.59%,61.00%,61.00%,61.00%,56.23%,58.33%
2022-11-04 15:19:14.493613,4,500,531,500,1000,59.00%,66.84%,59.00%,59.00%,59.00%,56.71%,58.50%
2022-11-04 15:19:19.538739,5,500,531,500,1000,60.00%,66.94%,60.00%,60.00%,60.00%,59.86%,58.80%
2022-11-04 15:19:23.801190,6,500,531,500,1000,58.00%,67.37%,58.00%,58.00%,58.00%,57.93%,58.67%
2022-11-04 15:19:28.387432,7,500,531,500,1000,60.00%,67.03%,60.00%,60.00%,60.00%,59.74%,58.86%
2022-11-04 15:19:33.238043,8,500,531,500,1000,62.00%,66.97%,62.00%,62.00%,62.00%,61.00%,59.25%
2022-11-04 15:19:35.940705,9,500,531,500,1000,61.00%,66.50%,61.00%,61.00%,61.00%,57.93%,59.44%
2022-11-04 15:19:41.085395,10,500,531,500,1000,63.00%,65.03%,63.00%,63.00%,63.00%,62.91%,59.80%
2022-11-04 15:19:51.210068,1,500,522,1000,1500,60.00%,66.76%,60.00%,60.00%,60.00%,59.42%,60.00%
2022-11-04 15:19:54.059128,2,500,522,1000,1500,64.00%,66.60%,64.00%,64.00%,64.00%,61.39%,62.00%
2022-11-04 15:19:57.543609,3,500,522,1000,1500,43.00%,74.65%,43.00%,43.00%,43.00%,30.07%,55.67%
2022-11-04 15:20:00.589864,4,500,522,1000,1500,43.00%,76.91%,43.00%,43.00%,43.00%,30.07%,52.50%
