date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-11-04 13:12:32.147551,1,500,530,0,500,59.00%,66.13%,59.00%,59.00%,59.00%,52.50%,59.00%
2022-11-04 13:12:38.412609,2,500,530,0,500,69.00%,64.53%,69.00%,69.00%,69.00%,68.75%,64.00%
2022-11-04 13:12:41.770298,3,500,530,0,500,52.00%,68.08%,52.00%,52.00%,52.00%,50.00%,60.00%
2022-11-04 13:12:47.701198,4,500,530,0,500,54.00%,67.49%,54.00%,54.00%,54.00%,47.99%,58.50%
2022-11-04 13:12:53.834084,5,500,530,0,500,62.00%,66.20%,62.00%,62.00%,62.00%,61.98%,59.20%
2022-11-04 13:12:57.958000,6,500,530,0,500,55.00%,66.92%,55.00%,55.00%,55.00%,44.79%,58.50%
2022-11-04 13:13:02.174084,7,500,530,0,500,54.00%,68.56%,54.00%,54.00%,54.00%,44.15%,57.86%
2022-11-04 13:13:07.533818,8,500,530,0,500,65.00%,66.11%,65.00%,65.00%,65.00%,64.71%,58.75%
2022-11-04 13:13:13.862474,9,500,530,0,500,57.00%,66.16%,57.00%,57.00%,57.00%,56.47%,58.56%
2022-11-04 13:13:17.168959,10,500,530,0,500,52.00%,68.95%,52.00%,52.00%,52.00%,40.48%,57.90%
2022-11-04 13:13:34.255988,1,500,530,500,1000,75.00%,62.05%,75.00%,75.00%,75.00%,75.00%,75.00%
2022-11-04 13:13:40.724142,2,500,530,500,1000,67.00%,62.56%,67.00%,67.00%,67.00%,66.43%,71.00%
2022-11-04 13:13:46.829047,3,500,530,500,1000,72.00%,61.82%,72.00%,72.00%,72.00%,71.99%,71.33%
2022-11-04 13:13:53.428637,4,500,530,500,1000,71.00%,62.40%,71.00%,71.00%,71.00%,70.14%,71.25%
2022-11-04 13:14:00.148140,5,500,530,500,1000,66.00%,64.67%,66.00%,66.00%,66.00%,64.27%,70.20%
2022-11-04 13:14:06.105967,6,500,530,500,1000,77.00%,62.99%,77.00%,77.00%,77.00%,76.94%,71.33%
2022-11-04 13:14:10.867168,7,500,530,500,1000,66.00%,66.56%,66.00%,66.00%,66.00%,63.92%,70.57%
2022-11-04 13:14:16.853272,8,500,530,500,1000,67.00%,64.22%,67.00%,67.00%,67.00%,66.24%,70.13%
2022-11-04 13:14:22.790341,9,500,530,500,1000,65.00%,65.19%,65.00%,65.00%,65.00%,63.39%,69.56%
2022-11-04 13:14:28.381390,10,500,530,500,1000,70.00%,63.97%,70.00%,70.00%,70.00%,69.99%,69.60%
2022-11-04 13:14:45.004170,1,500,535,1000,1500,57.00%,67.99%,57.00%,57.00%,57.00%,53.62%,57.00%
2022-11-04 13:14:51.495421,2,500,535,1000,1500,63.00%,64.39%,63.00%,63.00%,63.00%,62.70%,60.00%
2022-11-04 13:14:57.398125,3,500,535,1000,1500,63.00%,64.43%,63.00%,63.00%,63.00%,62.97%,61.00%
2022-11-04 13:15:03.091792,4,500,535,1000,1500,60.00%,69.16%,60.00%,60.00%,60.00%,59.20%,60.75%
2022-11-04 13:15:09.007337,5,500,535,1000,1500,67.00%,63.53%,67.00%,67.00%,67.00%,66.97%,62.00%
2022-11-04 13:15:15.113198,6,500,535,1000,1500,59.00%,64.63%,59.00%,59.00%,59.00%,59.00%,61.50%
2022-11-04 13:15:21.297770,7,500,535,1000,1500,69.00%,62.92%,69.00%,69.00%,69.00%,68.75%,62.57%
2022-11-04 13:15:26.562644,8,500,535,1000,1500,61.00%,65.10%,61.00%,61.00%,61.00%,60.33%,62.38%
2022-11-04 13:15:32.263719,9,500,535,1000,1500,70.00%,64.41%,70.00%,70.00%,70.00%,69.70%,63.22%
2022-11-04 13:15:38.255604,10,500,535,1000,1500,70.00%,63.50%,70.00%,70.00%,70.00%,69.95%,63.90%
2022-11-04 13:15:54.187867,1,500,525,1500,2000,65.00%,64.98%,65.00%,65.00%,65.00%,49.82%,65.00%
