date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
16:47.3,1,4400,4400,0,500,84.00%,51.53%,84.00%,84.00%,84.00%,81.62%,84.00%
51:11.4,2,4400,4400,0,500,90.00%,40.27%,90.00%,90.00%,90.00%,89.67%,87.00%
25:12.9,3,4400,4400,0,500,90.00%,34.46%,90.00%,90.00%,90.00%,89.67%,88.00%
59:11.0,4,4400,4400,0,500,86.00%,83.10%,86.00%,86.00%,86.00%,85.72%,87.50%
33:12.5,5,4400,4400,0,500,98.00%,11.07%,98.00%,98.00%,98.00%,97.85%,89.60%
58:05.2,1,4400,4400,500,1000,90.00%,40.61%,90.00%,90.00%,90.00%,89.80%,90.00%
32:07.9,2,4400,4400,500,1000,90.00%,65.36%,90.00%,90.00%,90.00%,90.00%,90.00%
05:58.8,3,4400,4400,500,1000,88.00%,57.18%,88.00%,88.00%,88.00%,87.92%,89.33%
39:41.1,4,4400,4400,500,1000,96.00%,23.91%,96.00%,96.00%,96.00%,95.99%,91.00%
13:27.5,5,4400,4400,500,1000,92.00%,26.91%,92.00%,92.00%,92.00%,91.95%,91.20%
39:34.3,1,4400,4400,1000,1500,92.00%,17.31%,92.00%,92.00%,92.00%,92.00%,92.00%
13:57.6,2,4400,4400,1000,1500,84.00%,32.98%,84.00%,84.00%,84.00%,83.97%,88.00%
48:21.8,3,4400,4400,1000,1500,92.00%,47.11%,92.00%,92.00%,92.00%,91.99%,89.33%
22:44.8,4,4400,4400,1000,1500,88.00%,45.36%,88.00%,88.00%,88.00%,88.00%,89.00%
57:13.1,5,4400,4400,1000,1500,92.00%,42.71%,92.00%,92.00%,92.00%,91.99%,89.60%
37:35.8,1,4400,4400,1500,2000,92.00%,40.86%,92.00%,92.00%,92.00%,91.99%,92.00%
11:51.3,2,4400,4400,1500,2000,80.00%,102.76%,80.00%,80.00%,80.00%,79.87%,86.00%
46:14.7,3,4400,4400,1500,2000,84.00%,69.41%,84.00%,84.00%,84.00%,83.77%,85.33%
20:36.3,4,4400,4400,1500,2000,90.00%,63.96%,90.00%,90.00%,90.00%,89.80%,86.50%
