date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-11-30 12:08:12.959558,1,4400,4400,0,500,68.00%,58.24%,68.00%,68.00%,68.00%,67.16%,68.00%
2022-11-30 12:08:17.618943,2,4400,4400,0,500,60.00%,65.06%,60.00%,60.00%,60.00%,59.94%,64.00%
2022-11-30 12:08:22.385146,3,4400,4400,0,500,50.00%,70.62%,50.00%,50.00%,50.00%,48.33%,59.33%
2022-11-30 12:08:27.302694,4,4400,4400,0,500,64.00%,66.84%,64.00%,64.00%,64.00%,63.94%,60.50%
2022-11-30 12:08:35.325926,5,4400,4400,0,500,72.00%,61.71%,72.00%,72.00%,72.00%,71.26%,62.80%
2022-11-30 12:08:44.309612,6,4400,4400,0,500,68.00%,62.54%,68.00%,68.00%,68.00%,65.28%,63.67%
2022-11-30 12:08:53.768184,7,4400,4400,0,500,66.00%,61.11%,66.00%,66.00%,66.00%,63.53%,64.00%
2022-11-30 12:09:03.890578,8,4400,4400,0,500,64.00%,56.52%,64.00%,64.00%,64.00%,59.89%,64.00%
2022-11-30 12:09:09.440779,9,4400,4400,0,500,58.00%,65.29%,58.00%,58.00%,58.00%,57.16%,63.33%
2022-11-30 12:09:15.091318,10,4400,4400,0,500,56.00%,65.07%,56.00%,56.00%,56.00%,55.93%,62.60%
2022-11-30 12:09:36.666680,1,4400,4400,500,1000,80.00%,47.59%,80.00%,80.00%,80.00%,79.97%,80.00%
2022-11-30 12:09:44.131795,2,4400,4400,500,1000,74.00%,52.55%,74.00%,74.00%,74.00%,73.99%,77.00%
2022-11-30 12:09:51.892002,3,4400,4400,500,1000,76.00%,51.50%,76.00%,76.00%,76.00%,75.65%,76.67%
2022-11-30 12:09:59.830414,4,4400,4400,500,1000,80.00%,48.85%,80.00%,80.00%,80.00%,79.71%,77.50%
2022-11-30 12:10:06.337425,5,4400,4400,500,1000,74.00%,57.21%,74.00%,74.00%,74.00%,73.99%,76.80%
2022-11-30 12:10:12.554027,6,4400,4400,500,1000,70.00%,62.89%,70.00%,70.00%,70.00%,69.99%,75.67%
2022-11-30 12:10:20.949726,7,4400,4400,500,1000,66.00%,57.36%,66.00%,66.00%,66.00%,65.32%,74.29%
2022-11-30 12:10:28.059735,8,4400,4400,500,1000,66.00%,54.98%,66.00%,66.00%,66.00%,65.32%,73.25%
2022-11-30 12:10:34.796647,9,4400,4400,500,1000,70.00%,60.96%,70.00%,70.00%,70.00%,69.40%,72.89%
2022-11-30 12:10:41.310133,10,4400,4400,500,1000,70.00%,57.90%,70.00%,70.00%,70.00%,69.89%,72.60%
