date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-10-27 19:02:21.957057,1,500,535,0,500,62.00%,67.01%,62.00%,62.00%,62.00%,61.86%,62.00%
2022-10-30 08:50:00.389604,1,500,535,0,500,58.00%,69.66%,58.00%,58.00%,58.00%,57.98%,58.00%
2022-10-30 08:50:19.130614,2,500,535,0,500,63.00%,67.83%,63.00%,63.00%,63.00%,63.00%,60.50%
2022-10-30 08:50:36.815388,3,500,535,0,500,60.00%,66.98%,60.00%,60.00%,60.00%,59.94%,60.33%
2022-10-30 08:50:54.942254,4,500,535,0,500,58.00%,69.98%,58.00%,58.00%,58.00%,56.25%,59.75%
2022-10-30 08:51:13.421568,5,500,535,0,500,64.00%,66.75%,64.00%,64.00%,64.00%,64.00%,60.60%
2022-10-30 08:51:28.137550,6,500,535,0,500,56.00%,67.47%,56.00%,56.00%,56.00%,55.56%,59.83%
2022-10-30 08:51:44.522715,7,500,535,0,500,60.00%,67.22%,60.00%,60.00%,60.00%,59.94%,59.86%
2022-10-30 08:52:00.396012,8,500,535,0,500,58.00%,68.31%,58.00%,58.00%,58.00%,56.59%,59.62%
2022-10-30 08:52:17.011959,9,500,535,0,500,61.00%,68.50%,61.00%,61.00%,61.00%,61.00%,59.78%
2022-10-30 08:52:34.752156,10,500,535,0,500,60.00%,69.60%,60.00%,60.00%,60.00%,59.60%,59.80%
2022-10-30 08:52:59.061306,1,500,548,500,1000,62.00%,61.33%,62.00%,62.00%,62.00%,62.00%,62.00%
2022-10-30 08:53:15.693093,2,500,548,500,1000,66.00%,59.95%,66.00%,66.00%,66.00%,65.66%,64.00%
2022-10-30 08:53:33.538691,3,500,548,500,1000,66.00%,62.17%,66.00%,66.00%,66.00%,65.88%,64.67%
2022-10-30 08:53:51.391885,4,500,548,500,1000,65.00%,60.20%,65.00%,65.00%,65.00%,64.97%,64.75%
2022-10-30 08:54:09.590996,5,500,548,500,1000,61.00%,64.47%,61.00%,61.00%,61.00%,61.00%,64.00%
2022-10-30 08:54:27.376462,6,500,548,500,1000,63.00%,65.15%,63.00%,63.00%,63.00%,62.97%,63.83%
2022-10-30 08:54:44.007054,7,500,548,500,1000,61.00%,61.37%,61.00%,61.00%,61.00%,60.68%,63.43%
2022-10-30 08:55:02.034586,8,500,548,500,1000,66.00%,62.16%,66.00%,66.00%,66.00%,65.88%,63.75%
2022-10-30 08:55:19.010197,9,500,548,500,1000,61.00%,61.38%,61.00%,61.00%,61.00%,60.10%,63.44%
2022-10-30 08:55:35.548957,10,500,548,500,1000,64.00%,60.29%,64.00%,64.00%,64.00%,63.99%,63.50%
2022-10-30 08:56:01.304273,1,500,537,1000,1500,62.00%,64.44%,62.00%,62.00%,62.00%,61.94%,62.00%
2022-10-30 08:56:18.383880,2,500,537,1000,1500,60.00%,65.93%,60.00%,60.00%,60.00%,60.00%,61.00%
2022-10-30 08:56:38.089233,3,500,537,1000,1500,62.00%,67.44%,62.00%,62.00%,62.00%,61.98%,61.33%
2022-10-30 08:56:48.440520,4,500,537,1000,1500,43.00%,73.30%,43.00%,43.00%,43.00%,30.07%,56.75%
2022-10-30 08:57:04.082267,5,500,537,1000,1500,63.00%,64.40%,63.00%,63.00%,63.00%,62.36%,58.00%
2022-10-30 08:57:23.119046,6,500,537,1000,1500,57.00%,67.24%,57.00%,57.00%,57.00%,56.89%,57.83%
2022-10-30 08:57:39.502279,7,500,537,1000,1500,58.00%,63.34%,58.00%,58.00%,58.00%,57.73%,57.86%
2022-10-30 08:57:56.406617,8,500,537,1000,1500,65.00%,62.58%,65.00%,65.00%,65.00%,64.19%,58.75%
2022-10-30 08:58:15.669871,9,500,537,1000,1500,63.00%,66.42%,63.00%,63.00%,63.00%,62.97%,59.22%
2022-10-30 08:58:26.904781,10,500,537,1000,1500,64.00%,67.28%,64.00%,64.00%,64.00%,60.44%,59.70%
2022-10-30 08:58:50.963822,1,500,539,1500,2000,68.00%,71.27%,68.00%,68.00%,68.00%,66.67%,68.00%
2022-10-30 08:59:08.270264,2,500,539,1500,2000,63.00%,60.85%,63.00%,63.00%,63.00%,60.93%,65.50%
2022-10-30 08:59:25.930753,3,500,539,1500,2000,81.00%,52.11%,81.00%,81.00%,81.00%,80.98%,70.67%
2022-10-30 08:59:43.463022,4,500,539,1500,2000,71.00%,64.21%,71.00%,71.00%,71.00%,70.33%,70.75%
2022-10-30 09:00:01.614730,5,500,539,1500,2000,75.00%,54.77%,75.00%,75.00%,75.00%,74.88%,71.60%
2022-10-30 09:00:18.909807,6,500,539,1500,2000,76.00%,58.42%,76.00%,76.00%,76.00%,75.52%,72.33%
2022-10-30 09:00:36.257722,7,500,539,1500,2000,72.00%,56.30%,72.00%,72.00%,72.00%,71.59%,72.29%
2022-10-30 09:00:51.110331,8,500,539,1500,2000,78.00%,54.77%,78.00%,78.00%,78.00%,77.86%,73.00%
2022-10-30 09:01:08.651195,9,500,539,1500,2000,72.00%,58.68%,72.00%,72.00%,72.00%,71.44%,72.89%
2022-10-30 09:01:26.047844,10,500,539,1500,2000,77.00%,57.14%,77.00%,77.00%,77.00%,76.89%,73.30%
2022-10-30 09:01:47.203948,1,500,553,2000,2500,62.00%,65.89%,62.00%,62.00%,62.00%,61.94%,62.00%
2022-10-30 09:02:01.372901,2,500,553,2000,2500,64.00%,64.54%,64.00%,64.00%,64.00%,63.64%,63.00%
2022-10-30 09:02:17.399608,3,500,553,2000,2500,65.00%,62.59%,65.00%,65.00%,65.00%,63.96%,63.67%
2022-10-30 09:02:31.499729,4,500,553,2000,2500,65.00%,65.79%,65.00%,65.00%,65.00%,64.91%,64.00%
2022-10-30 09:02:45.553558,5,500,553,2000,2500,65.00%,64.12%,65.00%,65.00%,65.00%,64.83%,64.20%
2022-10-30 09:03:00.240996,6,500,553,2000,2500,65.00%,63.03%,65.00%,65.00%,65.00%,64.57%,64.33%
2022-10-30 09:03:16.017892,7,500,553,2000,2500,68.00%,62.86%,68.00%,68.00%,68.00%,66.67%,64.86%
2022-10-30 09:03:31.997775,8,500,553,2000,2500,74.00%,61.21%,74.00%,74.00%,74.00%,73.48%,66.00%
2022-10-30 09:03:45.446273,9,500,553,2000,2500,66.00%,63.85%,66.00%,66.00%,66.00%,64.86%,66.00%
2022-10-30 09:03:59.028157,10,500,553,2000,2500,65.00%,63.84%,65.00%,65.00%,65.00%,63.69%,65.90%
2022-10-30 09:04:20.908480,1,500,554,2500,3000,68.00%,61.54%,68.00%,68.00%,68.00%,67.88%,68.00%
2022-10-30 09:04:37.303312,2,500,554,2500,3000,64.00%,60.80%,64.00%,64.00%,64.00%,63.64%,66.00%
2022-10-30 09:04:54.015297,3,500,554,2500,3000,65.00%,62.58%,65.00%,65.00%,65.00%,64.83%,65.67%
2022-10-30 09:05:09.042137,4,500,554,2500,3000,66.00%,62.11%,66.00%,66.00%,66.00%,65.95%,65.75%
2022-10-30 09:05:25.722702,5,500,554,2500,3000,65.00%,70.39%,65.00%,65.00%,65.00%,64.71%,65.60%
2022-10-30 09:05:40.987310,6,500,554,2500,3000,66.00%,60.89%,66.00%,66.00%,66.00%,65.95%,65.67%
2022-10-30 09:05:55.364297,7,500,554,2500,3000,68.00%,63.53%,68.00%,68.00%,68.00%,68.00%,66.00%
2022-10-30 09:06:12.291857,8,500,554,2500,3000,65.00%,62.62%,65.00%,65.00%,65.00%,64.40%,65.87%
2022-10-30 09:06:26.122995,9,500,554,2500,3000,66.00%,63.53%,66.00%,66.00%,66.00%,63.53%,65.89%
2022-10-30 09:06:43.059029,10,500,554,2500,3000,64.00%,63.52%,64.00%,64.00%,64.00%,63.77%,65.70%
2022-10-30 09:07:03.447162,1,500,532,3000,3500,68.00%,62.07%,68.00%,68.00%,68.00%,67.79%,68.00%
2022-10-30 09:07:21.025857,2,500,532,3000,3500,73.00%,56.21%,73.00%,73.00%,73.00%,73.00%,70.50%
