date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-10-27 11:06:11.138477,1,500,300,0,500,66.00%,63.99%,66.00%,66.00%,66.00%,65.66%,66.00%
2022-10-27 11:06:25.657563,2,500,300,0,500,63.00%,67.03%,63.00%,63.00%,63.00%,62.15%,64.50%
2022-10-27 11:06:40.001026,3,500,300,0,500,61.00%,66.60%,61.00%,61.00%,61.00%,60.52%,63.33%
2022-10-27 11:06:53.939635,4,500,300,0,500,56.00%,66.86%,56.00%,56.00%,56.00%,55.98%,61.50%
2022-10-27 11:07:07.982366,5,500,300,0,500,62.00%,66.29%,62.00%,62.00%,62.00%,61.98%,61.60%
2022-10-27 11:07:22.212469,6,500,300,0,500,60.00%,66.64%,60.00%,60.00%,60.00%,60.00%,61.33%
2022-10-27 11:07:36.229881,7,500,300,0,500,57.00%,67.40%,57.00%,57.00%,57.00%,56.89%,60.71%
2022-10-27 11:07:50.514939,8,500,300,0,500,62.00%,65.82%,62.00%,62.00%,62.00%,61.86%,60.88%
2022-10-27 11:08:04.704998,9,500,300,0,500,63.00%,67.41%,63.00%,63.00%,63.00%,62.82%,61.11%
2022-10-27 11:08:18.612687,10,500,300,0,500,58.00%,66.31%,58.00%,58.00%,58.00%,57.58%,60.80%
2022-10-27 11:08:39.580715,1,500,300,500,1000,59.00%,62.89%,59.00%,59.00%,59.00%,58.67%,59.00%
2022-10-27 11:08:53.744942,2,500,300,500,1000,62.00%,60.35%,62.00%,62.00%,62.00%,61.76%,60.50%
2022-10-27 11:09:08.130562,3,500,300,500,1000,60.00%,62.14%,60.00%,60.00%,60.00%,59.42%,60.33%
2022-10-27 11:09:22.758602,4,500,300,500,1000,61.00%,61.12%,61.00%,61.00%,61.00%,60.81%,60.50%
2022-10-27 11:09:37.216379,5,500,300,500,1000,61.00%,61.01%,61.00%,61.00%,61.00%,60.68%,60.60%
2022-10-27 11:09:51.327156,6,500,300,500,1000,64.00%,60.10%,64.00%,64.00%,64.00%,63.87%,61.17%
2022-10-27 11:10:05.956856,7,500,300,500,1000,64.00%,60.50%,64.00%,64.00%,64.00%,62.79%,61.57%
2022-10-27 11:10:20.489620,8,500,300,500,1000,63.00%,60.22%,63.00%,63.00%,63.00%,62.70%,61.75%
2022-10-27 11:10:35.532303,9,500,300,500,1000,60.00%,63.31%,60.00%,60.00%,60.00%,59.86%,61.56%
2022-10-27 11:10:49.700769,10,500,300,500,1000,63.00%,61.20%,63.00%,63.00%,63.00%,62.97%,61.70%
2022-10-27 11:11:10.636384,1,500,300,1000,1500,69.00%,63.77%,69.00%,69.00%,69.00%,68.08%,69.00%
2022-10-27 11:11:25.297587,2,500,300,1000,1500,63.00%,64.04%,63.00%,63.00%,63.00%,62.15%,66.00%
2022-10-27 11:11:39.738432,3,500,300,1000,1500,57.00%,65.24%,57.00%,57.00%,57.00%,57.00%,63.00%
2022-10-27 11:11:48.729092,4,500,300,1000,1500,43.00%,75.86%,43.00%,43.00%,43.00%,30.07%,58.00%
2022-10-27 11:11:58.883160,5,500,300,1000,1500,43.00%,73.84%,43.00%,43.00%,43.00%,30.07%,55.00%
2022-10-27 11:12:09.896522,6,500,300,1000,1500,42.00%,70.89%,42.00%,42.00%,42.00%,29.58%,52.83%
2022-10-27 11:12:19.183153,7,500,300,1000,1500,41.00%,70.27%,41.00%,41.00%,41.00%,29.08%,51.14%
2022-10-27 11:12:30.566223,8,500,300,1000,1500,59.00%,67.10%,59.00%,59.00%,59.00%,58.90%,52.12%
2022-10-27 11:12:44.949522,9,500,300,1000,1500,63.00%,65.78%,63.00%,63.00%,63.00%,61.90%,53.33%
2022-10-27 11:12:59.400826,10,500,300,1000,1500,65.00%,64.18%,65.00%,65.00%,65.00%,64.83%,54.50%
2022-10-27 11:13:19.433810,1,500,300,1500,2000,78.00%,58.14%,78.00%,78.00%,78.00%,77.92%,78.00%
2022-10-27 11:13:33.065005,2,500,300,1500,2000,74.00%,56.40%,74.00%,74.00%,74.00%,73.32%,76.00%
2022-10-27 11:13:46.871042,3,500,300,1500,2000,78.00%,51.62%,78.00%,78.00%,78.00%,77.99%,76.67%
2022-10-27 11:14:00.830940,4,500,300,1500,2000,73.00%,54.99%,73.00%,73.00%,73.00%,72.54%,75.75%
2022-10-27 11:14:14.479153,5,500,300,1500,2000,76.00%,58.58%,76.00%,76.00%,76.00%,75.76%,75.80%
2022-10-27 11:14:28.144096,6,500,300,1500,2000,78.00%,56.28%,78.00%,78.00%,78.00%,77.96%,76.17%
2022-10-27 11:14:41.941981,7,500,300,1500,2000,73.00%,54.71%,73.00%,73.00%,73.00%,72.98%,75.71%
2022-10-27 11:14:55.807603,8,500,300,1500,2000,72.00%,60.71%,72.00%,72.00%,72.00%,71.06%,75.25%
2022-10-27 11:15:09.475057,9,500,300,1500,2000,71.00%,60.98%,71.00%,71.00%,71.00%,69.91%,74.78%
2022-10-27 11:15:22.911132,10,500,300,1500,2000,65.00%,60.32%,65.00%,65.00%,65.00%,62.67%,73.80%
2022-10-27 11:15:42.656152,1,500,300,2000,2500,65.00%,63.03%,65.00%,65.00%,65.00%,63.96%,65.00%
2022-10-27 11:15:56.337465,2,500,300,2000,2500,62.00%,63.99%,62.00%,62.00%,62.00%,61.44%,63.50%
2022-10-27 11:16:09.822953,3,500,300,2000,2500,62.00%,65.50%,62.00%,62.00%,62.00%,61.94%,63.00%
2022-10-27 11:16:23.126906,4,500,300,2000,2500,59.00%,65.21%,59.00%,59.00%,59.00%,58.80%,62.00%
2022-10-27 11:16:36.529394,5,500,300,2000,2500,60.00%,66.12%,60.00%,60.00%,60.00%,59.86%,61.60%
2022-10-27 11:16:50.183383,6,500,300,2000,2500,68.00%,61.35%,68.00%,68.00%,68.00%,65.68%,62.67%
2022-10-27 11:17:03.609367,7,500,300,2000,2500,67.00%,61.00%,67.00%,67.00%,67.00%,65.76%,63.29%
2022-10-27 11:17:16.997775,8,500,300,2000,2500,62.00%,64.95%,62.00%,62.00%,62.00%,62.00%,63.13%
2022-10-27 11:17:30.295873,9,500,300,2000,2500,62.00%,64.55%,62.00%,62.00%,62.00%,61.98%,63.00%
2022-10-27 11:17:43.973971,10,500,300,2000,2500,70.00%,58.61%,70.00%,70.00%,70.00%,69.70%,63.70%
2022-10-27 11:18:03.799826,1,500,300,2500,3000,71.00%,57.31%,71.00%,71.00%,71.00%,70.86%,71.00%
2022-10-27 11:18:17.201742,2,500,300,2500,3000,66.00%,59.50%,66.00%,66.00%,66.00%,65.78%,68.50%
2022-10-27 11:18:30.759822,3,500,300,2500,3000,70.00%,61.80%,70.00%,70.00%,70.00%,69.70%,69.00%
