date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
10:33.9,1,500,524,0,500,60.00%,67.22%,60.00%,60.00%,60.00%,59.74%,60.00%
10:52.5,2,500,524,0,500,62.00%,64.75%,62.00%,62.00%,62.00%,61.94%,61.00%
11:10.6,3,500,524,0,500,61.00%,68.97%,61.00%,61.00%,61.00%,58.82%,61.00%
11:29.2,4,500,524,0,500,61.00%,66.66%,61.00%,61.00%,61.00%,60.68%,61.00%
11:47.2,5,500,524,0,500,63.00%,66.99%,63.00%,63.00%,63.00%,62.91%,61.40%
12:05.3,6,500,524,0,500,63.00%,65.42%,63.00%,63.00%,63.00%,62.82%,61.67%
12:23.3,7,500,524,0,500,58.00%,65.92%,58.00%,58.00%,58.00%,57.93%,61.14%
12:41.5,8,500,524,0,500,60.00%,65.81%,60.00%,60.00%,60.00%,59.60%,61.00%
12:59.6,9,500,524,0,500,60.00%,65.55%,60.00%,60.00%,60.00%,59.74%,60.89%
13:17.6,10,500,524,0,500,59.00%,65.79%,59.00%,59.00%,59.00%,58.96%,60.70%
13:43.4,1,500,531,500,1000,61.00%,62.57%,61.00%,61.00%,61.00%,60.52%,61.00%
14:00.8,2,500,531,500,1000,62.00%,63.22%,62.00%,62.00%,62.00%,62.00%,61.50%
14:19.7,3,500,531,500,1000,61.00%,64.36%,61.00%,61.00%,61.00%,59.20%,61.33%
14:38.4,4,500,531,500,1000,65.00%,60.86%,65.00%,65.00%,65.00%,61.79%,62.25%
14:57.5,5,500,531,500,1000,67.00%,60.08%,67.00%,67.00%,67.00%,66.97%,63.20%
15:16.5,6,500,531,500,1000,66.00%,62.73%,66.00%,66.00%,66.00%,65.99%,63.67%
15:35.1,7,500,531,500,1000,63.00%,64.14%,63.00%,63.00%,63.00%,62.70%,63.57%
15:54.0,8,500,531,500,1000,64.00%,70.41%,64.00%,64.00%,64.00%,63.99%,63.63%
16:13.1,9,500,531,500,1000,62.00%,61.47%,62.00%,62.00%,62.00%,61.00%,63.44%
16:32.0,10,500,531,500,1000,63.00%,63.70%,63.00%,63.00%,63.00%,62.70%,63.40%
16:49.6,1,500,522,1000,1500,43.00%,70.23%,43.00%,43.00%,43.00%,31.48%,43.00%
17:01.8,2,500,522,1000,1500,43.00%,74.04%,43.00%,43.00%,43.00%,30.07%,43.00%
17:21.5,3,500,522,1000,1500,54.00%,68.29%,54.00%,54.00%,54.00%,53.70%,46.67%
17:40.9,4,500,522,1000,1500,58.00%,69.98%,58.00%,58.00%,58.00%,57.73%,49.50%
17:54.7,5,500,522,1000,1500,43.00%,73.54%,43.00%,43.00%,43.00%,30.07%,48.20%
18:05.6,6,500,522,1000,1500,45.00%,69.74%,45.00%,45.00%,45.00%,37.32%,47.67%
18:25.4,7,500,522,1000,1500,62.00%,65.74%,62.00%,62.00%,62.00%,61.86%,49.71%
18:35.6,8,500,522,1000,1500,66.00%,65.84%,66.00%,66.00%,66.00%,61.56%,51.75%
18:52.2,9,500,522,1000,1500,52.00%,68.30%,52.00%,52.00%,52.00%,50.39%,51.78%
19:11.4,10,500,522,1000,1500,57.00%,64.76%,57.00%,57.00%,57.00%,56.96%,52.30%
19:34.1,1,500,541,1500,2000,78.00%,56.03%,78.00%,78.00%,78.00%,77.92%,78.00%
19:51.2,2,500,541,1500,2000,74.00%,55.21%,74.00%,74.00%,74.00%,73.91%,76.00%
20:08.2,3,500,541,1500,2000,80.00%,51.34%,80.00%,80.00%,80.00%,79.99%,77.33%
20:25.3,4,500,541,1500,2000,77.00%,56.44%,77.00%,77.00%,77.00%,77.00%,77.25%
20:42.4,5,500,541,1500,2000,81.00%,54.47%,81.00%,81.00%,81.00%,81.00%,78.00%
20:58.7,6,500,541,1500,2000,75.00%,55.05%,75.00%,75.00%,75.00%,75.00%,77.50%
21:15.7,7,500,541,1500,2000,73.00%,56.71%,73.00%,73.00%,73.00%,72.98%,76.86%
21:33.0,8,500,541,1500,2000,71.00%,56.38%,71.00%,71.00%,71.00%,70.64%,76.12%
21:50.3,9,500,541,1500,2000,78.00%,56.59%,78.00%,78.00%,78.00%,77.96%,76.33%
22:07.7,10,500,541,1500,2000,72.00%,55.96%,72.00%,72.00%,72.00%,71.82%,75.90%
22:30.1,1,500,525,2000,2500,64.00%,61.84%,64.00%,64.00%,64.00%,62.17%,64.00%
22:46.3,2,500,525,2000,2500,71.00%,60.30%,71.00%,71.00%,71.00%,70.76%,67.50%
23:02.9,3,500,525,2000,2500,67.00%,60.72%,67.00%,67.00%,67.00%,66.60%,67.33%
23:19.2,4,500,525,2000,2500,72.00%,61.67%,72.00%,72.00%,72.00%,71.44%,68.50%
23:35.5,5,500,525,2000,2500,66.00%,61.20%,66.00%,66.00%,66.00%,65.66%,68.00%
23:51.8,6,500,525,2000,2500,71.00%,61.11%,71.00%,71.00%,71.00%,69.38%,68.50%
24:07.9,7,500,525,2000,2500,62.00%,62.76%,62.00%,62.00%,62.00%,58.77%,67.57%
