date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-11-02 04:12:30.117578,1,500,530,0,500,66.00%,64.37%,66.00%,66.00%,66.00%,65.32%,66.00%
2022-11-02 04:12:49.362143,2,500,530,0,500,65.00%,66.60%,65.00%,65.00%,65.00%,64.57%,65.50%
2022-11-02 04:13:07.575288,3,500,530,0,500,65.00%,62.99%,65.00%,65.00%,65.00%,64.57%,65.33%
2022-11-02 04:13:26.091481,4,500,530,0,500,62.00%,61.62%,62.00%,62.00%,62.00%,61.24%,64.50%
2022-11-02 04:13:44.142726,5,500,530,0,500,65.00%,64.13%,65.00%,65.00%,65.00%,64.97%,64.60%
2022-11-02 04:14:02.424695,6,500,530,0,500,64.00%,62.69%,64.00%,64.00%,64.00%,63.99%,64.50%
2022-11-02 04:14:20.438174,7,500,530,0,500,64.00%,65.51%,64.00%,64.00%,64.00%,63.94%,64.43%
2022-11-02 04:14:38.639864,8,500,530,0,500,61.00%,67.87%,61.00%,61.00%,61.00%,58.40%,64.00%
2022-11-02 04:14:56.624310,9,500,530,0,500,61.00%,67.94%,61.00%,61.00%,61.00%,59.20%,63.67%
2022-11-02 04:15:13.216028,10,500,530,0,500,62.00%,63.80%,62.00%,62.00%,62.00%,61.98%,63.50%
2022-11-02 04:15:38.801330,1,500,530,500,1000,73.00%,49.48%,73.00%,73.00%,73.00%,71.49%,73.00%
2022-11-02 04:15:57.460118,2,500,530,500,1000,73.00%,50.41%,73.00%,73.00%,73.00%,72.78%,73.00%
2022-11-02 04:16:16.119931,3,500,530,500,1000,76.00%,53.84%,76.00%,76.00%,76.00%,75.96%,74.00%
2022-11-02 04:16:35.330098,4,500,530,500,1000,73.00%,51.10%,73.00%,73.00%,73.00%,72.20%,73.75%
2022-11-02 04:16:54.104243,5,500,530,500,1000,75.00%,55.48%,75.00%,75.00%,75.00%,74.42%,74.00%
2022-11-02 04:17:12.550096,6,500,530,500,1000,74.00%,49.42%,74.00%,74.00%,74.00%,73.83%,74.00%
2022-11-02 04:17:31.232684,7,500,530,500,1000,74.00%,49.39%,74.00%,74.00%,74.00%,73.83%,74.00%
2022-11-02 04:17:48.387060,8,500,530,500,1000,69.00%,55.44%,69.00%,69.00%,69.00%,68.75%,73.38%
2022-11-02 04:18:07.378221,9,500,530,500,1000,78.00%,46.75%,78.00%,78.00%,78.00%,77.96%,73.89%
2022-11-02 04:18:25.859079,10,500,530,500,1000,70.00%,55.85%,70.00%,70.00%,70.00%,67.45%,73.50%
2022-11-02 04:18:51.227710,1,500,535,1000,1500,68.00%,67.92%,68.00%,68.00%,68.00%,67.88%,68.00%
2022-11-02 04:19:09.437274,2,500,535,1000,1500,65.00%,62.72%,65.00%,65.00%,65.00%,65.00%,66.50%
2022-11-02 04:19:28.042108,3,500,535,1000,1500,63.00%,66.33%,63.00%,63.00%,63.00%,63.00%,65.33%
2022-11-02 04:19:46.833883,4,500,535,1000,1500,65.00%,63.93%,65.00%,65.00%,65.00%,64.91%,65.25%
2022-11-02 04:20:04.873859,5,500,535,1000,1500,65.00%,61.49%,65.00%,65.00%,65.00%,64.91%,65.20%
2022-11-02 04:20:20.913295,6,500,535,1000,1500,65.00%,65.27%,65.00%,65.00%,65.00%,64.83%,65.17%
2022-11-02 04:20:39.685738,7,500,535,1000,1500,64.00%,64.61%,64.00%,64.00%,64.00%,63.77%,65.00%
2022-11-02 04:20:54.734135,8,500,535,1000,1500,66.00%,62.20%,66.00%,66.00%,66.00%,65.78%,65.12%
2022-11-02 04:21:13.337650,9,500,535,1000,1500,59.00%,65.07%,59.00%,59.00%,59.00%,58.67%,64.44%
2022-11-02 04:21:28.010082,10,500,535,1000,1500,63.00%,63.08%,63.00%,63.00%,63.00%,63.00%,64.30%
2022-11-02 04:21:52.525363,1,500,525,1500,2000,77.00%,54.47%,77.00%,77.00%,77.00%,73.35%,77.00%
2022-11-02 04:22:10.541638,2,500,525,1500,2000,71.00%,57.61%,71.00%,71.00%,71.00%,69.07%,74.00%
2022-11-02 04:22:28.160981,3,500,525,1500,2000,73.00%,49.75%,73.00%,73.00%,73.00%,68.72%,73.67%
2022-11-02 04:22:45.761262,4,500,525,1500,2000,68.00%,58.06%,68.00%,68.00%,68.00%,65.28%,72.25%
2022-11-02 04:23:03.613353,5,500,525,1500,2000,69.00%,56.56%,69.00%,69.00%,69.00%,66.93%,71.60%
2022-11-02 04:23:21.120681,6,500,525,1500,2000,69.00%,54.40%,69.00%,69.00%,69.00%,65.21%,71.17%
2022-11-02 04:23:38.821382,7,500,525,1500,2000,70.00%,60.58%,70.00%,70.00%,70.00%,68.75%,71.00%
2022-11-02 04:23:56.717353,8,500,525,1500,2000,61.00%,64.89%,61.00%,61.00%,61.00%,60.81%,69.75%
2022-11-02 04:24:14.654624,9,500,525,1500,2000,72.00%,55.18%,72.00%,72.00%,72.00%,68.81%,70.00%
2022-11-02 04:24:32.364423,10,500,525,1500,2000,68.00%,60.68%,68.00%,68.00%,68.00%,67.36%,69.80%
2022-11-02 04:24:56.982625,1,500,532,2000,2500,68.00%,58.53%,68.00%,68.00%,68.00%,67.88%,68.00%
2022-11-02 04:25:15.312225,2,500,532,2000,2500,69.00%,57.45%,69.00%,69.00%,69.00%,68.08%,68.50%
2022-11-02 04:25:33.313479,3,500,532,2000,2500,63.00%,64.24%,63.00%,63.00%,63.00%,62.97%,66.67%
2022-11-02 04:25:44.636511,4,500,532,2000,2500,43.00%,70.69%,43.00%,43.00%,43.00%,35.04%,60.75%
2022-11-02 04:26:02.770826,5,500,532,2000,2500,65.00%,64.65%,65.00%,65.00%,65.00%,64.57%,61.60%
2022-11-02 04:26:13.931431,6,500,532,2000,2500,40.00%,72.10%,40.00%,40.00%,40.00%,29.87%,58.00%
2022-11-02 04:26:31.494198,7,500,532,2000,2500,72.00%,58.66%,72.00%,72.00%,72.00%,71.96%,60.00%
2022-11-02 04:26:47.601966,8,500,532,2000,2500,59.00%,71.64%,59.00%,59.00%,59.00%,57.78%,59.87%
2022-11-02 04:27:05.731972,9,500,532,2000,2500,63.00%,60.02%,63.00%,63.00%,63.00%,62.55%,60.22%
2022-11-02 04:27:22.914303,10,500,532,2000,2500,62.00%,65.62%,62.00%,62.00%,62.00%,61.76%,60.40%
2022-11-02 04:27:47.486149,1,500,522,2500,3000,77.00%,49.76%,77.00%,77.00%,77.00%,76.60%,77.00%
2022-11-02 04:27:59.142184,2,500,522,2500,3000,65.00%,63.67%,65.00%,65.00%,65.00%,63.05%,71.00%
2022-11-02 04:28:11.424381,3,500,522,2500,3000,67.00%,63.31%,67.00%,67.00%,67.00%,66.24%,69.67%
2022-11-02 04:28:28.920699,4,500,522,2500,3000,73.00%,55.74%,73.00%,73.00%,73.00%,72.98%,70.50%
2022-11-02 04:28:45.434686,5,500,522,2500,3000,71.00%,59.49%,71.00%,71.00%,71.00%,71.00%,70.60%
2022-11-02 04:29:02.617992,6,500,522,2500,3000,65.00%,59.52%,65.00%,65.00%,65.00%,63.96%,69.67%
2022-11-02 04:29:20.346425,7,500,522,2500,3000,73.00%,53.34%,73.00%,73.00%,73.00%,72.98%,70.14%
2022-11-02 04:29:37.809398,8,500,522,2500,3000,74.00%,50.07%,74.00%,74.00%,74.00%,73.48%,70.62%
2022-11-02 04:29:55.463116,9,500,522,2500,3000,68.00%,56.21%,68.00%,68.00%,68.00%,67.16%,70.33%
2022-11-02 04:30:05.413370,10,500,522,2500,3000,46.00%,69.82%,46.00%,46.00%,46.00%,31.51%,67.90%
2022-11-02 04:30:30.376713,1,500,529,3000,3500,67.00%,65.35%,67.00%,67.00%,67.00%,66.97%,67.00%
2022-11-02 04:30:48.749928,2,500,529,3000,3500,55.00%,65.72%,55.00%,55.00%,55.00%,51.46%,61.00%
2022-11-02 04:31:07.073243,3,500,529,3000,3500,61.00%,66.37%,61.00%,61.00%,61.00%,60.10%,61.00%
