start,end,normal_acc,aug_acc
0,500,82.80%,83.20%
500,1000,82.80%,77.20%
1000,1500,82.00%,80.80%
1500,2000,81.20%,82.20%
2000,2500,77.20%,76.20%
2500,3000,81.20%,82.20%
3000,3500,75.20%,84.80%
3500,4000,80.00%,84.60%
4000,4500,65.60%,80.80%
4500,5000,80.00%,87.20%
5000,5500,76.00%,81.60%
5500,6000,84.40%,84.40%
6000,6500,79.60%,87.80%
6500,7000,68.80%,76.80%
7000,7500,67.20%,82.60%
7500,8000,84.00%,84.00%
8000,8500,70.40%,84.20%
8500,9000,79.20%,84.00%
9000,9500,83.20%,79.80%
9500,10000,88.40%,85.40%
10000,10500,80.80%,84.80%
10500,11000,83.60%,85.80%
11000,11500,84.40%,88.00%
11500,12000,88.40%,88.20%
12000,12500,92.80%,85.60%
12500,13000,76.80%,82.80%
13000,13500,75.20%,79.80%
13500,14000,74.80%,79.20%
14000,14500,78.00%,84.60%
14500,15000,80.40%,83.60%
15000,15500,80.40%,88.60%
15500,16000,83.20%,83.80%
16000,16500,82.40%,83.60%
16500,17000,80.40%,78.60%
17000,17500,82.40%,86.00%
17500,18000,74.80%,79.60%
18000,18500,79.20%,78.20%
18500,19000,71.20%,81.40%
19000,19500,78.00%,83.80%
19500,20000,74.00%,81.40%
20000,20500,77.20%,77.80%
20500,21000,81.20%,78.80%
21000,21500,73.20%,82.80%
21500,22000,71.60%,73.40%
22000,22500,77.60%,84.00%
22500,23000,69.20%,80.40%
23000,23500,84.00%,83.60%
23500,24000,82.00%,80.20%
24000,24500,83.60%,78.00%
24500,25000,75.20%,85.00%
25000,25500,81.60%,86.20%
25500,26000,88.40%,86.80%
26000,26500,84.40%,83.20%
26500,27000,78.00%,80.20%
27000,27500,80.80%,83.40%
27500,28000,89.20%,83.00%
28000,28500,80.40%,75.60%
28500,29000,83.20%,81.60%
29000,29500,70.40%,82.00%
29500,30000,87.20%,80.60%
30000,30500,81.60%,81.00%
30500,31000,81.20%,82.00%
31000,31500,87.60%,83.60%
31500,32000,79.60%,80.00%
32000,32500,76.80%,79.60%
32500,33000,81.20%,75.00%
33000,33500,69.20%,82.60%
33500,34000,84.00%,86.20%
34000,34500,86.80%,82.20%
34500,35000,76.40%,85.00%
35000,35500,76.80%,83.20%
35500,36000,80.80%,82.80%
36000,36500,86.80%,82.20%
36500,37000,86.00%,81.60%
37000,37500,82.40%,83.00%
37500,38000,86.40%,81.20%
38000,38500,78.80%,74.80%
38500,39000,79.20%,82.00%
39000,39500,82.40%,81.20%
39500,40000,76.80%,84.40%
40000,40500,76.80%,83.00%
40500,41000,79.20%,81.40%
41000,41500,79.20%,82.40%
41500,42000,71.60%,84.60%
42000,42500,84.80%,83.00%
42500,43000,79.60%,80.00%
43000,43500,72.40%,78.60%
43500,44000,77.60%,88.40%
44000,44500,84.40%,78.40%
44500,45000,70.80%,87.40%
45000,45500,79.20%,81.00%
45500,46000,84.40%,81.60%
46000,46500,72.80%,78.20%
46500,47000,79.60%,88.40%
47000,47500,77.60%,85.80%
47500,48000,75.20%,84.60%
48000,48500,75.20%,84.40%
48500,49000,80.80%,83.80%
49000,49500,84.80%,80.20%
49500,50000,84.80%,80.60%
0,1000,84.40%,88.00%
1000,2000,88.20%,85.70%
2000,3000,74.00%,83.70%
3000,4000,83.60%,86.50%
4000,5000,84.60%,85.20%
5000,6000,84.80%,87.80%
6000,7000,89.80%,83.50%
7000,8000,86.40%,80.50%
8000,9000,80.40%,81.20%
9000,10000,88.60%,87.00%
10000,11000,82.40%,85.70%
11000,12000,86.00%,83.10%
12000,13000,84.00%,86.30%
13000,14000,83.80%,81.50%
14000,15000,84.60%,81.40%
15000,16000,86.00%,86.60%
16000,17000,85.60%,84.80%
17000,18000,88.00%,84.20%
18000,19000,82.80%,81.90%
19000,20000,81.40%,85.60%
20000,21000,87.60%,87.30%
21000,22000,82.20%,82.90%
22000,23000,87.40%,89.30%
23000,24000,88.80%,81.30%
24000,25000,85.00%,83.20%
