start,end,normal_acc,aug_acc
0,500,82.80%,82.80%
500,1000,82.80%,78.80%
1000,1500,82.00%,78.40%
1500,2000,81.20%,85.00%
2000,2500,77.20%,80.60%
2500,3000,81.20%,85.00%
3000,3500,75.20%,82.00%
3500,4000,80.00%,86.40%
4000,4500,65.60%,75.40%
4500,5000,80.00%,84.60%
5000,5500,76.00%,79.40%
5500,6000,84.40%,77.80%
6000,6500,79.60%,80.60%
6500,7000,68.80%,82.00%
7000,7500,67.20%,81.00%
7500,8000,84.00%,80.40%
8000,8500,70.40%,77.00%
8500,9000,79.20%,81.00%
9000,9500,83.20%,80.60%
9500,10000,88.40%,88.60%
10000,10500,80.80%,80.40%
10500,11000,83.60%,79.40%
11000,11500,84.40%,82.00%
11500,12000,88.40%,86.00%
12000,12500,92.80%,88.80%
12500,13000,76.80%,82.80%
13000,13500,75.20%,76.60%
13500,14000,74.80%,78.00%
14000,14500,78.00%,86.20%
14500,15000,80.40%,77.60%
15000,15500,80.40%,80.20%
15500,16000,83.20%,84.40%
16000,16500,82.40%,81.60%
16500,17000,80.40%,85.40%
17000,17500,82.40%,81.00%
17500,18000,74.80%,86.00%
18000,18500,79.20%,85.80%
18500,19000,71.20%,75.60%
19000,19500,78.00%,79.20%
19500,20000,74.00%,73.80%
20000,20500,77.20%,83.40%
20500,21000,81.20%,79.40%
21000,21500,73.20%,84.00%
21500,22000,71.60%,82.00%
22000,22500,77.60%,79.40%
22500,23000,69.20%,78.60%
23000,23500,84.00%,87.60%
23500,24000,82.00%,88.40%
24000,24500,83.60%,84.80%
24500,25000,75.20%,77.20%
25000,25500,81.60%,83.20%
25500,26000,88.40%,81.80%
26000,26500,84.40%,89.40%
26500,27000,78.00%,81.60%
27000,27500,80.80%,82.40%
27500,28000,89.20%,87.20%
28000,28500,80.40%,73.60%
28500,29000,83.20%,83.80%
29000,29500,70.40%,81.20%
29500,30000,87.20%,78.00%
30000,30500,81.60%,84.20%
30500,31000,81.20%,80.80%
31000,31500,87.60%,81.20%
31500,32000,79.60%,77.00%
32000,32500,76.80%,84.00%
32500,33000,81.20%,81.80%
33000,33500,69.20%,80.40%
33500,34000,84.00%,79.00%
34000,34500,86.80%,75.80%
34500,35000,76.40%,80.60%
35000,35500,76.80%,85.00%
35500,36000,80.80%,85.00%
36000,36500,86.80%,76.40%
36500,37000,86.00%,82.20%
37000,37500,82.40%,76.60%
37500,38000,86.40%,78.60%
38000,38500,78.80%,82.20%
38500,39000,79.20%,78.40%
39000,39500,82.40%,86.60%
39500,40000,76.80%,82.60%
40000,40500,76.80%,79.40%
40500,41000,79.20%,76.60%
41000,41500,79.20%,80.80%
41500,42000,71.60%,77.80%
42000,42500,84.80%,82.60%
42500,43000,79.60%,81.00%
43000,43500,72.40%,82.60%
43500,44000,77.60%,82.60%
44000,44500,84.40%,81.80%
44500,45000,70.80%,81.80%
45000,45500,79.20%,81.20%
45500,46000,84.40%,87.80%
46000,46500,72.80%,82.00%
46500,47000,79.60%,83.20%
47000,47500,77.60%,79.80%
47500,48000,75.20%,83.40%
48000,48500,75.20%,86.40%
48500,49000,80.80%,83.40%
49000,49500,84.80%,84.00%
49500,50000,84.80%,86.00%
0,1000,84.40%,86.90%
1000,2000,88.20%,89.90%
2000,3000,74.00%,81.80%
3000,4000,83.60%,86.60%
4000,5000,84.60%,86.70%
5000,6000,84.80%,87.00%
6000,7000,89.80%,85.20%
7000,8000,86.40%,86.80%
8000,9000,80.40%,80.70%
9000,10000,88.60%,87.30%
10000,11000,82.40%,85.40%
11000,12000,86.00%,86.10%
12000,13000,84.00%,88.10%
13000,14000,83.80%,86.00%
14000,15000,84.60%,85.70%
15000,16000,86.00%,85.10%
16000,17000,85.60%,86.40%
17000,18000,88.00%,85.30%
18000,19000,82.80%,85.80%
19000,20000,81.40%,85.40%
20000,21000,87.60%,83.30%
21000,22000,82.20%,86.00%
22000,23000,87.40%,86.00%
23000,24000,88.80%,88.20%
24000,25000,85.00%,84.20%
25000,26000,89.80%,87.60%
26000,27000,84.40%,84.20%
27000,28000,81.80%,85.70%
28000,29000,90.60%,84.30%
29000,30000,88.00%,83.50%
30000,31000,90.80%,76.50%
31000,32000,93.60%,86.90%
32000,33000,87.00%,83.30%
33000,34000,87.60%,88.10%
34000,35000,81.00%,85.60%
35000,36000,87.80%,84.50%
36000,37000,87.40%,83.10%
37000,38000,86.60%,78.80%
38000,39000,84.40%,82.80%
39000,40000,85.40%,83.70%
40000,41000,82.40%,82.40%
41000,42000,78.00%,87.10%
42000,43000,87.20%,86.80%
43000,44000,77.80%,87.40%
44000,45000,85.40%,84.00%
45000,46000,85.20%,86.40%
46000,47000,85.00%,82.60%
47000,48000,84.40%,82.40%
48000,49000,78.20%,86.30%
49000,50000,81.20%,83.30%
0,2000,85.50%,86.10%
2000,4000,86.80%,86.40%
4000,6000,90.80%,86.75%
6000,8000,86.60%,86.60%
8000,10000,87.70%,86.50%
10000,12000,85.70%,86.15%
12000,14000,85.90%,89.05%
14000,16000,85.10%,87.65%
16000,18000,87.20%,85.05%
18000,20000,89.80%,82.30%
20000,22000,87.10%,87.25%
22000,24000,91.30%,89.05%
24000,26000,84.80%,85.60%
26000,28000,87.30%,85.50%
28000,30000,85.10%,89.65%
30000,32000,86.20%,87.15%
32000,34000,85.40%,84.40%
34000,36000,87.00%,86.50%
36000,38000,83.20%,86.50%
38000,40000,88.60%,86.20%
40000,42000,83.30%,84.60%
42000,44000,86.90%,84.65%
44000,46000,86.30%,85.70%
46000,48000,84.80%,84.05%
48000,50000,87.30%,86.55%
0,5000,91.56%,88.90%
5000,10000,88.72%,86.06%
10000,15000,88.20%,89.36%
15000,20000,89.92%,89.24%
20000,25000,86.64%,89.06%
25000,30000,88.04%,89.36%
30000,35000,86.80%,86.42%
35000,40000,82.20%,87.10%
40000,45000,88.68%,87.68%
