start,end,normal_acc,aug_acc
0,500,52.50%,57.50%
500,1000,59.40%,61.80%
1000,1500,46.70%,55.30%
1500,2000,59.10%,67.90%
2000,2500,55.20%,63.10%
2500,3000,57.80%,66.80%
3000,3500,44.40%,61.60%
3500,4000,58.90%,64.20%
4000,4500,56.20%,62.00%
4500,5000,56.40%,58.90%
5000,5500,58.40%,60.60%
5500,6000,56.60%,61.50%
6000,6500,50.80%,52.50%
6500,7000,59.40%,61.50%
7000,7500,53.60%,55.30%
7500,8000,55.10%,57.20%
8000,8500,52.80%,62.60%
8500,9000,57.30%,56.90%
9000,9500,54.90%,59.30%
9500,10000,57.60%,58.20%
10000,10500,56.80%,60.00%
10500,11000,61.30%,63.30%
11000,11500,58.20%,61.50%
11500,12000,63.10%,67.70%
12000,12500,56.80%,62.70%
12500,13000,60.50%,65.50%
13000,13500,60.20%,65.30%
13500,14000,58.00%,64.20%
14000,14500,46.60%,49.50%
14500,15000,58.90%,59.50%
15000,15500,57.60%,63.60%
15500,16000,53.80%,57.50%
16000,16500,53.40%,55.60%
16500,17000,53.10%,59.20%
17000,17500,57.00%,62.70%
17500,18000,58.50%,65.30%
18000,18500,57.60%,60.70%
18500,19000,56.70%,62.70%
19000,19500,59.80%,59.70%
19500,20000,52.70%,60.90%
20000,20500,57.90%,63.40%
20500,21000,55.20%,59.50%
21000,21500,56.80%,54.90%
21500,22000,58.80%,63.40%
22000,22500,58.40%,59.80%
22500,23000,59.60%,62.40%
23000,23500,55.50%,61.40%
23500,24000,55.10%,59.00%
24000,24500,51.00%,63.90%
24500,25000,57.90%,64.40%
25000,25500,54.60%,60.10%
25500,26000,57.80%,64.10%
26000,26500,55.90%,62.80%
26500,27000,53.10%,52.40%
27000,27500,54.60%,55.20%
27500,28000,56.70%,61.80%
28000,28500,54.10%,57.50%
28500,29000,57.60%,64.90%
29000,29500,60.80%,62.90%
29500,30000,56.80%,62.60%
30000,30500,57.40%,66.80%
30500,31000,58.70%,60.70%
31000,31500,51.20%,57.80%
31500,32000,60.30%,66.30%
32000,32500,57.40%,61.40%
32500,33000,54.30%,54.30%
33000,33500,59.90%,62.30%
33500,34000,61.50%,63.60%
34000,34500,51.90%,58.00%
34500,35000,61.90%,64.50%
35000,35500,64.50%,65.90%
35500,36000,51.80%,57.90%
36000,36500,61.20%,62.90%
36500,37000,56.80%,58.10%
37000,37500,58.50%,61.30%
37500,38000,64.10%,68.70%
38000,38500,58.90%,59.70%
38500,39000,59.20%,60.80%
39000,39500,54.20%,60.40%
39500,40000,56.40%,60.90%
40000,40500,52.50%,58.00%
40500,41000,60.50%,59.30%
41000,41500,46.90%,62.80%
41500,42000,56.50%,61.60%
42000,42500,52.40%,62.80%
42500,43000,58.90%,58.10%
43000,43500,58.20%,60.00%
43500,44000,58.70%,58.80%
44000,44500,55.20%,58.30%
44500,45000,56.40%,62.20%
45000,45500,65.90%,64.80%
45500,46000,60.30%,63.00%
46000,46500,59.60%,63.80%
46500,47000,56.40%,58.20%
47000,47500,61.20%,67.70%
47500,48000,58.30%,62.30%
48000,48500,59.30%,61.20%
48500,49000,54.10%,54.30%
49000,49500,59.50%,62.30%
49500,50000,59.30%,64.80%
0,1000,60.80%,67.00%
1000,2000,66.00%,71.35%
2000,3000,62.10%,68.35%
3000,4000,58.50%,63.90%
4000,5000,64.15%,65.95%
5000,6000,63.10%,64.15%
6000,7000,61.60%,64.15%
7000,8000,65.00%,68.75%
8000,9000,61.25%,63.95%
9000,10000,62.00%,67.10%
10000,11000,62.50%,64.10%
11000,12000,63.85%,68.95%
12000,13000,66.55%,70.00%
13000,14000,62.50%,67.20%
14000,15000,60.70%,64.40%
15000,16000,63.65%,72.35%
16000,17000,64.95%,68.55%
17000,18000,60.40%,68.50%
18000,19000,57.70%,62.30%
19000,20000,61.25%,68.20%
20000,21000,62.95%,69.80%
21000,22000,65.55%,67.95%
22000,23000,68.30%,76.05%
23000,24000,63.10%,66.10%
24000,25000,62.80%,68.35%
25000,26000,62.50%,71.75%
26000,27000,59.00%,61.95%
27000,28000,66.15%,72.25%
28000,29000,60.00%,66.65%
29000,30000,61.95%,67.30%
30000,31000,59.30%,65.35%
31000,32000,67.40%,71.25%
32000,33000,64.65%,68.30%
33000,34000,66.15%,69.60%
34000,35000,64.90%,70.15%
35000,36000,65.90%,72.40%
36000,37000,62.70%,66.80%
37000,38000,66.25%,70.80%
38000,39000,65.70%,69.20%
39000,40000,57.05%,67.45%
40000,41000,59.60%,63.25%
41000,42000,62.65%,68.85%
42000,43000,66.15%,69.80%
43000,44000,60.65%,72.55%
44000,45000,57.15%,68.05%
45000,46000,60.80%,68.75%
46000,47000,65.15%,70.95%
47000,48000,62.10%,66.60%
48000,49000,63.70%,68.85%
49000,50000,61.85%,65.75%
0,2000,70.07%,76.65%
2000,4000,68.87%,76.42%
4000,6000,71.67%,77.00%
6000,8000,67.55%,74.55%
8000,10000,69.42%,73.45%
10000,12000,71.43%,76.85%
12000,14000,75.75%,79.68%
14000,16000,68.90%,75.12%
16000,18000,70.33%,77.62%
18000,20000,67.98%,74.48%
20000,22000,69.77%,76.00%
22000,24000,70.72%,78.53%
24000,26000,67.95%,75.47%
26000,28000,64.25%,71.37%
28000,30000,64.13%,72.77%
30000,32000,72.65%,78.35%
32000,34000,70.70%,77.30%
34000,36000,67.15%,75.65%
36000,38000,69.35%,74.95%
38000,40000,67.87%,75.05%
40000,42000,65.30%,75.07%
42000,44000,69.77%,77.75%
44000,46000,72.70%,77.95%
46000,48000,66.58%,73.18%
48000,50000,69.87%,74.88%
0,5000,78.95%,80.33%
5000,10000,76.28%,77.61%
10000,15000,78.14%,79.52%
15000,20000,79.97%,80.41%
20000,25000,80.53%,81.60%
25000,30000,78.92%,80.70%
30000,35000,77.16%,78.47%
35000,40000,78.23%,80.36%
40000,45000,78.39%,80.64%
45000,50000,77.28%,77.86%
0,10000,80.58%,82.41%
10000,20000,81.57%,81.95%
20000,30000,82.49%,82.96%
30000,40000,81.32%,82.07%
40000,50000,80.80%,81.28%
0,12500,80.97%,81.83%
12500,25000,81.24%,82.32%
25000,37500,82.61%,81.89%
37500,50000,81.52%,81.53%
0,25000,84.07%,84.59%
25000,50000,84.39%,84.11%
0,50000,84.85%,84.99%
