start,end,normal_acc,aug_acc
0,500,52.50%,55.10%
500,1000,59.40%,59.80%
1000,1500,46.70%,51.20%
1500,2000,59.10%,66.70%
2000,2500,55.20%,62.10%
2500,3000,57.80%,57.10%
3000,3500,44.40%,60.50%
3500,4000,58.90%,61.60%
4000,4500,56.20%,51.60%
4500,5000,56.40%,63.00%
5000,5500,58.40%,62.80%
5500,6000,56.60%,62.70%
6000,6500,50.80%,51.70%
6500,7000,59.40%,60.50%
7000,7500,53.60%,52.20%
7500,8000,55.10%,57.60%
8000,8500,52.80%,58.80%
8500,9000,57.30%,56.30%
9000,9500,54.90%,57.60%
9500,10000,57.60%,59.30%
10000,10500,56.80%,55.20%
10500,11000,61.30%,64.00%
11000,11500,58.20%,61.00%
11500,12000,63.10%,62.20%
12000,12500,56.80%,62.60%
12500,13000,60.50%,62.90%
13000,13500,60.20%,62.00%
13500,14000,58.00%,61.30%
14000,14500,46.60%,49.10%
14500,15000,58.90%,61.30%
15000,15500,57.60%,61.30%
15500,16000,53.80%,61.20%
16000,16500,53.40%,53.40%
16500,17000,53.10%,59.70%
17000,17500,57.00%,59.20%
17500,18000,58.50%,64.70%
18000,18500,57.60%,58.20%
18500,19000,56.70%,62.80%
19000,19500,59.80%,61.00%
19500,20000,52.70%,56.90%
20000,20500,57.90%,63.40%
20500,21000,55.20%,59.10%
21000,21500,56.80%,53.00%
21500,22000,58.80%,61.60%
22000,22500,58.40%,62.20%
22500,23000,59.60%,64.10%
23000,23500,55.50%,60.80%
23500,24000,55.10%,56.40%
24000,24500,51.00%,54.70%
24500,25000,57.90%,64.00%
25000,25500,54.60%,56.90%
25500,26000,57.80%,57.40%
26000,26500,55.90%,55.60%
26500,27000,53.10%,55.00%
27000,27500,54.60%,56.20%
27500,28000,56.70%,57.40%
28000,28500,54.10%,53.80%
28500,29000,57.60%,60.30%
29000,29500,60.80%,67.10%
29500,30000,56.80%,58.10%
30000,30500,57.40%,60.30%
30500,31000,58.70%,57.90%
31000,31500,51.20%,59.80%
31500,32000,60.30%,69.20%
32000,32500,57.40%,60.40%
32500,33000,54.30%,55.20%
33000,33500,59.90%,64.40%
33500,34000,61.50%,60.50%
34000,34500,51.90%,56.50%
34500,35000,61.90%,63.50%
35000,35500,64.50%,67.10%
35500,36000,51.80%,52.70%
36000,36500,61.20%,61.00%
36500,37000,56.80%,59.60%
37000,37500,58.50%,58.60%
37500,38000,64.10%,66.90%
38000,38500,58.90%,57.90%
38500,39000,59.20%,61.90%
39000,39500,54.20%,64.70%
39500,40000,56.40%,52.20%
40000,40500,52.50%,56.90%
40500,41000,60.50%,61.20%
41000,41500,46.90%,49.40%
41500,42000,56.50%,60.20%
42000,42500,52.40%,59.00%
42500,43000,58.90%,56.00%
43000,43500,58.20%,59.40%
43500,44000,58.70%,57.20%
44000,44500,55.20%,56.70%
44500,45000,56.40%,61.80%
45000,45500,65.90%,64.90%
45500,46000,60.30%,62.00%
46000,46500,59.60%,61.10%
46500,47000,56.40%,56.00%
47000,47500,61.20%,63.30%
47500,48000,58.30%,63.60%
48000,48500,59.30%,60.30%
48500,49000,54.10%,51.60%
49000,49500,59.50%,60.60%
49500,50000,59.30%,63.30%
0,1000,60.80%,64.80%
1000,2000,66.00%,71.75%
2000,3000,62.10%,66.95%
3000,4000,58.50%,61.90%
4000,5000,64.15%,66.25%
5000,6000,63.10%,64.80%
6000,7000,61.60%,63.15%
7000,8000,65.00%,67.75%
8000,9000,61.25%,61.75%
9000,10000,62.00%,65.80%
10000,11000,62.50%,66.60%
11000,12000,63.85%,67.15%
12000,13000,66.55%,68.75%
13000,14000,62.50%,67.75%
14000,15000,60.70%,65.30%
15000,16000,63.65%,70.75%
16000,17000,64.95%,68.95%
17000,18000,60.40%,70.35%
18000,19000,57.70%,61.80%
19000,20000,61.25%,66.20%
20000,21000,62.95%,68.80%
21000,22000,65.55%,64.40%
22000,23000,68.30%,75.95%
23000,24000,63.10%,64.10%
24000,25000,62.80%,68.40%
25000,26000,62.50%,71.10%
26000,27000,59.00%,62.80%
27000,28000,66.15%,69.70%
28000,29000,60.00%,62.05%
29000,30000,61.95%,65.95%
30000,31000,59.30%,65.35%
31000,32000,67.40%,70.80%
32000,33000,64.65%,67.15%
33000,34000,66.15%,69.90%
34000,35000,64.90%,66.70%
35000,36000,65.90%,70.45%
36000,37000,62.70%,67.15%
37000,38000,66.25%,69.60%
38000,39000,65.70%,70.30%
39000,40000,57.05%,64.15%
40000,41000,59.60%,61.80%
41000,42000,62.65%,68.40%
42000,43000,66.15%,70.50%
43000,44000,60.65%,69.80%
44000,45000,57.15%,66.00%
45000,46000,60.80%,67.35%
46000,47000,65.15%,68.00%
47000,48000,62.10%,66.55%
48000,49000,63.70%,65.95%
49000,50000,61.85%,64.65%
0,2000,70.07%,76.82%
2000,4000,68.87%,75.90%
4000,6000,71.67%,76.55%
6000,8000,67.55%,74.08%
8000,10000,69.42%,73.45%
10000,12000,71.43%,78.03%
12000,14000,75.75%,78.63%
14000,16000,68.90%,76.35%
16000,18000,70.33%,78.53%
18000,20000,67.98%,75.32%
20000,22000,69.77%,74.58%
22000,24000,70.72%,76.97%
24000,26000,67.95%,76.67%
26000,28000,64.25%,71.63%
28000,30000,64.13%,72.05%
30000,32000,72.65%,77.95%
32000,34000,70.70%,76.32%
