start,end,normal_acc,aug_acc
0,500,52.50%,57.90%
500,1000,59.40%,69.60%
1000,1500,46.70%,63.90%
1500,2000,59.10%,67.70%
2000,2500,55.20%,46.00%
2500,3000,57.80%,60.40%
3000,3500,44.40%,57.70%
3500,4000,58.90%,62.60%
4000,4500,56.20%,59.10%
4500,5000,56.40%,59.00%
5000,5500,58.40%,68.50%
5500,6000,56.60%,57.40%
6000,6500,50.80%,53.10%
6500,7000,59.40%,57.80%
7000,7500,53.60%,55.20%
7500,8000,55.10%,65.20%
8000,8500,52.80%,57.60%
8500,9000,57.30%,63.90%
9000,9500,54.90%,60.10%
9500,10000,57.60%,57.90%
10000,10500,56.80%,51.90%
10500,11000,61.30%,61.80%
11000,11500,58.20%,56.20%
11500,12000,63.10%,52.70%
12000,12500,56.80%,59.40%
12500,13000,60.50%,61.50%
13000,13500,60.20%,58.40%
13500,14000,58.00%,60.90%
14000,14500,46.60%,48.40%
14500,15000,58.90%,54.60%
15000,15500,57.60%,60.00%
15500,16000,53.80%,52.70%
16000,16500,53.40%,52.70%
16500,17000,53.10%,54.00%
17000,17500,57.00%,63.50%
17500,18000,58.50%,58.60%
18000,18500,57.60%,64.10%
18500,19000,56.70%,60.20%
19000,19500,59.80%,57.50%
19500,20000,52.70%,53.60%
20000,20500,57.90%,57.50%
20500,21000,55.20%,58.70%
21000,21500,56.80%,51.30%
21500,22000,58.80%,65.70%
22000,22500,58.40%,60.60%
22500,23000,59.60%,59.80%
23000,23500,55.50%,62.20%
23500,24000,55.10%,63.80%
24000,24500,51.00%,58.60%
24500,25000,57.90%,53.90%
25000,25500,54.60%,56.60%
25500,26000,57.80%,52.90%
26000,26500,55.90%,56.50%
26500,27000,53.10%,57.70%
27000,27500,54.60%,55.60%
27500,28000,56.70%,52.60%
28000,28500,54.10%,48.40%
28500,29000,57.60%,64.20%
29000,29500,60.80%,57.40%
29500,30000,56.80%,62.40%
30000,30500,57.40%,57.40%
30500,31000,58.70%,55.10%
31000,31500,51.20%,61.80%
31500,32000,60.30%,62.40%
32000,32500,57.40%,61.60%
32500,33000,54.30%,64.00%
33000,33500,59.90%,60.20%
33500,34000,61.50%,60.50%
34000,34500,51.90%,60.00%
34500,35000,61.90%,58.50%
35000,35500,64.50%,61.80%
35500,36000,51.80%,50.90%
36000,36500,61.20%,68.20%
36500,37000,56.80%,60.10%
37000,37500,58.50%,62.90%
37500,38000,64.10%,56.00%
38000,38500,58.90%,65.90%
38500,39000,59.20%,62.30%
39000,39500,54.20%,60.10%
39500,40000,56.40%,58.70%
40000,40500,52.50%,57.20%
40500,41000,60.50%,61.00%
41000,41500,46.90%,58.20%
41500,42000,56.50%,56.00%
42000,42500,52.40%,47.60%
42500,43000,58.90%,62.50%
43000,43500,58.20%,49.10%
43500,44000,58.70%,54.90%
44000,44500,55.20%,50.60%
44500,45000,56.40%,53.00%
45000,45500,65.90%,58.50%
45500,46000,60.30%,60.50%
46000,46500,59.60%,61.30%
46500,47000,56.40%,59.40%
47000,47500,61.20%,63.60%
47500,48000,58.30%,61.30%
48000,48500,59.30%,61.80%
48500,49000,54.10%,55.70%
49000,49500,59.50%,62.80%
49500,50000,59.30%,57.90%
0,1000,60.80%,69.90%
1000,2000,66.00%,68.50%
2000,3000,62.10%,71.15%
3000,4000,58.50%,70.50%
4000,5000,64.15%,66.00%
5000,6000,63.10%,72.65%
6000,7000,61.60%,68.10%
7000,8000,65.00%,68.30%
8000,9000,61.25%,63.25%
9000,10000,62.00%,66.95%
10000,11000,62.50%,65.55%
11000,12000,63.85%,65.40%
12000,13000,66.55%,70.60%
13000,14000,62.50%,69.65%
14000,15000,60.70%,64.55%
15000,16000,63.65%,62.85%
16000,17000,64.95%,70.95%
17000,18000,60.40%,64.80%
18000,19000,57.70%,59.60%
19000,20000,61.25%,68.80%
20000,21000,62.95%,67.85%
21000,22000,65.55%,62.30%
22000,23000,68.30%,69.55%
23000,24000,63.10%,68.30%
24000,25000,62.80%,67.60%
25000,26000,62.50%,67.00%
26000,27000,59.00%,66.80%
27000,28000,66.15%,65.85%
28000,29000,60.00%,58.95%
29000,30000,61.95%,70.10%
30000,31000,59.30%,67.70%
31000,32000,67.40%,74.15%
32000,33000,64.65%,64.40%
33000,34000,66.15%,72.70%
34000,35000,64.90%,68.70%
35000,36000,65.90%,67.70%
36000,37000,62.70%,69.55%
37000,38000,66.25%,73.60%
38000,39000,65.70%,68.00%
39000,40000,57.05%,64.65%
40000,41000,59.60%,64.40%
41000,42000,62.65%,67.25%
42000,43000,66.15%,68.35%
43000,44000,60.65%,59.30%
44000,45000,57.15%,67.60%
45000,46000,60.80%,73.55%
46000,47000,65.15%,67.05%
47000,48000,62.10%,66.20%
48000,49000,63.70%,67.75%
49000,50000,61.85%,66.50%
0,2000,70.07%,77.25%
2000,4000,68.87%,77.57%
4000,6000,71.67%,75.22%
6000,8000,67.55%,72.63%
8000,10000,69.42%,72.90%
10000,12000,71.43%,72.33%
12000,14000,75.75%,78.90%
14000,16000,68.90%,75.00%
16000,18000,70.33%,76.35%
18000,20000,67.98%,74.45%
20000,22000,69.77%,77.35%
22000,24000,70.72%,81.23%
24000,26000,67.95%,72.93%
26000,28000,64.25%,73.27%
28000,30000,64.13%,75.70%
30000,32000,72.65%,74.98%
32000,34000,70.70%,72.33%
34000,36000,67.15%,75.92%
36000,38000,69.35%,75.17%
38000,40000,67.87%,75.90%
40000,42000,65.30%,79.13%
42000,44000,69.77%,75.70%
44000,46000,72.70%,75.65%
46000,48000,66.58%,74.45%
48000,50000,69.87%,73.43%
0,5000,78.95%,80.84%
5000,10000,76.28%,79.45%
10000,15000,78.14%,79.78%
15000,20000,79.97%,80.70%
20000,25000,80.53%,80.56%
25000,30000,78.92%,80.00%
30000,35000,77.16%,79.19%
35000,40000,78.23%,81.36%
40000,45000,78.39%,78.30%
45000,50000,77.28%,79.90%
0,10000,80.58%,81.35%
10000,20000,81.57%,81.69%
20000,30000,82.49%,82.15%
30000,40000,81.32%,81.91%
40000,50000,80.80%,82.18%
