start,end,normal_acc,aug_acc
0,500,59.00%,59.80%
500,1000,69.00%,63.50%
1000,1500,78.00%,59.70%
1500,2000,65.00%,73.30%
2000,2500,71.00%,65.90%
2500,3000,65.00%,65.70%
3000,3500,69.00%,64.80%
3500,4000,58.00%,67.80%
4000,4500,60.00%,62.60%
4500,5000,64.00%,59.70%
5000,5500,61.00%,63.80%
5500,6000,57.00%,64.50%
6000,6500,67.00%,55.00%
6500,7000,64.00%,63.90%
7000,7500,63.00%,58.20%
7500,8000,72.00%,65.30%
8000,8500,65.00%,69.80%
8500,9000,63.00%,60.70%
9000,9500,67.00%,61.60%
9500,10000,64.00%,64.90%
10000,10500,71.00%,61.70%
10500,11000,62.00%,68.50%
11000,11500,68.00%,61.20%
11500,12000,64.00%,73.70%
12000,12500,75.00%,63.10%
12500,13000,74.00%,70.40%
13000,13500,69.00%,70.00%
13500,14000,56.00%,70.70%
14000,14500,67.00%,56.30%
14500,15000,63.00%,63.80%
15000,15500,65.00%,63.10%
15500,16000,63.00%,65.50%
16000,16500,58.00%,63.50%
16500,17000,69.00%,64.00%
17000,17500,72.00%,66.10%
17500,18000,64.00%,72.20%
18000,18500,61.00%,65.10%
18500,19000,67.00%,61.20%
19000,19500,61.00%,66.70%
19500,20000,67.00%,63.50%
20000,20500,64.00%,62.30%
20500,21000,60.00%,65.30%
21000,21500,68.00%,55.40%
21500,22000,67.00%,68.00%
22000,22500,66.00%,67.60%
22500,23000,66.00%,65.10%
23000,23500,67.00%,63.00%
23500,24000,59.00%,58.40%
24000,24500,73.00%,63.90%
24500,25000,58.00%,65.70%
25000,25500,65.00%,60.30%
25500,26000,68.00%,64.90%
26000,26500,70.00%,66.00%
26500,27000,62.00%,63.60%
27000,27500,64.00%,62.00%
27500,28000,67.00%,66.30%
28000,28500,67.00%,58.20%
28500,29000,70.00%,68.30%
29000,29500,65.00%,71.40%
29500,30000,67.00%,61.10%
30000,30500,67.00%,67.60%
30500,31000,59.00%,68.10%
31000,31500,66.00%,66.20%
31500,32000,56.00%,68.30%
32000,32500,60.00%,57.30%
32500,33000,63.00%,57.80%
33000,33500,59.00%,68.70%
33500,34000,69.00%,59.70%
34000,34500,67.00%,71.40%
34500,35000,68.00%,64.50%
35000,35500,64.00%,66.30%
35500,36000,64.00%,60.70%
36000,36500,59.00%,64.10%
36500,37000,72.00%,61.40%
37000,37500,78.00%,67.30%
37500,38000,61.00%,72.20%
38000,38500,67.00%,60.00%
38500,39000,61.00%,64.90%
39000,39500,63.00%,66.30%
39500,40000,69.00%,62.30%
40000,40500,62.00%,62.50%
40500,41000,64.00%,65.90%
41000,41500,63.00%,71.20%
41500,42000,68.00%,65.30%
42000,42500,71.00%,69.90%
42500,43000,64.00%,63.30%
43000,43500,62.00%,66.30%
43500,44000,58.00%,60.10%
44000,44500,66.00%,62.20%
44500,45000,68.00%,66.60%
45000,45500,65.00%,69.10%
45500,46000,67.00%,65.50%
46000,46500,64.00%,63.40%
46500,47000,70.00%,60.10%
47000,47500,67.00%,67.70%
47500,48000,70.00%,66.80%
48000,48500,59.00%,66.80%
48500,49000,60.00%,58.00%
49000,49500,69.00%,60.90%
49500,50000,64.50%,66.70%
0,1000,71.50%,65.80%
1000,2000,70.50%,70.70%
2000,3000,64.50%,66.30%
3000,4000,63.50%,62.90%
4000,5000,64.00%,66.55%
5000,6000,63.00%,61.65%
6000,7000,73.50%,63.85%
7000,8000,63.50%,68.95%
8000,9000,66.50%,62.00%
9000,10000,64.00%,70.30%
10000,11000,66.50%,62.05%
11000,12000,72.50%,68.65%
12000,13000,68.50%,70.05%
13000,14000,65.50%,64.55%
14000,15000,67.00%,62.65%
15000,16000,68.00%,67.95%
16000,17000,72.00%,68.15%
17000,18000,63.00%,66.10%
18000,19000,66.50%,61.15%
19000,20000,66.00%,67.95%
20000,21000,68.50%,66.45%
21000,22000,78.00%,67.50%
22000,23000,68.50%,75.00%
23000,24000,67.00%,65.90%
24000,25000,65.50%,67.05%
25000,26000,63.00%,70.50%
26000,27000,71.50%,65.35%
27000,28000,67.00%,70.15%
28000,29000,66.50%,65.00%
29000,30000,67.00%,66.70%
30000,31000,73.00%,67.40%
31000,32000,66.50%,70.35%
32000,33000,69.50%,67.05%
