start,end,normal_acc,aug_acc
0,500,60.80%,60.70%
500,1000,61.70%,63.40%
1000,1500,54.50%,52.30%
1500,2000,73.80%,75.90%
2000,2500,63.70%,67.10%
2500,3000,67.90%,65.90%
3000,3500,65.30%,69.80%
3500,4000,69.00%,66.10%
4000,4500,62.60%,63.20%
4500,5000,60.00%,60.80%
5000,5500,60.70%,61.30%
5500,6000,62.60%,65.70%
6000,6500,53.00%,55.70%
6500,7000,64.90%,65.60%
7000,7500,60.90%,53.30%
7500,8000,63.40%,64.10%
8000,8500,68.20%,66.60%
8500,9000,60.50%,57.90%
9000,9500,63.90%,63.00%
9500,10000,66.30%,68.10%
10000,10500,60.70%,62.00%
10500,11000,69.40%,68.40%
11000,11500,61.40%,60.30%
11500,12000,72.60%,72.20%
12000,12500,62.00%,64.50%
12500,13000,67.40%,67.80%
13000,13500,70.00%,72.00%
13500,14000,71.90%,70.70%
14000,14500,54.60%,55.50%
14500,15000,65.70%,62.50%
15000,15500,62.60%,65.60%
15500,16000,68.30%,67.70%
16000,16500,60.70%,61.40%
16500,17000,63.70%,64.90%
17000,17500,68.00%,68.40%
17500,18000,70.90%,73.80%
18000,18500,63.90%,62.90%
18500,19000,61.40%,62.80%
19000,19500,66.90%,65.80%
19500,20000,61.20%,58.20%
20000,20500,58.50%,63.00%
20500,21000,66.30%,65.70%
21000,21500,60.40%,60.00%
21500,22000,68.00%,67.80%
22000,22500,68.30%,67.30%
22500,23000,67.00%,65.70%
23000,23500,66.30%,65.20%
23500,24000,62.20%,61.60%
24000,24500,62.60%,61.90%
24500,25000,69.50%,68.30%
25000,25500,60.40%,61.30%
25500,26000,66.00%,65.20%
26000,26500,65.10%,64.60%
26500,27000,60.00%,60.10%
27000,27500,61.80%,62.10%
27500,28000,65.70%,64.90%
28000,28500,61.20%,56.00%
28500,29000,66.90%,67.80%
29000,29500,69.20%,70.60%
29500,30000,61.20%,61.30%
30000,30500,67.60%,68.00%
30500,31000,67.20%,65.10%
31000,31500,63.60%,61.00%
31500,32000,69.60%,69.30%
32000,32500,57.90%,59.90%
32500,33000,58.40%,56.50%
33000,33500,67.50%,68.70%
33500,34000,61.40%,61.40%
34000,34500,71.10%,70.20%
34500,35000,63.70%,61.40%
35000,35500,67.10%,67.00%
35500,36000,61.00%,59.30%
36000,36500,64.00%,65.20%
36500,37000,62.50%,59.70%
37000,37500,68.90%,64.00%
37500,38000,73.90%,71.30%
38000,38500,59.30%,60.10%
38500,39000,66.50%,63.80%
39000,39500,64.30%,64.80%
39500,40000,63.70%,59.30%
40000,40500,64.60%,59.70%
40500,41000,64.50%,63.90%
41000,41500,71.60%,67.20%
41500,42000,64.90%,64.30%
42000,42500,66.90%,67.90%
42500,43000,61.40%,62.00%
43000,43500,66.00%,63.00%
43500,44000,61.90%,64.30%
44000,44500,60.80%,61.20%
44500,45000,66.50%,68.40%
45000,45500,68.10%,69.50%
45500,46000,65.40%,65.10%
46000,46500,63.20%,64.60%
46500,47000,60.60%,61.00%
47000,47500,69.50%,64.50%
47500,48000,68.20%,67.70%
48000,48500,63.30%,68.40%
48500,49000,58.00%,56.30%
49000,49500,59.80%,61.80%
49500,50000,66.80%,68.00%
0,1000,65.75%,66.65%
1000,2000,72.75%,72.05%
2000,3000,67.90%,65.75%
3000,4000,63.25%,63.10%
4000,5000,64.50%,66.00%
5000,6000,62.60%,64.35%
6000,7000,62.90%,63.30%
7000,8000,69.85%,68.70%
8000,9000,63.65%,62.85%
9000,10000,67.95%,68.65%
10000,11000,61.95%,61.65%
11000,12000,68.80%,66.50%
12000,13000,71.60%,68.85%
13000,14000,66.05%,65.40%
14000,15000,65.80%,65.45%
15000,16000,70.35%,67.70%
16000,17000,69.00%,68.25%
17000,18000,67.45%,69.05%
18000,19000,62.55%,62.85%
19000,20000,66.25%,68.20%
20000,21000,66.80%,66.15%
21000,22000,65.25%,62.25%
22000,23000,75.40%,76.50%
23000,24000,65.70%,64.00%
24000,25000,66.25%,66.65%
25000,26000,69.95%,73.00%
26000,27000,64.20%,66.15%
27000,28000,71.50%,69.80%
28000,29000,65.65%,64.85%
29000,30000,67.50%,68.20%
30000,31000,68.10%,66.45%
31000,32000,70.90%,72.10%
32000,33000,67.35%,67.00%
33000,34000,69.30%,68.00%
34000,35000,69.90%,67.80%
35000,36000,69.65%,68.70%
36000,37000,68.45%,67.30%
37000,38000,71.95%,73.05%
38000,39000,69.95%,68.35%
39000,40000,68.30%,67.55%
40000,41000,61.35%,59.05%
41000,42000,67.50%,67.55%
42000,43000,72.10%,73.15%
43000,44000,70.55%,70.65%
44000,45000,70.05%,68.80%
45000,46000,62.60%,65.15%
46000,47000,70.45%,69.50%
47000,48000,65.15%,64.55%
48000,49000,65.80%,66.40%
49000,50000,63.30%,64.15%
0,2000,71.35%,71.05%
2000,4000,68.97%,68.65%
4000,6000,70.58%,71.85%
6000,8000,69.55%,68.22%
8000,10000,70.07%,69.12%
10000,12000,73.62%,70.17%
12000,14000,77.27%,75.00%
14000,16000,71.45%,67.35%
16000,18000,73.53%,71.20%
18000,20000,68.03%,68.30%
20000,22000,71.78%,71.88%
22000,24000,72.95%,72.93%
24000,26000,69.52%,67.73%
26000,28000,69.18%,69.40%
28000,30000,66.83%,68.27%
30000,32000,71.80%,73.23%
32000,34000,71.22%,70.90%
34000,36000,69.65%,72.00%
36000,38000,71.52%,71.52%
38000,40000,69.38%,70.15%
40000,42000,66.68%,66.78%
42000,44000,70.92%,71.80%
44000,46000,71.73%,69.55%
46000,48000,69.40%,68.82%
48000,50000,72.57%,71.02%
0,5000,74.75%,74.14%
5000,10000,71.12%,70.32%
10000,15000,74.42%,74.92%
15000,20000,74.47%,72.99%
20000,25000,74.64%,74.68%
25000,30000,73.71%,73.66%
30000,35000,72.93%,73.46%
35000,40000,73.58%,74.63%
40000,45000,72.60%,72.48%
45000,50000,75.09%,74.55%
0,10000,75.44%,74.94%
10000,20000,74.89%,73.98%
20000,30000,76.68%,77.00%
30000,40000,75.13%,75.10%
40000,50000,74.60%,73.87%
0,12500,74.76%,73.36%
12500,25000,74.18%,74.72%
25000,37500,75.98%,76.35%
37500,50000,75.44%,76.06%
0,25000,76.51%,77.30%
25000,50000,77.27%,78.23%
0,50000,76.33%,77.39%
