start,end,normal_acc,aug_acc
0,500,60.80%,63.50%
500,1000,61.70%,73.50%
1000,1500,54.50%,64.30%
1500,2000,73.80%,69.80%
2000,2500,63.70%,60.40%
2500,3000,67.90%,67.90%
3000,3500,65.30%,62.40%
3500,4000,69.00%,64.80%
4000,4500,62.60%,62.80%
4500,5000,60.00%,69.50%
5000,5500,60.70%,72.60%
5500,6000,62.60%,64.10%
6000,6500,53.00%,53.70%
6500,7000,64.90%,65.50%
7000,7500,60.90%,59.30%
7500,8000,63.40%,62.60%
8000,8500,68.20%,66.10%
8500,9000,60.50%,71.90%
9000,9500,63.90%,66.50%
9500,10000,66.30%,62.80%
10000,10500,60.70%,51.80%
10500,11000,69.40%,65.20%
11000,11500,61.40%,58.80%
11500,12000,72.60%,61.00%
12000,12500,62.00%,72.70%
12500,13000,67.40%,66.20%
13000,13500,70.00%,65.50%
13500,14000,71.90%,64.90%
14000,14500,54.60%,57.90%
14500,15000,65.70%,60.40%
15000,15500,62.60%,60.30%
15500,16000,68.30%,59.30%
16000,16500,60.70%,54.70%
16500,17000,63.70%,58.70%
17000,17500,68.00%,66.10%
17500,18000,70.90%,67.50%
18000,18500,63.90%,68.40%
18500,19000,61.40%,60.60%
19000,19500,66.90%,58.20%
19500,20000,61.20%,62.50%
20000,20500,58.50%,64.90%
20500,21000,66.30%,60.70%
21000,21500,60.40%,61.60%
21500,22000,68.00%,70.70%
22000,22500,68.30%,64.00%
22500,23000,67.00%,67.30%
23000,23500,66.30%,71.90%
23500,24000,62.20%,71.30%
24000,24500,62.60%,66.30%
24500,25000,69.50%,58.20%
25000,25500,60.40%,62.80%
25500,26000,66.00%,57.30%
26000,26500,65.10%,59.60%
26500,27000,60.00%,67.50%
27000,27500,61.80%,56.80%
27500,28000,65.70%,52.90%
28000,28500,61.20%,59.80%
28500,29000,66.90%,69.10%
29000,29500,69.20%,64.40%
29500,30000,61.20%,67.90%
30000,30500,67.60%,61.30%
30500,31000,67.20%,62.60%
31000,31500,63.60%,71.80%
31500,32000,69.60%,66.20%
32000,32500,57.90%,66.20%
32500,33000,58.40%,67.00%
33000,33500,67.50%,65.30%
33500,34000,61.40%,65.20%
34000,34500,71.10%,65.90%
34500,35000,63.70%,58.70%
35000,35500,67.10%,61.40%
35500,36000,61.00%,61.20%
36000,36500,64.00%,72.80%
36500,37000,62.50%,65.40%
37000,37500,68.90%,63.40%
37500,38000,73.90%,60.90%
38000,38500,59.30%,69.60%
38500,39000,66.50%,65.30%
39000,39500,64.30%,63.80%
39500,40000,63.70%,71.00%
40000,40500,64.60%,65.00%
40500,41000,64.50%,65.50%
41000,41500,71.60%,63.70%
41500,42000,64.90%,58.90%
42000,42500,66.90%,61.90%
42500,43000,61.40%,62.30%
43000,43500,66.00%,49.40%
43500,44000,61.90%,56.20%
44000,44500,60.80%,54.00%
44500,45000,66.50%,62.60%
45000,45500,68.10%,62.60%
45500,46000,65.40%,65.50%
46000,46500,63.20%,69.50%
46500,47000,60.60%,68.70%
47000,47500,69.50%,68.60%
47500,48000,68.20%,64.30%
48000,48500,63.30%,61.70%
48500,49000,58.00%,60.80%
49000,49500,59.80%,68.70%
49500,50000,66.80%,62.30%
0,1000,65.75%,69.60%
1000,2000,72.75%,68.60%
2000,3000,67.90%,68.55%
3000,4000,63.25%,68.35%
4000,5000,64.50%,66.20%
5000,6000,62.60%,69.90%
6000,7000,62.90%,69.05%
7000,8000,69.85%,72.30%
8000,9000,63.65%,64.35%
9000,10000,67.95%,67.05%
10000,11000,61.95%,69.25%
11000,12000,68.80%,66.65%
12000,13000,71.60%,74.05%
13000,14000,66.05%,71.75%
14000,15000,65.80%,69.25%
15000,16000,70.35%,62.55%
16000,17000,69.00%,71.15%
17000,18000,67.45%,64.90%
18000,19000,62.55%,60.90%
19000,20000,66.25%,69.65%
20000,21000,66.80%,64.50%
21000,22000,65.25%,68.50%
22000,23000,75.40%,69.00%
23000,24000,65.70%,66.70%
24000,25000,66.25%,65.85%
25000,26000,69.95%,69.50%
26000,27000,64.20%,72.65%
27000,28000,71.50%,71.10%
28000,29000,65.65%,68.30%
29000,30000,67.50%,70.60%
30000,31000,68.10%,69.20%
31000,32000,70.90%,76.85%
32000,33000,67.35%,64.00%
33000,34000,69.30%,71.55%
34000,35000,69.90%,67.90%
35000,36000,69.65%,70.70%
36000,37000,68.45%,67.85%
37000,38000,71.95%,76.70%
38000,39000,69.95%,67.40%
39000,40000,68.30%,65.80%
40000,41000,61.35%,65.65%
41000,42000,67.50%,67.35%
42000,43000,72.10%,69.30%
43000,44000,70.55%,70.85%
44000,45000,70.05%,69.40%
45000,46000,62.60%,72.10%
46000,47000,70.45%,69.30%
47000,48000,65.15%,70.25%
48000,49000,65.80%,67.85%
49000,50000,63.30%,67.85%
0,2000,71.35%,71.23%
2000,4000,68.97%,70.65%
4000,6000,70.58%,69.40%
6000,8000,69.55%,67.45%
8000,10000,70.07%,66.80%
10000,12000,73.62%,69.30%
12000,14000,77.27%,73.68%
14000,16000,71.45%,73.00%
16000,18000,73.53%,71.02%
18000,20000,68.03%,71.53%
20000,22000,71.78%,70.65%
22000,24000,72.95%,73.33%
24000,26000,69.52%,66.90%
26000,28000,69.18%,72.05%
28000,30000,66.83%,68.85%
30000,32000,71.80%,71.25%
32000,34000,71.22%,69.55%
34000,36000,69.65%,74.15%
36000,38000,71.52%,69.97%
38000,40000,69.38%,70.40%
40000,42000,66.68%,71.78%
42000,44000,70.92%,70.85%
44000,46000,71.73%,69.20%
46000,48000,69.40%,68.65%
48000,50000,72.57%,70.57%
0,5000,74.75%,74.53%
5000,10000,71.12%,72.09%
10000,15000,74.42%,75.13%
15000,20000,74.47%,74.96%
20000,25000,74.64%,75.16%
25000,30000,73.71%,74.42%
30000,35000,72.93%,73.24%
35000,40000,73.58%,75.52%
40000,45000,72.60%,72.48%
45000,50000,75.09%,72.05%
0,10000,75.44%,75.57%
10000,20000,74.89%,76.25%
20000,30000,76.68%,75.73%
30000,40000,75.13%,75.81%
40000,50000,74.60%,74.84%
0,12500,74.76%,76.15%
12500,25000,74.18%,77.34%
25000,37500,75.98%,77.04%
37500,50000,75.44%,75.17%
0,25000,76.51%,77.36%
25000,50000,77.27%,77.38%
0,50000,76.33%,78.81%
