date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc,,,,,,,,,,,,,
56:03.1,1,500,532,0,500,81.00%,46.05%,81.00%,81.00%,81.00%,79.73%,81.00%,,,,,,,,,,,,,
03:15.3,2,500,532,0,500,79.00%,44.72%,79.00%,79.00%,79.00%,78.21%,80.00%,,,,,,,,,,,,,
10:25.9,3,500,532,0,500,79.00%,55.10%,79.00%,79.00%,79.00%,78.95%,79.67%,,,,,,,,,,,,,
17:39.7,4,500,532,0,500,81.00%,50.83%,81.00%,81.00%,81.00%,79.94%,80.00%,,,,,,,,,,,,,
24:55.8,5,500,532,0,500,84.00%,32.42%,84.00%,84.00%,84.00%,83.46%,80.80%,,,,,,,,,,,,,
32:27.9,1,500,554,500,1000,87.00%,22.58%,87.00%,87.00%,87.00%,86.94%,87.00%,,,,,,,,,,,,,
39:56.7,2,500,554,500,1000,88.00%,29.32%,88.00%,88.00%,88.00%,87.96%,87.50%,,,,,,,,,,,,,
47:26.5,3,500,554,500,1000,88.00%,32.96%,88.00%,88.00%,88.00%,88.00%,87.67%,,,,,,,,,,,,,
54:59.1,4,500,554,500,1000,87.00%,26.19%,87.00%,87.00%,87.00%,86.89%,87.50%,,,,,,,,,,,,,
02:32.1,5,500,554,500,1000,87.00%,34.31%,87.00%,87.00%,87.00%,86.97%,87.40%,,,,,,,,,,,,,
10:10.4,1,500,551,1000,1500,88.00%,32.54%,88.00%,88.00%,88.00%,88.00%,88.00%,,,,,,,,,,,,,
17:45.1,2,500,551,1000,1500,84.00%,38.93%,84.00%,84.00%,84.00%,83.58%,86.00%,,,,,,,,,,,,,
25:21.0,3,500,551,1000,1500,88.00%,37.62%,88.00%,88.00%,88.00%,88.00%,86.67%,,,,,,,,,,,,,
32:55.6,4,500,551,1000,1500,80.00%,42.89%,80.00%,80.00%,80.00%,79.60%,85.00%,,,,,,,,,,,,,
40:29.3,5,500,551,1000,1500,84.00%,57.98%,84.00%,84.00%,84.00%,83.46%,84.80%,,,,,,,,,,,,,
48:10.2,1,500,550,1500,2000,80.00%,41.17%,80.00%,80.00%,80.00%,78.98%,80.00%,,,,,,,,,,,,,
55:44.6,2,500,550,1500,2000,81.00%,38.66%,81.00%,81.00%,81.00%,80.12%,80.50%,,,,,,,,,,,,,
03:19.6,3,500,550,1500,2000,87.00%,28.21%,87.00%,87.00%,87.00%,86.84%,82.67%,,,,,,,,,,,,,
10:54.3,4,500,550,1500,2000,88.00%,32.18%,88.00%,88.00%,88.00%,88.00%,84.00%,,,,,,,,,,,,,
18:29.3,5,500,550,1500,2000,90.00%,24.44%,90.00%,90.00%,90.00%,89.94%,85.20%,,,,,,,,,,,,,
26:06.8,1,500,547,2000,2500,91.00%,25.43%,91.00%,91.00%,91.00%,90.99%,91.00%,,,,,,,,,,,,,
33:38.9,2,500,547,2000,2500,89.00%,26.34%,89.00%,89.00%,89.00%,88.95%,90.00%,,,,,,,,,,,,,
41:11.7,3,500,547,2000,2500,88.00%,29.15%,88.00%,88.00%,88.00%,87.98%,89.33%,,,,,,,,,,,,,
48:46.4,4,500,547,2000,2500,87.00%,38.95%,87.00%,87.00%,87.00%,86.97%,88.75%,,,,,,,,,,,,,
56:18.1,5,500,547,2000,2500,85.00%,35.71%,85.00%,85.00%,85.00%,84.88%,88.00%,,,,,,,,,,,,,
03:55.7,1,500,551,2500,3000,79.00%,42.76%,79.00%,79.00%,79.00%,78.52%,79.00%,,,,,,,,,,,,,
11:32.2,2,500,551,2500,3000,72.00%,70.69%,72.00%,72.00%,72.00%,69.97%,75.50%,,,,,,,,,,,,,
19:07.6,3,500,551,2500,3000,74.00%,69.91%,74.00%,74.00%,74.00%,71.79%,75.00%,,,,,,,,,,,,,
26:45.5,4,500,551,2500,3000,69.00%,71.71%,69.00%,69.00%,69.00%,66.56%,73.50%,,,,,,,,,,,,,
34:21.5,5,500,551,2500,3000,78.00%,46.89%,78.00%,78.00%,78.00%,77.78%,74.40%,,,,,,,,,,,,,
41:52.5,1,500,542,3000,3500,88.00%,40.93%,88.00%,88.00%,88.00%,88.00%,88.00%,,,,,,,,,,,,,
49:19.9,2,500,542,3000,3500,89.00%,33.17%,89.00%,89.00%,89.00%,88.97%,88.50%,,,,,,,,,,,,,
56:52.7,3,500,542,3000,3500,84.00%,54.88%,84.00%,84.00%,84.00%,83.99%,87.00%,,,,,,,,,,,,,
04:23.4,4,500,542,3000,3500,86.00%,42.57%,86.00%,86.00%,86.00%,85.86%,86.75%,,,,,,,,,,,,,
11:51.6,5,500,542,3000,3500,87.00%,46.40%,87.00%,87.00%,87.00%,87.00%,86.80%,,,,,,,,,,,,,
