date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc,,,,,,,,,,,,,
54:49.9,1,500,400,0,500,82.00%,43.51%,82.00%,82.00%,82.00%,81.93%,82.00%,,,,,,,,,,,,,
59:19.3,2,500,400,0,500,88.00%,38.69%,88.00%,88.00%,88.00%,87.50%,85.00%,,,,,,,,,,,,,
03:47.5,3,500,400,0,500,86.00%,40.40%,86.00%,86.00%,86.00%,85.99%,85.33%,,,,,,,,,,,,,
08:17.9,4,500,400,0,500,76.00%,62.56%,76.00%,76.00%,76.00%,73.26%,83.00%,,,,,,,,,,,,,
12:53.8,5,500,400,0,500,90.00%,36.93%,90.00%,90.00%,90.00%,90.00%,84.40%,,,,,,,,,,,,,
17:32.0,1,500,400,500,1000,80.00%,38.30%,80.00%,80.00%,80.00%,79.97%,80.00%,,,,,,,,,,,,,
22:05.8,2,500,400,500,1000,78.00%,34.69%,78.00%,78.00%,78.00%,77.92%,79.00%,,,,,,,,,,,,,
26:38.8,3,500,400,500,1000,88.00%,32.51%,88.00%,88.00%,88.00%,87.82%,82.00%,,,,,,,,,,,,,
31:07.9,4,500,400,500,1000,86.00%,46.73%,86.00%,86.00%,86.00%,85.29%,83.00%,,,,,,,,,,,,,
35:42.1,5,500,400,500,1000,78.00%,45.04%,78.00%,78.00%,78.00%,77.92%,82.00%,,,,,,,,,,,,,
40:22.0,1,500,400,1000,1500,94.00%,19.89%,94.00%,94.00%,94.00%,93.88%,94.00%,,,,,,,,,,,,,
44:54.7,2,500,400,1000,1500,82.00%,42.58%,82.00%,82.00%,82.00%,81.08%,88.00%,,,,,,,,,,,,,
49:27.2,3,500,400,1000,1500,94.00%,18.88%,94.00%,94.00%,94.00%,93.98%,90.00%,,,,,,,,,,,,,
53:59.5,4,500,400,1000,1500,94.00%,22.80%,94.00%,94.00%,94.00%,93.94%,91.00%,,,,,,,,,,,,,
58:34.0,5,500,400,1000,1500,92.00%,28.72%,92.00%,92.00%,92.00%,92.00%,91.20%,,,,,,,,,,,,,
03:11.2,1,500,400,1500,2000,76.00%,44.64%,76.00%,76.00%,76.00%,75.65%,76.00%,,,,,,,,,,,,,
07:46.7,2,500,400,1500,2000,88.00%,24.53%,88.00%,88.00%,88.00%,87.98%,82.00%,,,,,,,,,,,,,
12:18.8,3,500,400,1500,2000,86.00%,44.73%,86.00%,86.00%,86.00%,85.72%,83.33%,,,,,,,,,,,,,
16:52.2,4,500,400,1500,2000,86.00%,30.47%,86.00%,86.00%,86.00%,85.99%,84.00%,,,,,,,,,,,,,
21:22.2,5,500,400,1500,2000,86.00%,32.96%,86.00%,86.00%,86.00%,85.99%,84.40%,,,,,,,,,,,,,
25:58.0,1,500,400,2000,2500,84.00%,35.26%,84.00%,84.00%,84.00%,82.17%,84.00%,,,,,,,,,,,,,
30:30.1,2,500,400,2000,2500,76.00%,53.88%,76.00%,76.00%,76.00%,68.81%,80.00%,,,,,,,,,,,,,
35:31.6,3,500,400,2000,2500,82.00%,48.01%,82.00%,82.00%,82.00%,80.69%,80.67%,,,,,,,,,,,,,
40:32.4,4,500,400,2000,2500,88.00%,42.06%,88.00%,88.00%,88.00%,86.21%,82.50%,,,,,,,,,,,,,
45:24.0,5,500,400,2000,2500,86.00%,35.48%,86.00%,86.00%,86.00%,85.53%,83.20%,,,,,,,,,,,,,
49:59.0,1,500,400,2500,3000,76.00%,45.41%,76.00%,76.00%,76.00%,75.96%,76.00%,,,,,,,,,,,,,
54:30.7,2,500,400,2500,3000,74.00%,59.25%,74.00%,74.00%,74.00%,73.13%,75.00%,,,,,,,,,,,,,
59:02.5,3,500,400,2500,3000,74.00%,61.28%,74.00%,74.00%,74.00%,73.74%,74.67%,,,,,,,,,,,,,
03:34.2,4,500,400,2500,3000,70.00%,49.11%,70.00%,70.00%,70.00%,69.70%,73.50%,,,,,,,,,,,,,
08:06.2,5,500,400,2500,3000,70.00%,56.95%,70.00%,70.00%,70.00%,69.00%,72.80%,,,,,,,,,,,,,
12:42.9,1,500,400,3000,3500,82.00%,53.75%,82.00%,82.00%,82.00%,81.40%,82.00%,,,,,,,,,,,,,
17:14.6,2,500,400,3000,3500,82.00%,60.36%,82.00%,82.00%,82.00%,81.08%,82.00%,,,,,,,,,,,,,
21:50.5,3,500,400,3000,3500,78.00%,53.93%,78.00%,78.00%,78.00%,77.78%,80.67%,,,,,,,,,,,,,
26:25.3,4,500,400,3000,3500,76.00%,56.64%,76.00%,76.00%,76.00%,75.00%,79.50%,,,,,,,,,,,,,
30:57.0,5,500,400,3000,3500,76.00%,57.57%,76.00%,76.00%,76.00%,75.85%,78.80%,,,,,,,,,,,,,
35:30.7,1,500,400,3500,4000,94.00%,25.38%,94.00%,94.00%,94.00%,93.56%,94.00%,,,,,,,,,,,,,
40:02.5,2,500,400,3500,4000,78.00%,40.20%,78.00%,78.00%,78.00%,77.92%,86.00%,,,,,,,,,,,,,
44:33.9,3,500,400,3500,4000,80.00%,51.20%,80.00%,80.00%,80.00%,78.78%,84.00%,,,,,,,,,,,,,
49:05.4,4,500,400,3500,4000,84.00%,39.40%,84.00%,84.00%,84.00%,81.62%,84.00%,,,,,,,,,,,,,
53:36.4,5,500,400,3500,4000,92.00%,28.32%,92.00%,92.00%,92.00%,91.51%,85.60%,,,,,,,,,,,,,
58:09.9,1,500,400,4000,4500,86.00%,39.15%,86.00%,86.00%,86.00%,85.95%,86.00%,,,,,,,,,,,,,
02:42.3,2,500,400,4000,4500,82.00%,40.99%,82.00%,82.00%,82.00%,81.82%,84.00%,,,,,,,,,,,,,
07:15.2,3,500,400,4000,4500,74.00%,58.56%,74.00%,74.00%,74.00%,72.11%,80.67%,,,,,,,,,,,,,
11:47.8,4,500,400,4000,4500,84.00%,38.65%,84.00%,84.00%,84.00%,83.90%,81.50%,,,,,,,,,,,,,
16:22.8,5,500,400,4000,4500,76.00%,50.76%,76.00%,76.00%,76.00%,75.37%,80.40%,,,,,,,,,,,,,
20:58.2,1,500,400,4500,5000,86.00%,33.47%,86.00%,86.00%,86.00%,85.95%,86.00%,,,,,,,,,,,,,
26:00.7,2,500,400,4500,5000,82.00%,57.96%,82.00%,82.00%,82.00%,80.69%,84.00%,,,,,,,,,,,,,
31:06.2,3,500,400,4500,5000,78.00%,48.19%,78.00%,78.00%,78.00%,75.82%,82.00%,,,,,,,,,,,,,
36:09.8,4,500,400,4500,5000,82.00%,37.22%,82.00%,82.00%,82.00%,81.08%,82.00%,,,,,,,,,,,,,
40:48.5,5,500,400,4500,5000,78.00%,41.02%,78.00%,78.00%,78.00%,77.92%,81.20%,,,,,,,,,,,,,
45:26.7,1,500,400,5000,5500,76.00%,51.18%,76.00%,76.00%,76.00%,76.00%,76.00%,,,,,,,,,,,,,
49:55.8,2,500,400,5000,5500,74.00%,53.54%,74.00%,74.00%,74.00%,72.68%,75.00%,,,,,,,,,,,,,
54:26.1,3,500,400,5000,5500,78.00%,45.09%,78.00%,78.00%,78.00%,77.92%,76.00%,,,,,,,,,,,,,
58:58.5,4,500,400,5000,5500,78.00%,51.69%,78.00%,78.00%,78.00%,77.92%,76.50%,,,,,,,,,,,,,
03:28.6,5,500,400,5000,5500,80.00%,45.19%,80.00%,80.00%,80.00%,79.71%,77.20%,,,,,,,,,,,,,
08:02.2,1,500,400,5500,6000,78.00%,43.51%,78.00%,78.00%,78.00%,77.78%,78.00%,,,,,,,,,,,,,
12:36.0,2,500,400,5500,6000,76.00%,51.86%,76.00%,76.00%,76.00%,75.85%,77.00%,,,,,,,,,,,,,
17:07.6,3,500,400,5500,6000,64.00%,65.15%,64.00%,64.00%,64.00%,61.80%,72.67%,,,,,,,,,,,,,
21:38.9,4,500,400,5500,6000,66.00%,60.63%,66.00%,66.00%,66.00%,56.87%,71.00%,,,,,,,,,,,,,
26:11.1,5,500,400,5500,6000,72.00%,54.49%,72.00%,72.00%,72.00%,71.59%,71.20%,,,,,,,,,,,,,
30:45.6,1,500,400,6000,6500,86.00%,47.07%,86.00%,86.00%,86.00%,85.53%,86.00%,,,,,,,,,,,,,
35:15.3,2,500,400,6000,6500,74.00%,46.96%,74.00%,74.00%,74.00%,73.91%,80.00%,,,,,,,,,,,,,
39:44.6,3,500,400,6000,6500,50.00%,119.92%,50.00%,50.00%,50.00%,43.46%,70.00%,,,,,,,,,,,,,
44:14.6,4,500,400,6000,6500,82.00%,47.53%,82.00%,82.00%,82.00%,80.69%,73.00%,,,,,,,,,,,,,
48:48.4,5,500,400,6000,6500,74.00%,70.34%,74.00%,74.00%,74.00%,73.99%,73.20%,,,,,,,,,,,,,
53:24.2,1,500,400,6500,7000,90.00%,30.54%,90.00%,90.00%,90.00%,90.00%,90.00%,,,,,,,,,,,,,
57:54.0,2,500,400,6500,7000,80.00%,65.47%,80.00%,80.00%,80.00%,79.17%,85.00%,,,,,,,,,,,,,
02:22.5,3,500,400,6500,7000,82.00%,43.79%,82.00%,82.00%,82.00%,81.40%,84.00%,,,,,,,,,,,,,
06:52.3,4,500,400,6500,7000,50.00%,76.61%,50.00%,50.00%,50.00%,33.33%,75.50%,,,,,,,,,,,,,
11:23.7,5,500,400,6500,7000,82.00%,43.29%,82.00%,82.00%,82.00%,81.64%,76.80%,,,,,,,,,,,,,
15:58.7,1,500,400,7000,7500,86.00%,40.74%,86.00%,86.00%,86.00%,85.53%,86.00%,,,,,,,,,,,,,
20:26.9,2,500,400,7000,7500,76.00%,51.60%,76.00%,76.00%,76.00%,75.65%,81.00%,,,,,,,,,,,,,
24:59.6,3,500,400,7000,7500,76.00%,49.10%,76.00%,76.00%,76.00%,74.53%,79.33%,,,,,,,,,,,,,
