date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc,,,,,,,,,,,,,
28:26.5,1,2000,1600,0,2000,89.00%,22.73%,89.00%,89.00%,89.00%,89.00%,89.00%,,,,,,,,,,,,,
54:16.1,2,2000,1600,0,2000,90.50%,22.00%,90.50%,90.50%,90.50%,90.49%,89.75%,,,,,,,,,,,,,
19:38.0,3,2000,1600,0,2000,89.00%,28.23%,89.00%,89.00%,89.00%,88.91%,89.50%,,,,,,,,,,,,,
45:18.9,4,2000,1600,0,2000,87.50%,29.71%,87.50%,87.50%,87.50%,87.47%,89.00%,,,,,,,,,,,,,
11:24.9,5,2000,1600,0,2000,89.00%,27.30%,89.00%,89.00%,89.00%,88.98%,89.00%,,,,,,,,,,,,,
37:38.7,6,2000,1600,0,2000,91.00%,24.48%,91.00%,91.00%,91.00%,90.99%,89.33%,,,,,,,,,,,,,
03:47.0,7,2000,1600,0,2000,91.50%,27.45%,91.50%,91.50%,91.50%,91.45%,89.64%,,,,,,,,,,,,,
29:57.1,8,2000,1600,0,2000,90.00%,29.47%,90.00%,90.00%,90.00%,89.90%,89.69%,,,,,,,,,,,,,
55:34.2,9,2000,1600,0,2000,92.00%,24.42%,92.00%,92.00%,92.00%,91.97%,89.94%,,,,,,,,,,,,,
21:27.2,10,2000,1600,0,2000,90.00%,29.31%,90.00%,90.00%,90.00%,89.92%,89.95%,,,,,,,,,,,,,
48:11.0,1,2000,1600,2000,4000,88.00%,34.02%,88.00%,88.00%,88.00%,88.00%,88.00%,,,,,,,,,,,,,
14:08.5,2,2000,1600,2000,4000,87.00%,37.86%,87.00%,87.00%,87.00%,86.99%,87.50%,,,,,,,,,,,,,
41:13.9,3,2000,1600,2000,4000,89.00%,29.15%,89.00%,89.00%,89.00%,89.00%,88.00%,,,,,,,,,,,,,
07:34.0,4,2000,1600,2000,4000,88.00%,29.53%,88.00%,88.00%,88.00%,88.00%,88.00%,,,,,,,,,,,,,
33:46.7,5,2000,1600,2000,4000,89.00%,27.85%,89.00%,89.00%,89.00%,88.98%,88.20%,,,,,,,,,,,,,
02:56.5,6,2000,1600,2000,4000,89.50%,36.22%,89.50%,89.50%,89.50%,89.48%,88.42%,,,,,,,,,,,,,
31:56.8,7,2000,1600,2000,4000,87.50%,29.10%,87.50%,87.50%,87.50%,87.45%,88.29%,,,,,,,,,,,,,
01:17.9,8,2000,1600,2000,4000,88.50%,29.85%,88.50%,88.50%,88.50%,88.50%,88.31%,,,,,,,,,,,,,
30:57.2,9,2000,1600,2000,4000,90.50%,28.18%,90.50%,90.50%,90.50%,90.47%,88.56%,,,,,,,,,,,,,
00:08.6,10,2000,1600,2000,4000,90.00%,27.89%,90.00%,90.00%,90.00%,90.00%,88.70%,,,,,,,,,,,,,
26:14.1,1,2000,1600,4000,6000,85.00%,35.01%,85.00%,85.00%,85.00%,84.88%,85.00%,,,,,,,,,,,,,
