date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc,,,,,,,,,,,,,
19:58.7,1,2000,1600,0,2000,86.50%,29.34%,86.50%,86.50%,86.50%,86.40%,86.50%,,,,,,,,,,,,,
24:56.3,2,2000,1600,0,2000,87.50%,42.06%,87.50%,87.50%,87.50%,87.30%,87.00%,,,,,,,,,,,,,
29:52.7,3,2000,1600,0,2000,90.00%,22.37%,90.00%,90.00%,90.00%,90.00%,88.00%,,,,,,,,,,,,,
34:49.7,4,2000,1600,0,2000,89.50%,25.37%,89.50%,89.50%,89.50%,89.40%,88.37%,,,,,,,,,,,,,
39:47.9,5,2000,1600,0,2000,91.00%,23.93%,91.00%,91.00%,91.00%,91.00%,88.90%,,,,,,,,,,,,,
44:44.7,6,2000,1600,0,2000,86.00%,40.11%,86.00%,86.00%,86.00%,85.72%,88.42%,,,,,,,,,,,,,
49:42.2,7,2000,1600,0,2000,89.00%,33.10%,89.00%,89.00%,89.00%,88.84%,88.50%,,,,,,,,,,,,,
54:39.4,8,2000,1600,0,2000,89.00%,27.65%,89.00%,89.00%,89.00%,88.84%,88.56%,,,,,,,,,,,,,
59:36.9,9,2000,1600,0,2000,88.50%,24.83%,88.50%,88.50%,88.50%,88.50%,88.56%,,,,,,,,,,,,,
04:34.0,10,2000,1600,0,2000,90.00%,21.69%,90.00%,90.00%,90.00%,89.94%,88.70%,,,,,,,,,,,,,
09:39.6,1,2000,1600,2000,4000,87.50%,32.57%,87.50%,87.50%,87.50%,87.47%,87.50%,,,,,,,,,,,,,
14:36.3,2,2000,1600,2000,4000,88.50%,33.48%,88.50%,88.50%,88.50%,88.48%,88.00%,,,,,,,,,,,,,
19:33.5,3,2000,1600,2000,4000,87.00%,33.95%,87.00%,87.00%,87.00%,86.94%,87.67%,,,,,,,,,,,,,
24:31.1,4,2000,1600,2000,4000,90.50%,33.56%,90.50%,90.50%,90.50%,90.50%,88.37%,,,,,,,,,,,,,
29:28.3,5,2000,1600,2000,4000,89.00%,26.11%,89.00%,89.00%,89.00%,89.00%,88.50%,,,,,,,,,,,,,
34:26.2,6,2000,1600,2000,4000,87.50%,31.93%,87.50%,87.50%,87.50%,87.45%,88.33%,,,,,,,,,,,,,
39:23.9,7,2000,1600,2000,4000,89.00%,30.47%,89.00%,89.00%,89.00%,89.00%,88.43%,,,,,,,,,,,,,
44:21.2,8,2000,1600,2000,4000,88.00%,35.75%,88.00%,88.00%,88.00%,87.99%,88.37%,,,,,,,,,,,,,
49:18.2,9,2000,1600,2000,4000,90.00%,25.74%,90.00%,90.00%,90.00%,90.00%,88.56%,,,,,,,,,,,,,
54:16.1,10,2000,1600,2000,4000,88.00%,36.63%,88.00%,88.00%,88.00%,87.97%,88.50%,,,,,,,,,,,,,
59:22.4,1,2000,1600,4000,6000,91.50%,25.76%,91.50%,91.50%,91.50%,91.50%,91.50%,,,,,,,,,,,,,
04:19.5,2,2000,1600,4000,6000,92.00%,23.99%,92.00%,92.00%,92.00%,91.99%,91.75%,,,,,,,,,,,,,
09:17.0,3,2000,1600,4000,6000,88.00%,31.65%,88.00%,88.00%,88.00%,87.98%,90.50%,,,,,,,,,,,,,
14:14.9,4,2000,1600,4000,6000,86.00%,40.14%,86.00%,86.00%,86.00%,85.96%,89.38%,,,,,,,,,,,,,
19:12.3,5,2000,1600,4000,6000,91.00%,25.61%,91.00%,91.00%,91.00%,90.99%,89.70%,,,,,,,,,,,,,
24:09.4,6,2000,1600,4000,6000,86.00%,37.43%,86.00%,86.00%,86.00%,85.80%,89.08%,,,,,,,,,,,,,
29:06.7,7,2000,1600,4000,6000,90.50%,26.30%,90.50%,90.50%,90.50%,90.50%,89.29%,,,,,,,,,,,,,
34:03.9,8,2000,1600,4000,6000,90.50%,28.38%,90.50%,90.50%,90.50%,90.50%,89.44%,,,,,,,,,,,,,
39:01.7,9,2000,1600,4000,6000,90.00%,28.14%,90.00%,90.00%,90.00%,90.00%,89.50%,,,,,,,,,,,,,
43:59.2,10,2000,1600,4000,6000,92.00%,24.71%,92.00%,92.00%,92.00%,91.99%,89.75%,,,,,,,,,,,,,
49:05.6,1,2000,1600,6000,8000,86.00%,32.74%,86.00%,86.00%,86.00%,85.96%,86.00%,,,,,,,,,,,,,
54:03.1,2,2000,1600,6000,8000,83.50%,52.68%,83.50%,83.50%,83.50%,83.15%,84.75%,,,,,,,,,,,,,
59:00.8,3,2000,1600,6000,8000,89.50%,26.96%,89.50%,89.50%,89.50%,89.50%,86.33%,,,,,,,,,,,,,
03:58.7,4,2000,1600,6000,8000,90.00%,24.00%,90.00%,90.00%,90.00%,89.95%,87.25%,,,,,,,,,,,,,
08:55.3,5,2000,1600,6000,8000,87.50%,32.55%,87.50%,87.50%,87.50%,87.49%,87.30%,,,,,,,,,,,,,
13:58.5,6,2000,1600,6000,8000,89.00%,28.67%,89.00%,89.00%,89.00%,89.00%,87.58%,,,,,,,,,,,,,
19:00.0,7,2000,1600,6000,8000,92.50%,23.77%,92.50%,92.50%,92.50%,92.50%,88.29%,,,,,,,,,,,,,
24:01.6,8,2000,1600,6000,8000,91.00%,24.98%,91.00%,91.00%,91.00%,91.00%,88.62%,,,,,,,,,,,,,
29:04.9,9,2000,1600,6000,8000,89.50%,26.65%,89.50%,89.50%,89.50%,89.50%,88.72%,,,,,,,,,,,,,
34:10.0,10,2000,1600,6000,8000,90.50%,31.57%,90.50%,90.50%,90.50%,90.49%,88.90%,,,,,,,,,,,,,
