date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-05-31 14:06:18.128533,1,2000,2111,0,2000,89.50%,32.82%,89.50%,89.50%,89.50%,89.42%,89.50%
2022-05-31 14:33:27.391355,2,2000,2111,0,2000,88.00%,31.91%,88.00%,88.00%,88.00%,87.95%,88.75%
2022-05-31 15:00:30.290169,3,2000,2111,0,2000,76.50%,52.19%,76.50%,76.50%,76.50%,75.13%,84.67%
2022-05-31 15:27:42.985702,4,2000,2111,0,2000,88.50%,28.63%,88.50%,88.50%,88.50%,88.49%,85.62%
2022-05-31 15:54:54.427223,5,2000,2111,0,2000,88.50%,27.00%,88.50%,88.50%,88.50%,88.50%,86.20%
2022-05-31 16:22:16.281726,1,2000,2126,2000,4000,88.50%,37.81%,88.50%,88.50%,88.50%,88.50%,88.50%
2022-05-31 16:49:21.810184,2,2000,2126,2000,4000,86.00%,28.89%,86.00%,86.00%,86.00%,85.98%,87.25%
2022-05-31 17:16:50.927900,3,2000,2126,2000,4000,87.75%,29.79%,87.75%,87.75%,87.75%,87.75%,87.42%
2022-05-31 17:44:10.004314,4,2000,2126,2000,4000,83.00%,54.41%,83.00%,83.00%,83.00%,82.71%,86.31%
2022-05-31 18:11:31.398327,5,2000,2126,2000,4000,88.50%,36.35%,88.50%,88.50%,88.50%,88.47%,86.75%
2022-05-31 18:38:46.265504,1,2000,2123,4000,6000,76.50%,46.55%,76.50%,76.50%,76.50%,75.06%,76.50%
2022-05-31 19:06:07.308326,2,2000,2123,4000,6000,87.25%,28.67%,87.25%,87.25%,87.25%,87.25%,81.87%
2022-05-31 19:33:19.906064,3,2000,2123,4000,6000,87.75%,38.32%,87.75%,87.75%,87.75%,87.67%,83.83%
2022-05-31 20:00:36.773934,4,2000,2123,4000,6000,88.50%,29.38%,88.50%,88.50%,88.50%,88.49%,85.00%
2022-05-31 20:27:51.475486,5,2000,2123,4000,6000,84.75%,56.14%,84.75%,84.75%,84.75%,84.48%,84.95%
2022-05-31 20:54:57.413861,1,2000,2110,6000,8000,75.75%,67.64%,75.75%,75.75%,75.75%,74.77%,75.75%
2022-05-31 21:21:56.648174,2,2000,2110,6000,8000,87.75%,33.02%,87.75%,87.75%,87.75%,87.74%,81.75%
2022-05-31 21:48:53.656908,3,2000,2110,6000,8000,84.75%,53.59%,84.75%,84.75%,84.75%,84.65%,82.75%
2022-05-31 22:16:01.701195,4,2000,2110,6000,8000,87.75%,42.45%,87.75%,87.75%,87.75%,87.75%,84.00%
2022-05-31 22:43:05.330338,5,2000,2110,6000,8000,80.00%,52.31%,80.00%,80.00%,80.00%,79.60%,83.20%
2022-05-31 23:10:27.580528,1,2000,2122,8000,10000,88.25%,35.05%,88.25%,88.25%,88.25%,88.22%,88.25%
2022-05-31 23:37:41.606136,2,2000,2122,8000,10000,85.00%,37.67%,85.00%,85.00%,85.00%,84.98%,86.63%
2022-06-01 00:04:52.613429,3,2000,2122,8000,10000,80.25%,85.34%,80.25%,80.25%,80.25%,79.75%,84.50%
2022-06-01 00:31:48.241862,4,2000,2122,8000,10000,83.75%,45.06%,83.75%,83.75%,83.75%,83.41%,84.31%
2022-06-01 00:58:58.175142,5,2000,2122,8000,10000,80.00%,42.26%,80.00%,80.00%,80.00%,79.63%,83.45%
2022-06-01 01:26:11.106486,1,2000,2113,10000,12000,84.75%,36.81%,84.75%,84.75%,84.75%,84.75%,84.75%
2022-06-01 01:53:25.195733,2,2000,2113,10000,12000,85.25%,33.29%,85.25%,85.25%,85.25%,84.68%,85.00%
2022-06-01 02:20:15.085290,3,2000,2113,10000,12000,79.75%,68.19%,79.75%,79.75%,79.75%,79.64%,83.25%
2022-06-01 02:47:11.793066,4,2000,2113,10000,12000,86.25%,50.48%,86.25%,86.25%,86.25%,86.24%,84.00%
2022-06-01 03:14:16.700714,5,2000,2113,10000,12000,86.75%,39.01%,86.75%,86.75%,86.75%,86.37%,84.55%
2022-06-01 03:41:20.187356,1,2000,2100,12000,14000,84.25%,47.51%,84.25%,84.25%,84.25%,84.05%,84.25%
2022-06-01 04:08:15.819157,2,2000,2100,12000,14000,84.75%,34.13%,84.75%,84.75%,84.75%,84.72%,84.50%
