date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-01-06 17:05:37.315451,1,2000,2111,0,2000,80.75%,48.98%,80.75%,80.75%,80.75%,80.65%,80.75%
2022-01-06 17:05:49.177143,2,2000,2111,0,2000,78.00%,50.70%,78.00%,78.00%,78.00%,77.62%,79.37%
2022-01-06 17:06:00.453702,3,2000,2111,0,2000,78.25%,53.43%,78.25%,78.25%,78.25%,77.54%,79.00%
2022-01-06 17:06:13.764249,4,2000,2111,0,2000,79.00%,47.81%,79.00%,79.00%,79.00%,78.95%,79.00%
2022-01-06 17:06:24.862770,5,2000,2111,0,2000,79.50%,46.35%,79.50%,79.50%,79.50%,79.46%,79.10%
2022-01-06 17:06:37.989629,6,2000,2111,0,2000,80.25%,46.70%,80.25%,80.25%,80.25%,80.11%,79.29%
2022-01-06 17:06:49.846815,7,2000,2111,0,2000,82.00%,45.14%,82.00%,82.00%,82.00%,82.00%,79.68%
2022-01-06 17:07:01.537468,8,2000,2111,0,2000,79.75%,49.53%,79.75%,79.75%,79.75%,79.75%,79.69%
2022-01-06 17:07:15.121043,9,2000,2111,0,2000,79.25%,45.04%,79.25%,79.25%,79.25%,79.17%,79.64%
2022-01-06 17:07:27.348818,10,2000,2111,0,2000,79.00%,47.06%,79.00%,79.00%,79.00%,78.94%,79.58%
2022-01-06 17:08:07.487905,1,2000,2126,2000,4000,76.25%,56.09%,76.25%,76.25%,76.25%,76.21%,76.25%
2022-01-06 17:08:32.729951,2,2000,2126,2000,4000,73.50%,61.11%,73.50%,73.50%,73.50%,73.48%,74.88%
2022-01-06 17:08:58.893298,3,2000,2126,2000,4000,74.00%,56.12%,74.00%,74.00%,74.00%,73.85%,74.58%
2022-01-06 17:09:23.256618,4,2000,2126,2000,4000,75.25%,59.29%,75.25%,75.25%,75.25%,75.18%,74.75%
2022-01-06 17:09:46.540902,5,2000,2126,2000,4000,75.50%,56.21%,75.50%,75.50%,75.50%,75.50%,74.90%
2022-01-06 17:10:05.608229,6,2000,2126,2000,4000,76.00%,61.71%,76.00%,76.00%,76.00%,75.80%,75.08%
2022-01-06 17:10:31.436295,7,2000,2126,2000,4000,76.50%,58.32%,76.50%,76.50%,76.50%,76.42%,75.29%
2022-01-06 17:10:56.140936,8,2000,2126,2000,4000,73.25%,57.76%,73.25%,73.25%,73.25%,73.11%,75.03%
2022-01-06 17:11:19.920152,9,2000,2126,2000,4000,74.00%,54.87%,74.00%,74.00%,74.00%,73.93%,74.92%
2022-01-06 17:11:43.928231,10,2000,2126,2000,4000,75.50%,56.29%,75.50%,75.50%,75.50%,75.49%,74.98%
