date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
15:24.3,1,1000,1053,0,1000,82.50%,39.22%,82.50%,82.50%,82.50%,82.40%,82.50%
16:15.2,2,1000,1053,0,1000,86.00%,39.02%,86.00%,86.00%,86.00%,85.99%,84.25%
17:04.2,3,1000,1053,0,1000,81.50%,42.69%,81.50%,81.50%,81.50%,81.48%,83.33%
17:52.3,4,1000,1053,0,1000,80.50%,43.56%,80.50%,80.50%,80.50%,80.36%,82.63%
18:41.8,5,1000,1053,0,1000,76.50%,50.91%,76.50%,76.50%,76.50%,76.33%,81.40%
19:30.4,6,1000,1053,0,1000,84.50%,43.45%,84.50%,84.50%,84.50%,84.49%,81.92%
20:19.3,7,1000,1053,0,1000,77.00%,47.43%,77.00%,77.00%,77.00%,76.32%,81.21%
21:06.3,8,1000,1053,0,1000,80.00%,44.64%,80.00%,80.00%,80.00%,79.76%,81.06%
21:55.1,9,1000,1053,0,1000,76.00%,55.45%,76.00%,76.00%,76.00%,75.96%,80.50%
22:37.9,10,1000,1053,0,1000,75.00%,47.14%,75.00%,75.00%,75.00%,74.75%,79.95%
23:17.1,1,1000,1053,1000,2000,75.50%,54.33%,75.50%,75.50%,75.50%,75.45%,75.50%
24:05.8,2,1000,1053,1000,2000,77.50%,47.34%,77.50%,77.50%,77.50%,77.45%,76.50%
24:36.2,3,1000,1053,1000,2000,77.50%,62.94%,77.50%,77.50%,77.50%,77.34%,76.83%
25:02.7,4,1000,1053,1000,2000,73.50%,50.32%,73.50%,73.50%,73.50%,73.49%,76.00%
25:23.3,5,1000,1053,1000,2000,65.50%,63.58%,65.50%,65.50%,65.50%,63.48%,73.90%
25:50.0,6,1000,1053,1000,2000,75.50%,50.14%,75.50%,75.50%,75.50%,75.32%,74.17%
26:18.5,7,1000,1053,1000,2000,75.00%,50.34%,75.00%,75.00%,75.00%,74.98%,74.29%
26:47.0,8,1000,1053,1000,2000,70.50%,60.84%,70.50%,70.50%,70.50%,69.67%,73.81%
27:13.1,9,1000,1053,1000,2000,77.50%,49.14%,77.50%,77.50%,77.50%,77.43%,74.22%
27:39.2,10,1000,1053,1000,2000,74.00%,54.97%,74.00%,74.00%,74.00%,73.87%,74.20%
28:18.6,1,1000,1046,2000,3000,66.50%,60.72%,66.50%,66.50%,66.50%,66.31%,66.50%
28:36.9,2,1000,1046,2000,3000,68.50%,59.86%,68.50%,68.50%,68.50%,68.32%,67.50%
29:05.3,3,1000,1046,2000,3000,68.50%,59.55%,68.50%,68.50%,68.50%,67.82%,67.83%
29:28.1,4,1000,1046,2000,3000,69.50%,59.81%,69.50%,69.50%,69.50%,69.41%,68.25%
29:51.8,5,1000,1046,2000,3000,66.50%,61.62%,66.50%,66.50%,66.50%,66.49%,67.90%
30:19.9,6,1000,1046,2000,3000,68.50%,72.76%,68.50%,68.50%,68.50%,68.49%,68.00%
30:48.2,7,1000,1046,2000,3000,72.50%,73.05%,72.50%,72.50%,72.50%,72.48%,68.64%
31:16.2,8,1000,1046,2000,3000,71.00%,67.79%,71.00%,71.00%,71.00%,70.86%,68.94%
31:44.6,9,1000,1046,2000,3000,70.00%,79.26%,70.00%,70.00%,70.00%,69.97%,69.06%
32:04.1,10,1000,1046,2000,3000,67.00%,61.61%,67.00%,67.00%,67.00%,66.92%,68.85%
33:05.5,1,1000,1075,3000,4000,68.00%,57.89%,68.00%,68.00%,68.00%,68.00%,68.00%
33:35.9,2,1000,1075,3000,4000,71.00%,60.93%,71.00%,71.00%,71.00%,69.38%,69.50%
34:25.2,3,1000,1075,3000,4000,66.00%,62.88%,66.00%,66.00%,66.00%,63.33%,68.33%
35:14.8,4,1000,1075,3000,4000,71.50%,60.24%,71.50%,71.50%,71.50%,69.17%,69.12%
36:04.7,5,1000,1075,3000,4000,70.00%,59.19%,70.00%,70.00%,70.00%,69.70%,69.30%
36:42.7,6,1000,1075,3000,4000,77.50%,52.11%,77.50%,77.50%,77.50%,76.61%,70.67%
37:25.3,7,1000,1075,3000,4000,72.00%,55.48%,72.00%,72.00%,72.00%,71.77%,70.86%
38:14.9,8,1000,1075,3000,4000,71.50%,61.52%,71.50%,71.50%,71.50%,69.83%,70.94%
39:03.2,9,1000,1075,3000,4000,67.50%,59.72%,67.50%,67.50%,67.50%,65.05%,70.56%
39:52.5,10,1000,1075,3000,4000,73.50%,56.15%,73.50%,73.50%,73.50%,73.14%,70.85%
40:32.3,1,1000,1064,4000,5000,73.00%,54.24%,73.00%,73.00%,73.00%,72.78%,73.00%
41:00.4,2,1000,1064,4000,5000,72.00%,59.04%,72.00%,72.00%,72.00%,71.99%,72.50%
41:18.1,3,1000,1064,4000,5000,74.50%,54.38%,74.50%,74.50%,74.50%,74.47%,73.17%
41:46.0,4,1000,1064,4000,5000,73.00%,53.74%,73.00%,73.00%,73.00%,72.38%,73.13%
42:04.0,5,1000,1064,4000,5000,74.50%,57.85%,74.50%,74.50%,74.50%,74.22%,73.40%
42:20.1,6,1000,1064,4000,5000,73.00%,55.32%,73.00%,73.00%,73.00%,71.75%,73.33%
42:40.2,7,1000,1064,4000,5000,71.00%,53.71%,71.00%,71.00%,71.00%,70.81%,73.00%
43:08.4,8,1000,1064,4000,5000,72.50%,54.76%,72.50%,72.50%,72.50%,71.91%,72.94%
43:26.3,9,1000,1064,4000,5000,73.00%,55.33%,73.00%,73.00%,73.00%,72.87%,72.94%
43:47.1,10,1000,1064,4000,5000,76.00%,50.05%,76.00%,76.00%,76.00%,75.71%,73.25%
44:20.1,1,1000,1073,5000,6000,69.50%,64.03%,69.50%,69.50%,69.50%,69.16%,69.50%
44:48.8,2,1000,1073,5000,6000,69.00%,61.01%,69.00%,69.00%,69.00%,68.95%,69.25%
45:16.2,3,1000,1073,5000,6000,71.50%,60.68%,71.50%,71.50%,71.50%,71.44%,70.00%
45:44.8,4,1000,1073,5000,6000,71.00%,59.98%,71.00%,71.00%,71.00%,71.00%,70.25%
46:13.1,5,1000,1073,5000,6000,71.00%,66.60%,71.00%,71.00%,71.00%,70.99%,70.40%
46:41.4,6,1000,1073,5000,6000,68.50%,69.97%,68.50%,68.50%,68.50%,67.62%,70.08%
47:06.1,7,1000,1073,5000,6000,72.00%,61.02%,72.00%,72.00%,72.00%,71.96%,70.36%
47:33.0,8,1000,1073,5000,6000,72.00%,59.07%,72.00%,72.00%,72.00%,71.99%,70.56%
48:00.5,9,1000,1073,5000,6000,71.00%,60.66%,71.00%,71.00%,71.00%,71.00%,70.61%
48:29.2,10,1000,1073,5000,6000,67.00%,68.04%,67.00%,67.00%,67.00%,66.34%,70.25%
49:09.1,1,1000,1049,6000,7000,62.00%,64.29%,62.00%,62.00%,62.00%,61.98%,62.00%
49:37.7,2,1000,1049,6000,7000,67.00%,58.08%,67.00%,67.00%,67.00%,65.32%,64.50%
50:06.5,3,1000,1049,6000,7000,70.00%,62.01%,70.00%,70.00%,70.00%,69.95%,66.33%
50:56.1,4,1000,1049,6000,7000,65.00%,65.20%,65.00%,65.00%,65.00%,64.49%,66.00%
51:45.2,5,1000,1049,6000,7000,67.50%,66.15%,67.50%,67.50%,67.50%,67.20%,66.30%
52:08.2,6,1000,1049,6000,7000,65.50%,66.83%,65.50%,65.50%,65.50%,60.53%,66.17%
52:37.4,7,1000,1049,6000,7000,66.00%,60.59%,66.00%,66.00%,66.00%,65.50%,66.14%
53:05.9,8,1000,1049,6000,7000,70.00%,70.10%,70.00%,70.00%,70.00%,70.00%,66.62%
53:30.9,9,1000,1049,6000,7000,66.00%,65.12%,66.00%,66.00%,66.00%,65.83%,66.56%
54:19.8,10,1000,1049,6000,7000,66.50%,60.89%,66.50%,66.50%,66.50%,66.31%,66.55%
