date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-08-05 03:21:30.262103,1,500,532,0,500,67.00%,64.32%,67.00%,67.00%,67.00%,66.60%,67.00%
2022-08-05 03:22:49.018459,2,500,532,0,500,65.00%,61.82%,65.00%,65.00%,65.00%,65.00%,66.00%
2022-08-05 03:23:59.214074,3,500,532,0,500,63.00%,62.33%,63.00%,63.00%,63.00%,62.91%,65.00%
2022-08-05 03:25:09.805691,4,500,532,0,500,66.00%,62.21%,66.00%,66.00%,66.00%,65.88%,65.25%
2022-08-05 03:26:26.903616,5,500,532,0,500,67.00%,62.14%,67.00%,67.00%,67.00%,66.43%,65.60%
2022-08-05 03:27:44.141821,6,500,532,0,500,63.00%,62.96%,63.00%,63.00%,63.00%,62.36%,65.17%
2022-08-05 03:28:57.522663,7,500,532,0,500,67.00%,64.26%,67.00%,67.00%,67.00%,66.43%,65.43%
2022-08-05 03:30:14.290854,8,500,532,0,500,61.00%,62.02%,61.00%,61.00%,61.00%,58.40%,64.88%
2022-08-05 03:31:31.483397,9,500,532,0,500,69.00%,63.51%,69.00%,69.00%,69.00%,68.92%,65.33%
2022-08-05 03:32:49.186272,10,500,532,0,500,65.00%,62.82%,65.00%,65.00%,65.00%,64.83%,65.30%
2022-08-05 03:33:40.534797,1,500,554,500,1000,76.00%,50.99%,76.00%,76.00%,76.00%,75.85%,76.00%
2022-08-05 03:34:25.482326,2,500,554,500,1000,76.00%,51.86%,76.00%,76.00%,76.00%,75.99%,76.00%
2022-08-05 03:35:10.104060,3,500,554,500,1000,74.00%,56.24%,74.00%,74.00%,74.00%,73.83%,75.33%
2022-08-05 03:35:48.996303,4,500,554,500,1000,74.00%,60.80%,74.00%,74.00%,74.00%,73.83%,75.00%
2022-08-05 03:36:34.721718,5,500,554,500,1000,73.00%,55.44%,73.00%,73.00%,73.00%,72.98%,74.60%
2022-08-05 03:37:19.688140,6,500,554,500,1000,75.00%,56.14%,75.00%,75.00%,75.00%,73.85%,74.67%
2022-08-05 03:38:04.904062,7,500,554,500,1000,75.00%,54.09%,75.00%,75.00%,75.00%,75.00%,74.71%
2022-08-05 03:38:49.789884,8,500,554,500,1000,72.00%,54.21%,72.00%,72.00%,72.00%,71.99%,74.38%
2022-08-05 03:39:34.914781,9,500,554,500,1000,76.00%,54.80%,76.00%,76.00%,76.00%,75.00%,74.56%
2022-08-05 03:40:19.791129,10,500,554,500,1000,76.00%,51.76%,76.00%,76.00%,76.00%,75.52%,74.70%
2022-08-05 03:40:42.455124,1,500,551,1000,1500,73.00%,56.86%,73.00%,73.00%,73.00%,72.67%,73.00%
2022-08-05 03:40:58.242831,2,500,551,1000,1500,67.00%,61.09%,67.00%,67.00%,67.00%,66.02%,70.00%
2022-08-05 03:41:15.006203,3,500,551,1000,1500,71.00%,58.15%,71.00%,71.00%,71.00%,70.33%,70.33%
2022-08-05 03:41:32.016276,4,500,551,1000,1500,71.00%,51.72%,71.00%,71.00%,71.00%,70.64%,70.50%
2022-08-05 03:41:48.941422,5,500,551,1000,1500,75.00%,51.04%,75.00%,75.00%,75.00%,74.69%,71.40%
2022-08-05 03:42:06.145728,6,500,551,1000,1500,74.00%,49.59%,74.00%,74.00%,74.00%,73.99%,71.83%
2022-08-05 03:42:23.421836,7,500,551,1000,1500,78.00%,52.79%,78.00%,78.00%,78.00%,77.86%,72.71%
2022-08-05 03:42:40.137519,8,500,551,1000,1500,67.00%,60.06%,67.00%,67.00%,67.00%,66.43%,72.00%
2022-08-05 03:42:57.219880,9,500,551,1000,1500,76.00%,49.46%,76.00%,76.00%,76.00%,75.96%,72.44%
2022-08-05 03:43:14.114663,10,500,551,1000,1500,74.00%,49.24%,74.00%,74.00%,74.00%,73.83%,72.60%
2022-08-05 03:43:36.128786,1,500,550,1500,2000,64.00%,60.74%,64.00%,64.00%,64.00%,62.50%,64.00%
2022-08-05 03:43:52.578117,2,500,550,1500,2000,69.00%,58.00%,69.00%,69.00%,69.00%,68.08%,66.50%
2022-08-05 03:44:09.202507,3,500,550,1500,2000,70.00%,57.63%,70.00%,70.00%,70.00%,68.47%,67.67%
2022-08-05 03:44:22.878614,4,500,550,1500,2000,70.00%,62.58%,70.00%,70.00%,70.00%,69.95%,68.25%
2022-08-05 03:44:37.068509,5,500,550,1500,2000,65.00%,62.52%,65.00%,65.00%,65.00%,63.05%,67.60%
2022-08-05 03:44:53.573749,6,500,550,1500,2000,67.00%,61.14%,67.00%,67.00%,67.00%,64.80%,67.50%
2022-08-05 03:45:09.462892,7,500,550,1500,2000,68.00%,61.05%,68.00%,68.00%,68.00%,65.28%,67.57%
2022-08-05 03:45:25.366533,8,500,550,1500,2000,67.00%,59.82%,67.00%,67.00%,67.00%,66.84%,67.50%
2022-08-05 03:45:42.388738,9,500,550,1500,2000,74.00%,58.57%,74.00%,74.00%,74.00%,73.99%,68.22%
2022-08-05 03:45:57.610597,10,500,550,1500,2000,64.00%,61.44%,64.00%,64.00%,64.00%,63.05%,67.80%
2022-08-05 03:46:23.187501,1,500,547,2000,2500,69.00%,59.72%,69.00%,69.00%,69.00%,68.62%,69.00%
2022-08-05 03:46:42.603831,2,500,547,2000,2500,71.00%,62.07%,71.00%,71.00%,71.00%,69.91%,70.00%
2022-08-05 03:47:02.137373,3,500,547,2000,2500,64.00%,65.45%,64.00%,64.00%,64.00%,61.80%,68.00%
2022-08-05 03:47:21.418091,4,500,547,2000,2500,68.00%,62.66%,68.00%,68.00%,68.00%,67.16%,68.00%
2022-08-05 03:47:40.954336,5,500,547,2000,2500,67.00%,62.52%,67.00%,67.00%,67.00%,66.84%,67.80%
2022-08-05 03:47:58.609566,6,500,547,2000,2500,65.00%,60.07%,65.00%,65.00%,65.00%,64.83%,67.33%
