date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-08-03 17:38:01.431793,1,500,300,0,500,65.00%,62.00%,65.00%,65.00%,65.00%,64.83%,65.00%
2022-08-03 17:38:49.390462,2,500,300,0,500,67.00%,63.92%,67.00%,67.00%,67.00%,66.73%,66.00%
2022-08-03 17:39:36.561047,3,500,300,0,500,67.00%,64.63%,67.00%,67.00%,67.00%,66.73%,66.33%
2022-08-03 17:40:23.882603,4,500,300,0,500,66.00%,64.83%,66.00%,66.00%,66.00%,65.66%,66.25%
2022-08-03 17:41:10.729789,5,500,300,0,500,64.00%,63.12%,64.00%,64.00%,64.00%,63.94%,65.80%
2022-08-03 17:41:58.219099,6,500,300,0,500,58.00%,64.53%,58.00%,58.00%,58.00%,55.86%,64.50%
2022-08-03 17:42:44.645468,7,500,300,0,500,64.00%,63.27%,64.00%,64.00%,64.00%,63.99%,64.43%
2022-08-03 17:43:31.604970,8,500,300,0,500,65.00%,63.92%,65.00%,65.00%,65.00%,64.57%,64.50%
2022-08-03 17:44:18.401932,9,500,300,0,500,64.00%,64.08%,64.00%,64.00%,64.00%,63.94%,64.44%
2022-08-03 17:45:05.847044,10,500,300,0,500,64.00%,62.03%,64.00%,64.00%,64.00%,64.00%,64.40%
2022-08-03 17:45:41.409025,1,500,300,500,1000,70.00%,60.11%,70.00%,70.00%,70.00%,68.75%,70.00%
2022-08-03 17:46:10.564403,2,500,300,500,1000,57.00%,65.88%,57.00%,57.00%,57.00%,53.05%,63.50%
2022-08-03 17:46:39.932951,3,500,300,500,1000,74.00%,58.73%,74.00%,74.00%,74.00%,73.99%,67.00%
2022-08-03 17:47:09.380399,4,500,300,500,1000,71.00%,61.26%,71.00%,71.00%,71.00%,70.50%,68.00%
2022-08-03 17:47:38.444150,5,500,300,500,1000,75.00%,55.35%,75.00%,75.00%,75.00%,74.88%,69.40%
2022-08-03 17:48:07.647753,6,500,300,500,1000,64.00%,63.12%,64.00%,64.00%,64.00%,62.79%,68.50%
2022-08-03 17:48:36.877133,7,500,300,500,1000,71.00%,58.44%,71.00%,71.00%,71.00%,70.33%,68.86%
2022-08-03 17:49:06.563448,8,500,300,500,1000,64.00%,63.39%,64.00%,64.00%,64.00%,62.17%,68.25%
2022-08-03 17:49:35.995236,9,500,300,500,1000,72.00%,59.02%,72.00%,72.00%,72.00%,71.82%,68.67%
2022-08-03 17:50:05.443805,10,500,300,500,1000,77.00%,54.18%,77.00%,77.00%,77.00%,76.98%,69.50%
2022-08-03 17:50:25.143292,1,500,300,1000,1500,70.00%,57.04%,70.00%,70.00%,70.00%,69.95%,70.00%
2022-08-03 17:50:38.452653,2,500,300,1000,1500,75.00%,51.92%,75.00%,75.00%,75.00%,75.00%,72.50%
