date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-01-03 16:57:18.271057,1,2000,1200,0,2000,71.00%,53.68%,71.00%,71.00%,71.00%,70.33%,71.00%
2022-01-03 16:57:29.090048,2,2000,1200,0,2000,76.50%,65.18%,76.50%,76.50%,76.50%,76.37%,73.75%
2022-01-03 16:57:39.907281,3,2000,1200,0,2000,73.75%,50.82%,73.75%,73.75%,73.75%,72.99%,73.75%
2022-01-03 16:57:51.387548,4,2000,1200,0,2000,67.75%,57.90%,67.75%,67.75%,67.75%,67.37%,72.25%
2022-01-03 16:58:02.857796,5,2000,1200,0,2000,80.00%,42.96%,80.00%,80.00%,80.00%,79.99%,73.80%
2022-01-03 16:58:14.744133,6,2000,1200,0,2000,83.00%,41.03%,83.00%,83.00%,83.00%,82.94%,75.33%
2022-01-03 16:58:25.320300,7,2000,1200,0,2000,72.50%,53.26%,72.50%,72.50%,72.50%,71.29%,74.93%
2022-01-03 16:58:35.443323,8,2000,1200,0,2000,79.25%,51.89%,79.25%,79.25%,79.25%,79.23%,75.47%
2022-01-03 16:58:44.379490,9,2000,1200,0,2000,51.00%,68.53%,51.00%,51.00%,51.00%,35.93%,72.75%
2022-01-03 16:58:56.760335,10,2000,1200,0,2000,72.50%,51.62%,72.50%,72.50%,72.50%,71.82%,72.73%
2022-01-03 17:03:01.189751,1,2000,1200,2000,4000,74.25%,63.89%,74.25%,74.25%,74.25%,74.22%,74.25%
2022-01-03 17:03:16.847775,2,2000,1200,2000,4000,73.75%,53.80%,73.75%,73.75%,73.75%,73.52%,74.00%
2022-01-03 17:03:32.183904,3,2000,1200,2000,4000,70.25%,60.50%,70.25%,70.25%,70.25%,69.87%,72.75%
2022-01-03 17:03:47.916021,4,2000,1200,2000,4000,66.00%,59.79%,66.00%,66.00%,66.00%,66.00%,71.06%
2022-01-03 17:04:04.359925,5,2000,1200,2000,4000,73.75%,53.14%,73.75%,73.75%,73.75%,73.70%,71.60%
2022-01-03 17:04:12.185787,6,2000,1200,2000,4000,51.50%,69.32%,51.50%,51.50%,51.50%,51.29%,68.25%
2022-01-03 17:04:21.309077,7,2000,1200,2000,4000,49.50%,69.63%,49.50%,49.50%,49.50%,33.11%,65.57%
2022-01-03 17:04:37.232995,8,2000,1200,2000,4000,72.75%,58.79%,72.75%,72.75%,72.75%,72.59%,66.47%
2022-01-03 17:04:53.090842,9,2000,1200,2000,4000,70.00%,71.07%,70.00%,70.00%,70.00%,69.36%,66.86%
2022-01-03 17:05:08.947693,10,2000,1200,2000,4000,72.50%,61.92%,72.50%,72.50%,72.50%,72.25%,67.43%
2022-01-03 21:12:36.540536,1,50000,30000,0,50000,88.70%,27.32%,88.70%,88.70%,88.70%,88.70%,88.70%
2022-01-03 21:13:33.190391,2,50000,30000,0,50000,89.23%,28.19%,89.23%,89.23%,89.23%,89.22%,88.97%
2022-01-03 21:14:24.915639,3,50000,30000,0,50000,88.51%,27.42%,88.51%,88.51%,88.51%,88.51%,88.81%
2022-01-03 21:15:34.107278,4,50000,30000,0,50000,89.04%,26.72%,89.04%,89.04%,89.04%,89.04%,88.87%
2022-01-03 21:16:29.408848,5,50000,30000,0,50000,88.49%,27.32%,88.49%,88.49%,88.49%,88.48%,88.79%
2022-01-03 21:17:16.695579,6,50000,30000,0,50000,88.52%,27.08%,88.52%,88.52%,88.52%,88.51%,88.75%
2022-01-03 21:18:03.420181,7,50000,30000,0,50000,88.65%,27.65%,88.65%,88.65%,88.65%,88.65%,88.73%
