date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-01-06 16:45:53.063410,1,1000,600,0,1000,70.50%,57.27%,70.50%,70.50%,70.50%,69.57%,70.50%
2022-01-06 16:46:01.206257,2,1000,600,0,1000,53.00%,68.78%,53.00%,53.00%,53.00%,35.58%,61.75%
2022-01-06 16:46:15.896590,3,1000,600,0,1000,73.50%,53.10%,73.50%,73.50%,73.50%,72.85%,65.67%
2022-01-06 16:46:31.450120,4,1000,600,0,1000,74.00%,52.37%,74.00%,74.00%,74.00%,73.79%,67.75%
2022-01-06 16:46:45.950410,5,1000,600,0,1000,75.00%,51.03%,75.00%,75.00%,75.00%,74.50%,69.20%
2022-01-06 16:47:01.406917,6,1000,600,0,1000,78.50%,45.02%,78.50%,78.50%,78.50%,78.26%,70.75%
2022-01-06 16:47:16.822415,7,1000,600,0,1000,77.00%,49.60%,77.00%,77.00%,77.00%,76.81%,71.64%
2022-01-06 16:47:31.505749,8,1000,600,0,1000,74.50%,49.69%,74.50%,74.50%,74.50%,73.79%,72.00%
2022-01-06 16:47:39.700607,9,1000,600,0,1000,52.50%,68.30%,52.50%,52.50%,52.50%,43.72%,69.83%
2022-01-06 16:47:54.743021,10,1000,600,0,1000,73.50%,54.40%,73.50%,73.50%,73.50%,72.93%,70.20%
2022-01-06 16:48:18.122325,1,1000,600,1000,2000,75.00%,54.92%,75.00%,75.00%,75.00%,74.99%,75.00%
2022-01-06 16:48:28.773742,2,1000,600,1000,2000,73.50%,56.08%,73.50%,73.50%,73.50%,73.31%,74.25%
2022-01-06 16:48:39.868262,3,1000,600,1000,2000,72.00%,56.30%,72.00%,72.00%,72.00%,71.66%,73.50%
2022-01-06 16:48:51.146820,4,1000,600,1000,2000,74.50%,54.33%,74.50%,74.50%,74.50%,74.22%,73.75%
2022-01-06 16:49:01.709216,5,1000,600,1000,2000,75.50%,53.78%,75.50%,75.50%,75.50%,75.47%,74.10%
2022-01-06 16:49:12.314623,6,1000,600,1000,2000,71.00%,57.82%,71.00%,71.00%,71.00%,70.76%,73.58%
2022-01-06 16:49:23.922257,7,1000,600,1000,2000,74.00%,55.97%,74.00%,74.00%,74.00%,73.87%,73.64%
2022-01-06 16:49:34.902748,8,1000,600,1000,2000,74.00%,53.37%,74.00%,74.00%,74.00%,73.93%,73.69%
2022-01-06 16:49:46.193310,9,1000,600,1000,2000,72.50%,54.64%,72.50%,72.50%,72.50%,72.48%,73.56%
2022-01-06 16:49:57.731928,10,1000,600,1000,2000,71.50%,58.31%,71.50%,71.50%,71.50%,71.47%,73.35%
2022-01-06 16:50:24.208937,1,1000,600,2000,3000,64.00%,61.50%,64.00%,64.00%,64.00%,64.00%,64.00%
2022-01-06 16:50:37.356920,2,1000,600,2000,3000,62.50%,62.49%,62.50%,62.50%,62.50%,61.80%,63.25%
2022-01-06 16:50:50.492901,3,1000,600,2000,3000,67.00%,62.31%,67.00%,67.00%,67.00%,66.92%,64.50%
2022-01-06 16:51:03.219788,4,1000,600,2000,3000,65.00%,62.87%,65.00%,65.00%,65.00%,64.91%,64.62%
2022-01-06 16:51:15.997688,5,1000,600,2000,3000,64.50%,62.87%,64.50%,64.50%,64.50%,64.48%,64.60%
2022-01-06 16:51:28.331487,6,1000,600,2000,3000,67.00%,60.94%,67.00%,67.00%,67.00%,66.73%,65.00%
2022-01-06 16:51:40.869332,7,1000,600,2000,3000,67.00%,64.47%,67.00%,67.00%,67.00%,66.88%,65.29%
2022-01-06 16:51:53.447186,8,1000,600,2000,3000,63.00%,69.46%,63.00%,63.00%,63.00%,60.74%,65.00%
2022-01-06 16:52:06.298102,9,1000,600,2000,3000,69.00%,61.77%,69.00%,69.00%,69.00%,68.89%,65.44%
2022-01-06 16:52:19.381071,10,1000,600,2000,3000,63.50%,62.39%,63.50%,63.50%,63.50%,63.50%,65.25%
2022-01-06 16:52:47.522758,1,1000,600,3000,4000,63.50%,61.27%,63.50%,63.50%,63.50%,60.27%,63.50%
2022-01-06 16:53:01.036330,2,1000,600,3000,4000,67.00%,61.67%,67.00%,67.00%,67.00%,64.61%,65.25%
2022-01-06 16:53:17.536767,3,1000,600,3000,4000,66.50%,58.39%,66.50%,66.50%,66.50%,66.36%,65.67%
2022-01-06 16:53:33.200321,4,1000,600,3000,4000,67.50%,59.57%,67.50%,67.50%,67.50%,67.46%,66.13%
2022-01-06 16:53:49.099767,5,1000,600,3000,4000,69.00%,59.27%,69.00%,69.00%,69.00%,68.38%,66.70%
2022-01-06 16:54:03.227629,6,1000,600,3000,4000,71.00%,58.21%,71.00%,71.00%,71.00%,70.03%,67.42%
2022-01-06 16:54:17.768929,7,1000,600,3000,4000,68.00%,60.06%,68.00%,68.00%,68.00%,67.88%,67.50%
2022-01-06 16:54:31.628074,8,1000,600,3000,4000,70.50%,59.04%,70.50%,70.50%,70.50%,70.17%,67.88%
2022-01-06 16:54:46.472442,9,1000,600,3000,4000,73.50%,56.47%,73.50%,73.50%,73.50%,73.08%,68.50%
2022-01-06 16:55:01.069755,10,1000,600,3000,4000,68.00%,57.79%,68.00%,68.00%,68.00%,67.92%,68.45%
2022-01-06 16:55:24.388046,1,1000,600,4000,5000,71.00%,56.08%,71.00%,71.00%,71.00%,70.76%,71.00%
2022-01-06 16:55:35.575584,2,1000,600,4000,5000,71.50%,57.32%,71.50%,71.50%,71.50%,71.05%,71.25%
2022-01-06 16:55:46.104974,3,1000,600,4000,5000,70.50%,57.00%,70.50%,70.50%,70.50%,69.45%,71.00%
2022-01-06 16:55:57.281510,4,1000,600,4000,5000,71.00%,55.12%,71.00%,71.00%,71.00%,70.76%,71.00%
2022-01-06 16:56:08.389030,5,1000,600,4000,5000,70.50%,54.57%,70.50%,70.50%,70.50%,69.95%,70.90%
2022-01-06 16:56:19.626580,6,1000,600,4000,5000,70.00%,53.41%,70.00%,70.00%,70.00%,69.63%,70.75%
2022-01-06 16:56:30.862130,7,1000,600,4000,5000,70.50%,56.02%,70.50%,70.50%,70.50%,69.87%,70.71%
2022-01-06 16:56:41.746600,8,1000,600,4000,5000,74.50%,54.49%,74.50%,74.50%,74.50%,74.49%,71.19%
2022-01-06 16:56:52.607064,9,1000,600,4000,5000,71.50%,57.66%,71.50%,71.50%,71.50%,71.44%,71.22%
2022-01-06 16:57:03.532543,10,1000,600,4000,5000,73.00%,55.46%,73.00%,73.00%,73.00%,72.96%,71.40%
2022-01-06 16:57:27.418964,1,1000,600,5000,6000,75.00%,55.33%,75.00%,75.00%,75.00%,74.91%,75.00%
2022-01-06 16:57:38.392453,2,1000,600,5000,6000,75.50%,54.40%,75.50%,75.50%,75.50%,75.49%,75.25%
2022-01-06 16:57:49.157896,3,1000,600,5000,6000,74.50%,56.19%,74.50%,74.50%,74.50%,74.48%,75.00%
2022-01-06 16:57:59.968349,4,1000,600,5000,6000,74.00%,58.07%,74.00%,74.00%,74.00%,73.93%,74.75%
2022-01-06 16:58:11.168891,5,1000,600,5000,6000,73.50%,55.96%,73.50%,73.50%,73.50%,73.42%,74.50%
2022-01-06 16:58:22.089369,6,1000,600,5000,6000,74.00%,57.93%,74.00%,74.00%,74.00%,74.00%,74.42%
2022-01-06 16:58:33.276908,7,1000,600,5000,6000,75.50%,58.13%,75.50%,75.50%,75.50%,75.49%,74.57%
2022-01-06 16:58:44.228392,8,1000,600,5000,6000,70.00%,58.98%,70.00%,70.00%,70.00%,70.00%,74.00%
2022-01-06 16:58:54.838801,9,1000,600,5000,6000,75.50%,55.93%,75.50%,75.50%,75.50%,75.43%,74.17%
2022-01-06 16:59:05.836296,10,1000,600,5000,6000,70.50%,58.52%,70.50%,70.50%,70.50%,70.46%,73.80%
2022-01-06 16:59:29.731718,1,1000,600,6000,7000,68.50%,63.63%,68.50%,68.50%,68.50%,67.72%,68.50%
2022-01-06 16:59:40.935260,2,1000,600,6000,7000,62.00%,62.75%,62.00%,62.00%,62.00%,61.81%,65.25%
2022-01-06 16:59:52.049783,3,1000,600,6000,7000,64.50%,60.57%,64.50%,64.50%,64.50%,63.24%,65.00%
2022-01-06 17:00:03.684422,4,1000,600,6000,7000,64.50%,67.85%,64.50%,64.50%,64.50%,64.50%,64.87%
2022-01-06 17:00:15.499103,5,1000,600,6000,7000,66.50%,61.51%,66.50%,66.50%,66.50%,66.13%,65.20%
2022-01-06 17:00:27.115739,6,1000,600,6000,7000,65.00%,61.71%,65.00%,65.00%,65.00%,64.99%,65.17%
2022-01-06 17:00:38.570338,7,1000,600,6000,7000,67.00%,65.26%,67.00%,67.00%,67.00%,66.52%,65.43%
2022-01-06 17:00:49.529825,8,1000,600,6000,7000,64.50%,64.49%,64.50%,64.50%,64.50%,64.49%,65.31%
2022-01-06 17:01:00.424297,9,1000,600,6000,7000,67.00%,65.39%,67.00%,67.00%,67.00%,65.16%,65.50%
2022-01-06 17:01:11.820884,10,1000,600,6000,7000,63.50%,65.91%,63.50%,63.50%,63.50%,63.23%,65.30%
2022-01-06 17:01:35.581275,1,1000,600,7000,8000,71.00%,55.09%,71.00%,71.00%,71.00%,70.71%,71.00%
2022-01-06 17:01:47.024872,2,1000,600,7000,8000,78.00%,49.25%,78.00%,78.00%,78.00%,77.86%,74.50%
2022-01-06 17:01:57.834325,3,1000,600,7000,8000,76.50%,54.90%,76.50%,76.50%,76.50%,76.24%,75.17%
2022-01-06 17:02:08.857826,4,1000,600,7000,8000,75.50%,54.30%,75.50%,75.50%,75.50%,75.11%,75.25%
2022-01-06 17:02:20.257413,5,1000,600,7000,8000,75.00%,52.47%,75.00%,75.00%,75.00%,73.96%,75.20%
2022-01-06 17:02:31.361933,6,1000,600,7000,8000,68.50%,58.00%,68.50%,68.50%,68.50%,68.27%,74.08%
2022-01-06 17:02:42.550472,7,1000,600,7000,8000,74.50%,56.35%,74.50%,74.50%,74.50%,73.95%,74.14%
2022-01-06 17:02:53.531963,8,1000,600,7000,8000,76.50%,53.83%,76.50%,76.50%,76.50%,75.84%,74.44%
2022-01-06 17:03:05.333641,9,1000,600,7000,8000,77.50%,46.85%,77.50%,77.50%,77.50%,77.08%,74.78%
2022-01-06 17:03:12.545278,10,1000,600,7000,8000,45.00%,73.07%,45.00%,45.00%,45.00%,31.03%,71.80%
2022-01-06 17:03:37.970047,1,1000,600,8000,9000,60.50%,64.88%,60.50%,60.50%,60.50%,59.77%,60.50%
2022-01-06 17:03:51.406096,2,1000,600,8000,9000,61.00%,65.62%,61.00%,61.00%,61.00%,60.90%,60.75%
2022-01-06 17:04:03.909934,3,1000,600,8000,9000,58.50%,69.79%,58.50%,58.50%,58.50%,57.34%,60.00%
2022-01-06 17:13:09.642836,1,2000,1200,0,2000,80.00%,42.73%,80.00%,80.00%,80.00%,79.92%,80.00%
2022-01-06 17:13:27.384335,2,2000,1200,0,2000,78.75%,46.65%,78.75%,78.75%,78.75%,78.50%,79.38%
2022-01-06 17:13:44.206438,3,2000,1200,0,2000,80.00%,45.32%,80.00%,80.00%,80.00%,79.98%,79.58%
2022-01-06 17:14:00.895225,4,2000,1200,0,2000,84.25%,42.07%,84.25%,84.25%,84.25%,84.21%,80.75%
2022-01-06 17:14:16.629011,5,2000,1200,0,2000,81.75%,42.16%,81.75%,81.75%,81.75%,81.75%,80.95%
2022-01-06 17:14:34.167266,6,2000,1200,0,2000,79.00%,43.52%,79.00%,79.00%,79.00%,78.85%,80.63%
2022-01-06 17:14:48.211207,7,2000,1200,0,2000,77.75%,48.78%,77.75%,77.75%,77.75%,77.70%,80.21%
2022-01-06 17:15:03.510678,8,2000,1200,0,2000,80.50%,46.92%,80.50%,80.50%,80.50%,80.32%,80.25%
2022-01-06 17:15:19.369276,9,2000,1200,0,2000,82.00%,42.28%,82.00%,82.00%,82.00%,81.99%,80.44%
2022-01-06 17:15:34.120624,10,2000,1200,0,2000,82.75%,41.81%,82.75%,82.75%,82.75%,82.72%,80.67%
2022-01-06 17:16:07.010087,1,2000,1200,2000,4000,68.00%,63.78%,68.00%,68.00%,68.00%,67.05%,68.00%
2022-01-06 17:16:24.868140,2,2000,1200,2000,4000,68.75%,63.42%,68.75%,68.75%,68.75%,68.10%,68.38%
2022-01-06 17:16:42.012030,3,2000,1200,2000,4000,69.00%,61.48%,69.00%,69.00%,69.00%,68.80%,68.58%
2022-01-06 17:17:00.169149,4,2000,1200,2000,4000,70.50%,59.72%,70.50%,70.50%,70.50%,70.23%,69.06%
2022-01-06 17:17:20.204696,5,2000,1200,2000,4000,72.25%,60.77%,72.25%,72.25%,72.25%,72.25%,69.70%
2022-01-06 17:17:36.922490,6,2000,1200,2000,4000,71.25%,58.57%,71.25%,71.25%,71.25%,71.15%,69.96%
2022-01-06 17:17:59.019881,7,2000,1200,2000,4000,70.50%,61.25%,70.50%,70.50%,70.50%,70.33%,70.04%
2022-01-06 17:18:19.583547,8,2000,1200,2000,4000,70.50%,62.77%,70.50%,70.50%,70.50%,69.95%,70.09%
2022-01-06 17:18:40.581311,9,2000,1200,2000,4000,72.25%,59.10%,72.25%,72.25%,72.25%,72.20%,70.33%
2022-01-06 17:19:00.858913,10,2000,1200,2000,4000,69.25%,61.19%,69.25%,69.25%,69.25%,68.82%,70.22%
