date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-01-06 08:42:16.012757,1,1000,600,0,1000,52.50%,69.58%,52.50%,52.50%,52.50%,34.43%,52.50%
2022-01-06 08:42:55.125890,2,1000,600,0,1000,78.50%,45.38%,78.50%,78.50%,78.50%,78.30%,65.50%
2022-01-06 08:43:44.550886,3,1000,600,0,1000,82.50%,45.34%,82.50%,82.50%,82.50%,82.40%,71.17%
2022-01-06 08:44:03.065059,4,1000,600,0,1000,57.00%,69.20%,57.00%,57.00%,57.00%,50.18%,67.62%
2022-01-06 08:44:23.540504,5,1000,600,0,1000,60.50%,68.62%,60.50%,60.50%,60.50%,55.51%,66.20%
2022-01-06 08:44:44.104901,6,1000,600,0,1000,58.00%,68.50%,58.00%,58.00%,58.00%,48.47%,64.83%
2022-01-06 08:45:33.081860,7,1000,600,0,1000,80.00%,43.61%,80.00%,80.00%,80.00%,79.87%,67.00%
2022-01-06 08:46:22.333820,8,1000,600,0,1000,82.50%,41.85%,82.50%,82.50%,82.50%,82.45%,68.94%
2022-01-06 08:47:03.584154,9,1000,600,0,1000,82.00%,42.26%,82.00%,82.00%,82.00%,81.99%,70.39%
2022-01-06 08:47:52.951394,10,1000,600,0,1000,70.00%,59.01%,70.00%,70.00%,70.00%,69.11%,70.35%
2022-01-06 08:48:33.089731,1,1000,600,1000,2000,74.00%,53.58%,74.00%,74.00%,74.00%,73.96%,74.00%
2022-01-06 08:49:00.649690,2,1000,600,1000,2000,78.00%,50.01%,78.00%,78.00%,78.00%,77.89%,76.00%
2022-01-06 08:49:28.559224,3,1000,600,1000,2000,76.00%,53.85%,76.00%,76.00%,76.00%,75.65%,76.00%
2022-01-06 08:49:57.297623,4,1000,600,1000,2000,76.00%,51.10%,76.00%,76.00%,76.00%,75.88%,76.00%
2022-01-06 08:50:20.156903,5,1000,600,1000,2000,71.50%,57.49%,71.50%,71.50%,71.50%,70.70%,75.10%
2022-01-06 08:50:44.477772,6,1000,600,1000,2000,72.00%,57.04%,72.00%,72.00%,72.00%,71.36%,74.58%
2022-01-06 08:51:12.960798,7,1000,600,1000,2000,74.50%,59.34%,74.50%,74.50%,74.50%,73.95%,74.57%
2022-01-06 08:51:41.096249,8,1000,600,1000,2000,71.50%,63.46%,71.50%,71.50%,71.50%,70.49%,74.19%
2022-01-06 08:52:08.867774,9,1000,600,1000,2000,77.50%,54.23%,77.50%,77.50%,77.50%,77.40%,74.56%
2022-01-06 08:52:37.318683,10,1000,600,1000,2000,73.50%,57.83%,73.50%,73.50%,73.50%,73.35%,74.45%
2022-01-06 08:53:38.711246,1,1000,600,2000,3000,68.00%,62.45%,68.00%,68.00%,68.00%,67.99%,68.00%
2022-01-06 08:54:27.297893,2,1000,600,2000,3000,67.50%,62.62%,67.50%,67.50%,67.50%,67.36%,67.75%
2022-01-06 08:55:03.568110,3,1000,600,2000,3000,67.00%,63.49%,67.00%,67.00%,67.00%,65.76%,67.50%
2022-01-06 08:55:33.663941,4,1000,600,2000,3000,66.50%,60.99%,66.50%,66.50%,66.50%,66.49%,67.25%
2022-01-06 08:56:07.262344,5,1000,600,2000,3000,66.00%,59.87%,66.00%,66.00%,66.00%,65.95%,67.00%
2022-01-06 08:56:55.862842,6,1000,600,2000,3000,69.00%,64.27%,69.00%,69.00%,69.00%,68.89%,67.33%
2022-01-06 08:57:29.016065,7,1000,600,2000,3000,68.00%,62.45%,68.00%,68.00%,68.00%,67.74%,67.43%
2022-01-06 08:58:01.476294,8,1000,600,2000,3000,69.50%,59.86%,69.50%,69.50%,69.50%,69.41%,67.69%
2022-01-06 08:58:31.335420,9,1000,600,2000,3000,65.50%,60.77%,65.50%,65.50%,65.50%,65.25%,67.44%
2022-01-06 08:59:02.147705,10,1000,600,2000,3000,67.00%,61.20%,67.00%,67.00%,67.00%,66.92%,67.40%
