date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-07-04 23:49:58.464106,1,500,531,0,500,69.00%,60.38%,69.00%,69.00%,69.00%,68.75%,69.00%
2022-07-04 23:51:14.410615,2,500,531,0,500,62.00%,62.59%,62.00%,62.00%,62.00%,61.24%,65.50%
2022-07-04 23:52:28.911347,3,500,531,0,500,63.00%,63.20%,63.00%,63.00%,63.00%,62.97%,64.67%
2022-07-04 23:53:44.440756,4,500,531,0,500,67.00%,61.81%,67.00%,67.00%,67.00%,66.92%,65.25%
2022-07-04 23:54:59.824615,5,500,531,0,500,70.00%,56.14%,70.00%,70.00%,70.00%,69.89%,66.20%
2022-07-04 23:56:15.758124,6,500,531,0,500,68.00%,60.63%,68.00%,68.00%,68.00%,67.79%,66.50%
2022-07-04 23:57:30.254519,7,500,531,0,500,63.00%,62.89%,63.00%,63.00%,63.00%,62.82%,66.00%
2022-07-04 23:58:44.788763,8,500,531,0,500,66.00%,62.74%,66.00%,66.00%,66.00%,65.78%,66.00%
2022-07-04 23:59:52.484502,9,500,531,0,500,64.00%,64.37%,64.00%,64.00%,64.00%,63.77%,65.78%
2022-07-05 00:01:07.943361,10,500,531,0,500,67.00%,60.91%,67.00%,67.00%,67.00%,67.00%,65.90%
2022-07-05 00:02:00.085812,1,500,524,500,1000,73.00%,57.69%,73.00%,73.00%,73.00%,72.78%,73.00%
2022-07-05 00:02:44.596915,2,500,524,500,1000,76.00%,59.95%,76.00%,76.00%,76.00%,75.85%,74.50%
2022-07-05 00:03:29.633591,3,500,524,500,1000,70.00%,60.47%,70.00%,70.00%,70.00%,68.75%,73.00%
2022-07-05 00:04:14.735911,4,500,524,500,1000,63.00%,63.58%,63.00%,63.00%,63.00%,60.93%,70.50%
2022-07-05 00:04:59.984809,5,500,524,500,1000,76.00%,58.33%,76.00%,76.00%,76.00%,75.91%,71.60%
2022-07-05 00:05:45.307722,6,500,524,500,1000,76.00%,51.80%,76.00%,76.00%,76.00%,75.37%,72.33%
2022-07-05 00:06:29.971526,7,500,524,500,1000,70.00%,56.12%,70.00%,70.00%,70.00%,69.81%,72.00%
2022-07-05 00:07:14.975738,8,500,524,500,1000,72.00%,56.84%,72.00%,72.00%,72.00%,69.62%,72.00%
2022-07-05 00:07:59.935463,9,500,524,500,1000,71.00%,56.83%,71.00%,71.00%,71.00%,69.66%,71.89%
2022-07-05 00:08:45.017569,10,500,524,500,1000,69.00%,54.27%,69.00%,69.00%,69.00%,68.62%,71.60%
2022-07-05 00:09:09.173293,1,500,524,1000,1500,70.00%,48.76%,70.00%,70.00%,70.00%,69.40%,70.00%
2022-07-05 00:09:26.381595,2,500,524,1000,1500,78.00%,49.91%,78.00%,78.00%,78.00%,77.68%,74.00%
2022-07-05 00:09:43.560073,3,500,524,1000,1500,75.00%,49.35%,75.00%,75.00%,75.00%,74.98%,74.33%
2022-07-05 00:10:00.645135,4,500,524,1000,1500,77.00%,54.31%,77.00%,77.00%,77.00%,76.81%,75.00%
2022-07-05 00:10:17.823609,5,500,524,1000,1500,75.00%,52.11%,75.00%,75.00%,75.00%,75.00%,75.00%
2022-07-05 00:10:35.030587,6,500,524,1000,1500,79.00%,48.69%,79.00%,79.00%,79.00%,78.83%,75.67%
2022-07-05 00:10:52.690137,7,500,524,1000,1500,74.00%,43.61%,74.00%,74.00%,74.00%,73.91%,75.43%
2022-07-05 00:11:09.529859,8,500,524,1000,1500,76.00%,54.64%,76.00%,76.00%,76.00%,75.85%,75.50%
2022-07-05 00:11:26.514534,9,500,524,1000,1500,75.00%,54.57%,75.00%,75.00%,75.00%,74.26%,75.44%
2022-07-05 00:11:43.398576,10,500,524,1000,1500,77.00%,45.96%,77.00%,77.00%,77.00%,77.00%,75.60%
2022-07-05 00:12:06.122801,1,500,539,1500,2000,76.00%,53.06%,76.00%,76.00%,76.00%,76.00%,76.00%
2022-07-05 00:12:22.339802,2,500,539,1500,2000,78.00%,53.74%,78.00%,78.00%,78.00%,77.92%,77.00%
2022-07-05 00:12:38.763506,3,500,539,1500,2000,79.00%,53.53%,79.00%,79.00%,79.00%,78.95%,77.67%
2022-07-05 00:12:55.680001,4,500,539,1500,2000,75.00%,57.43%,75.00%,75.00%,75.00%,74.98%,77.00%
2022-07-05 00:13:12.015600,5,500,539,1500,2000,77.00%,55.25%,77.00%,77.00%,77.00%,76.60%,77.00%
2022-07-05 00:13:28.225673,6,500,539,1500,2000,78.00%,52.38%,78.00%,78.00%,78.00%,77.68%,77.17%
2022-07-05 00:13:44.612027,7,500,539,1500,2000,76.00%,60.65%,76.00%,76.00%,76.00%,75.96%,77.00%
2022-07-05 00:14:01.042468,8,500,539,1500,2000,77.00%,56.06%,77.00%,77.00%,77.00%,77.00%,77.00%
2022-07-05 00:14:17.447021,9,500,539,1500,2000,73.00%,56.39%,73.00%,73.00%,73.00%,72.38%,76.56%
2022-07-05 00:14:33.494009,10,500,539,1500,2000,76.00%,54.03%,76.00%,76.00%,76.00%,75.37%,76.50%
2022-07-05 00:14:59.251315,1,500,525,2000,2500,66.00%,62.76%,66.00%,66.00%,66.00%,63.11%,66.00%
