date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-07-04 18:25:39.484667,1,500,300,0,500,65.00%,62.37%,65.00%,65.00%,65.00%,64.97%,65.00%
2022-07-04 18:26:24.963821,2,500,300,0,500,63.00%,63.25%,63.00%,63.00%,63.00%,61.90%,64.00%
2022-07-04 18:27:12.361558,3,500,300,0,500,64.00%,63.87%,64.00%,64.00%,64.00%,63.77%,64.00%
2022-07-04 18:27:59.360309,4,500,300,0,500,67.00%,63.64%,67.00%,67.00%,67.00%,67.00%,64.75%
2022-07-04 18:28:45.934875,5,500,300,0,500,66.00%,63.20%,66.00%,66.00%,66.00%,65.78%,65.00%
2022-07-04 18:29:32.630924,6,500,300,0,500,64.00%,62.41%,64.00%,64.00%,64.00%,64.00%,64.83%
2022-07-04 18:30:19.303686,7,500,300,0,500,65.00%,62.70%,65.00%,65.00%,65.00%,64.91%,64.86%
2022-07-04 18:31:06.051163,8,500,300,0,500,67.00%,63.52%,67.00%,67.00%,67.00%,66.60%,65.12%
2022-07-04 18:31:52.906537,9,500,300,0,500,64.00%,64.09%,64.00%,64.00%,64.00%,63.99%,65.00%
2022-07-04 18:32:39.575408,10,500,300,0,500,64.00%,63.40%,64.00%,64.00%,64.00%,63.87%,64.90%
2022-07-04 18:33:15.687244,1,500,300,500,1000,67.00%,58.59%,67.00%,67.00%,67.00%,64.80%,67.00%
2022-07-04 18:33:45.708589,2,500,300,500,1000,76.00%,55.31%,76.00%,76.00%,76.00%,75.85%,71.50%
2022-07-04 18:34:15.323696,3,500,300,500,1000,72.00%,59.52%,72.00%,72.00%,72.00%,71.90%,71.67%
2022-07-04 18:34:44.976609,4,500,300,500,1000,70.00%,57.26%,70.00%,70.00%,70.00%,69.89%,71.25%
2022-07-04 18:35:14.650713,5,500,300,500,1000,70.00%,60.62%,70.00%,70.00%,70.00%,69.56%,71.00%
2022-07-04 18:35:43.885121,6,500,300,500,1000,71.00%,55.55%,71.00%,71.00%,71.00%,70.50%,71.00%
2022-07-04 18:36:13.625288,7,500,300,500,1000,67.00%,61.67%,67.00%,67.00%,67.00%,66.02%,70.43%
2022-07-04 18:36:42.960493,8,500,300,500,1000,74.00%,57.40%,74.00%,74.00%,74.00%,73.96%,70.88%
2022-07-04 18:37:12.840850,9,500,300,500,1000,78.00%,53.42%,78.00%,78.00%,78.00%,77.86%,71.67%
2022-07-04 18:37:42.294572,10,500,300,500,1000,70.00%,60.53%,70.00%,70.00%,70.00%,69.40%,71.50%
2022-07-04 18:38:02.203464,1,500,300,1000,1500,74.00%,57.91%,74.00%,74.00%,74.00%,74.00%,74.00%
2022-07-04 18:38:15.678820,2,500,300,1000,1500,76.00%,54.77%,76.00%,76.00%,76.00%,75.99%,75.00%
2022-07-04 18:38:29.603306,3,500,300,1000,1500,72.00%,54.98%,72.00%,72.00%,72.00%,71.72%,74.00%
2022-07-04 18:38:43.067209,4,500,300,1000,1500,71.00%,56.32%,71.00%,71.00%,71.00%,70.50%,73.25%
