date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-01-07 14:56:06.492339,1,1000,600,0,1000,47.50%,69.76%,47.50%,47.50%,47.50%,32.20%,47.50%
2022-01-07 14:56:19.615242,2,1000,600,0,1000,68.50%,63.11%,68.50%,68.50%,68.50%,67.82%,58.00%
2022-01-07 14:56:28.138175,3,1000,600,0,1000,47.50%,69.57%,47.50%,47.50%,47.50%,32.20%,54.50%
2022-01-07 14:56:41.928306,4,1000,600,0,1000,57.50%,65.08%,57.50%,57.50%,57.50%,51.37%,55.25%
2022-01-07 14:56:52.370675,5,1000,600,0,1000,47.50%,70.60%,47.50%,47.50%,47.50%,32.20%,53.70%
2022-01-07 14:57:00.049417,6,1000,600,0,1000,47.50%,69.66%,47.50%,47.50%,47.50%,32.20%,52.67%
2022-01-07 14:57:17.607425,7,1000,600,0,1000,74.00%,56.14%,74.00%,74.00%,74.00%,73.96%,55.71%
2022-01-07 14:57:27.125720,8,1000,600,0,1000,47.50%,69.33%,47.50%,47.50%,47.50%,32.20%,54.69%
2022-01-07 14:57:35.328581,9,1000,600,0,1000,47.50%,69.63%,47.50%,47.50%,47.50%,32.20%,53.89%
2022-01-07 14:57:44.857211,10,1000,600,0,1000,49.00%,69.30%,49.00%,49.00%,49.00%,35.31%,53.40%
2022-01-07 14:57:53.883157,1,1000,600,1000,2000,62.50%,71.68%,62.50%,62.50%,62.50%,57.76%,62.50%
2022-01-07 14:58:04.159489,2,1000,600,1000,2000,75.50%,53.40%,75.50%,75.50%,75.50%,75.48%,69.00%
2022-01-07 14:58:13.087575,3,1000,600,1000,2000,72.50%,60.26%,72.50%,72.50%,72.50%,72.47%,70.17%
2022-01-07 14:58:21.362704,4,1000,600,1000,2000,61.50%,67.45%,61.50%,61.50%,61.50%,61.22%,68.00%
2022-01-07 14:58:29.542560,5,1000,600,1000,2000,62.00%,66.97%,62.00%,62.00%,62.00%,61.24%,66.80%
2022-01-07 14:58:37.818438,6,1000,600,1000,2000,64.00%,67.04%,64.00%,64.00%,64.00%,63.56%,66.33%
2022-01-07 14:58:46.555854,7,1000,600,1000,2000,69.50%,62.60%,69.50%,69.50%,69.50%,69.46%,66.79%
2022-01-07 14:58:55.647147,8,1000,600,1000,2000,71.50%,60.34%,71.50%,71.50%,71.50%,71.44%,67.37%
2022-01-07 14:59:06.069511,9,1000,600,1000,2000,74.00%,50.41%,74.00%,74.00%,74.00%,73.96%,68.11%
2022-01-07 14:59:15.858779,10,1000,600,1000,2000,70.00%,64.77%,70.00%,70.00%,70.00%,69.70%,68.30%
2022-01-07 14:59:29.559811,1,1000,600,2000,3000,71.00%,59.72%,71.00%,71.00%,71.00%,70.03%,71.00%
2022-01-07 14:59:40.805363,2,1000,600,2000,3000,61.00%,64.81%,61.00%,61.00%,61.00%,59.84%,66.00%
2022-01-07 14:59:52.389717,3,1000,600,2000,3000,61.00%,65.04%,61.00%,61.00%,61.00%,60.33%,64.33%
2022-01-07 15:00:03.060413,4,1000,600,2000,3000,58.50%,67.44%,58.50%,58.50%,58.50%,58.12%,62.87%
2022-01-07 15:00:13.757840,5,1000,600,2000,3000,67.50%,72.72%,67.50%,67.50%,67.50%,67.46%,63.80%
2022-01-07 15:00:22.209871,6,1000,600,2000,3000,54.50%,69.11%,54.50%,54.50%,54.50%,53.38%,62.25%
2022-01-07 15:00:36.056182,7,1000,600,2000,3000,70.50%,58.75%,70.50%,70.50%,70.50%,69.67%,63.43%
2022-01-07 15:00:43.610897,8,1000,600,2000,3000,53.50%,69.23%,53.50%,53.50%,53.50%,42.02%,62.19%
2022-01-07 15:00:54.698072,9,1000,600,2000,3000,62.50%,64.53%,62.50%,62.50%,62.50%,62.45%,62.22%
2022-01-07 15:01:05.979300,10,1000,600,2000,3000,68.00%,62.66%,68.00%,68.00%,68.00%,67.99%,62.80%
2022-01-07 15:01:13.757066,1,1000,600,3000,4000,53.00%,69.08%,53.00%,53.00%,53.00%,34.64%,53.00%
2022-01-07 15:01:21.974161,2,1000,600,3000,4000,53.00%,69.31%,53.00%,53.00%,53.00%,34.64%,53.00%
2022-01-07 15:01:29.176936,3,1000,600,3000,4000,53.00%,69.09%,53.00%,53.00%,53.00%,34.64%,53.00%
2022-01-07 15:01:36.125513,4,1000,600,3000,4000,53.00%,69.11%,53.00%,53.00%,53.00%,34.64%,53.00%
2022-01-07 15:01:43.804255,5,1000,600,3000,4000,53.00%,69.13%,53.00%,53.00%,53.00%,34.64%,53.00%
2022-01-07 15:01:51.107078,6,1000,600,3000,4000,53.00%,69.06%,53.00%,53.00%,53.00%,34.64%,53.00%
2022-01-07 15:01:58.367219,7,1000,600,3000,4000,53.00%,69.06%,53.00%,53.00%,53.00%,34.64%,53.00%
2022-01-07 15:02:05.642869,8,1000,600,3000,4000,53.00%,69.04%,53.00%,53.00%,53.00%,34.64%,53.00%
2022-01-07 15:02:12.672465,9,1000,600,3000,4000,53.00%,69.14%,53.00%,53.00%,53.00%,34.64%,53.00%
2022-01-07 15:02:29.089253,10,1000,600,3000,4000,73.00%,52.76%,73.00%,73.00%,73.00%,72.99%,55.00%
2022-01-07 15:02:38.215199,1,1000,600,4000,5000,77.50%,48.75%,77.50%,77.50%,77.50%,77.47%,77.50%
2022-01-07 15:02:47.255905,2,1000,600,4000,5000,74.50%,49.35%,74.50%,74.50%,74.50%,74.47%,76.00%
2022-01-07 15:02:55.416392,3,1000,600,4000,5000,72.00%,62.24%,72.00%,72.00%,72.00%,71.52%,74.67%
2022-01-07 15:03:01.636804,4,1000,600,4000,5000,49.00%,68.82%,49.00%,49.00%,49.00%,32.89%,68.25%
2022-01-07 15:03:09.888676,5,1000,600,4000,5000,75.50%,64.10%,75.50%,75.50%,75.50%,75.50%,69.70%
2022-01-07 15:03:18.630349,6,1000,600,4000,5000,77.50%,46.91%,77.50%,77.50%,77.50%,77.50%,71.00%
2022-01-07 15:03:27.333256,7,1000,600,4000,5000,74.50%,50.04%,74.50%,74.50%,74.50%,74.47%,71.50%
2022-01-07 15:03:33.427639,8,1000,600,4000,5000,49.50%,68.94%,49.50%,49.50%,49.50%,34.79%,68.75%
2022-01-07 15:03:41.686513,9,1000,600,4000,5000,75.00%,56.68%,75.00%,75.00%,75.00%,74.69%,69.44%
2022-01-07 15:03:50.196199,10,1000,600,4000,5000,76.00%,57.39%,76.00%,76.00%,76.00%,75.96%,70.10%
2022-01-07 15:03:59.391252,1,1000,600,5000,6000,76.00%,52.86%,76.00%,76.00%,76.00%,75.99%,76.00%
2022-01-07 15:04:08.123234,2,1000,600,5000,6000,75.50%,54.14%,75.50%,75.50%,75.50%,75.28%,75.75%
2022-01-07 15:04:16.595156,3,1000,600,5000,6000,67.50%,64.61%,67.50%,67.50%,67.50%,66.90%,73.00%
2022-01-07 15:04:25.558925,4,1000,600,5000,6000,73.50%,55.22%,73.50%,73.50%,73.50%,73.47%,73.13%
2022-01-07 15:04:33.966656,5,1000,600,5000,6000,73.50%,65.14%,73.50%,73.50%,73.50%,73.48%,73.20%
