date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc,,,,,,,,,,,,,
04:50.3,1,50000,53017,0,50000,85.55%,35.08%,85.55%,85.55%,85.55%,85.55%,85.55%,,,,,,,,,,,,,
05:19.4,2,50000,53017,0,50000,84.56%,35.62%,84.56%,84.56%,84.56%,84.51%,85.05%,,,,,,,,,,,,,
06:12.0,3,50000,53017,0,50000,85.04%,34.25%,85.04%,85.04%,85.04%,85.03%,85.05%,,,,,,,,,,,,,
06:51.2,4,50000,53017,0,50000,85.26%,34.15%,85.26%,85.26%,85.26%,85.26%,85.10%,,,,,,,,,,,,,
07:38.5,5,50000,53017,0,50000,84.83%,34.56%,84.83%,84.83%,84.83%,84.83%,85.05%,,,,,,,,,,,,,
08:15.3,6,50000,53017,0,50000,84.87%,35.55%,84.87%,84.87%,84.87%,84.87%,85.02%,,,,,,,,,,,,,
08:38.0,7,50000,53017,0,50000,81.20%,40.39%,81.20%,81.20%,81.20%,81.02%,84.47%,,,,,,,,,,,,,
09:10.8,8,50000,53017,0,50000,84.53%,35.12%,84.53%,84.53%,84.53%,84.52%,84.48%,,,,,,,,,,,,,
09:43.2,9,50000,53017,0,50000,84.56%,35.06%,84.56%,84.56%,84.56%,84.55%,84.49%,,,,,,,,,,,,,
10:19.3,10,50000,53017,0,50000,85.27%,34.81%,85.27%,85.27%,85.27%,85.26%,84.57%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
