date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-07-04 05:30:29.840087,1,500,531,0,500,62.00%,64.93%,62.00%,62.00%,62.00%,60.42%,62.00%
2022-07-04 05:30:40.672946,2,500,531,0,500,68.00%,61.50%,68.00%,68.00%,68.00%,67.99%,65.00%
2022-07-04 05:30:51.399761,3,500,531,0,500,64.00%,63.20%,64.00%,64.00%,64.00%,64.00%,64.67%
2022-07-04 05:31:02.272791,4,500,531,0,500,68.00%,64.62%,68.00%,68.00%,68.00%,67.68%,65.50%
2022-07-04 05:31:12.961218,5,500,531,0,500,68.00%,60.53%,68.00%,68.00%,68.00%,67.68%,66.00%
2022-07-04 05:31:23.830450,6,500,531,0,500,65.00%,62.40%,65.00%,65.00%,65.00%,64.40%,65.83%
2022-07-04 05:31:34.513917,7,500,531,0,500,69.00%,59.74%,69.00%,69.00%,69.00%,68.29%,66.29%
2022-07-04 05:31:45.380151,8,500,531,0,500,59.00%,63.51%,59.00%,59.00%,59.00%,56.27%,65.37%
2022-07-04 05:31:56.253179,9,500,531,0,500,67.00%,65.16%,67.00%,67.00%,67.00%,66.24%,65.56%
2022-07-04 05:32:06.970442,10,500,531,0,500,57.00%,67.06%,57.00%,57.00%,57.00%,53.62%,64.70%
2022-07-04 05:32:21.322527,1,500,524,500,1000,67.00%,63.41%,67.00%,67.00%,67.00%,66.24%,67.00%
2022-07-04 05:32:26.154364,2,500,524,500,1000,54.00%,68.10%,54.00%,54.00%,54.00%,47.99%,60.50%
2022-07-04 05:32:33.897328,3,500,524,500,1000,70.00%,60.28%,70.00%,70.00%,70.00%,69.95%,63.67%
2022-07-04 05:32:41.452856,4,500,524,500,1000,73.00%,59.74%,73.00%,73.00%,73.00%,72.54%,66.00%
2022-07-04 05:32:49.388228,5,500,524,500,1000,70.00%,63.62%,70.00%,70.00%,70.00%,69.00%,66.80%
2022-07-04 05:32:56.881683,6,500,524,500,1000,72.00%,61.02%,72.00%,72.00%,72.00%,71.59%,67.67%
2022-07-04 05:33:04.462219,7,500,524,500,1000,62.00%,63.43%,62.00%,62.00%,62.00%,57.03%,66.86%
2022-07-04 05:33:12.244202,8,500,524,500,1000,64.00%,64.14%,64.00%,64.00%,64.00%,63.77%,66.50%
2022-07-04 05:33:19.794096,9,500,524,500,1000,67.00%,62.31%,67.00%,67.00%,67.00%,66.43%,66.56%
2022-07-04 05:33:27.431158,10,500,524,500,1000,66.00%,64.86%,66.00%,66.00%,66.00%,65.11%,66.50%
2022-07-04 05:33:38.625019,1,500,524,1000,1500,59.00%,64.11%,59.00%,59.00%,59.00%,52.50%,59.00%
2022-07-04 05:33:43.804986,2,500,524,1000,1500,72.00%,59.14%,72.00%,72.00%,72.00%,71.59%,65.50%
2022-07-04 05:33:48.700039,3,500,524,1000,1500,70.00%,61.34%,70.00%,70.00%,70.00%,69.21%,67.00%
2022-07-04 05:33:53.758623,4,500,524,1000,1500,66.00%,61.31%,66.00%,66.00%,66.00%,62.64%,66.75%
2022-07-04 05:33:58.638808,5,500,524,1000,1500,66.00%,62.02%,66.00%,66.00%,66.00%,63.11%,66.60%
