date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-08-06 11:38:28.002471,1,500,532,0,500,64.00%,65.05%,64.00%,64.00%,64.00%,63.47%,64.00%
2022-08-06 11:38:34.503930,2,500,532,0,500,54.00%,69.47%,54.00%,54.00%,54.00%,51.19%,59.00%
2022-08-06 11:38:45.700336,3,500,532,0,500,62.00%,62.87%,62.00%,62.00%,62.00%,61.44%,60.00%
2022-08-06 11:38:57.136201,4,500,532,0,500,63.00%,63.81%,63.00%,63.00%,63.00%,62.97%,60.75%
2022-08-06 11:39:08.275089,5,500,532,0,500,61.00%,64.07%,61.00%,61.00%,61.00%,60.10%,60.80%
2022-08-06 11:39:19.591608,6,500,532,0,500,70.00%,61.96%,70.00%,70.00%,70.00%,69.70%,62.33%
2022-08-06 11:39:30.723676,7,500,532,0,500,65.00%,64.90%,65.00%,65.00%,65.00%,64.83%,62.71%
2022-08-06 11:39:41.794661,8,500,532,0,500,63.00%,65.92%,63.00%,63.00%,63.00%,61.29%,62.75%
2022-08-06 11:39:53.144391,9,500,532,0,500,68.00%,62.84%,68.00%,68.00%,68.00%,67.95%,63.33%
2022-08-06 11:40:04.274706,10,500,532,0,500,65.00%,61.87%,65.00%,65.00%,65.00%,64.19%,63.50%
2022-08-06 11:40:18.759825,1,500,554,500,1000,65.00%,60.23%,65.00%,65.00%,65.00%,62.25%,65.00%
2022-08-06 11:40:26.634312,2,500,554,500,1000,75.00%,58.08%,75.00%,75.00%,75.00%,74.42%,70.00%
2022-08-06 11:40:34.589015,3,500,554,500,1000,74.00%,61.85%,74.00%,74.00%,74.00%,71.79%,71.33%
2022-08-06 11:40:42.531623,4,500,554,500,1000,74.00%,58.51%,74.00%,74.00%,74.00%,73.96%,72.00%
2022-08-06 11:40:50.719253,5,500,554,500,1000,72.00%,59.91%,72.00%,72.00%,72.00%,71.72%,72.00%
2022-08-06 11:40:58.636264,6,500,554,500,1000,71.00%,58.04%,71.00%,71.00%,71.00%,70.64%,71.83%
2022-08-06 11:41:06.623430,7,500,554,500,1000,73.00%,58.34%,73.00%,73.00%,73.00%,71.20%,72.00%
2022-08-06 11:41:14.715058,8,500,554,500,1000,70.00%,58.89%,70.00%,70.00%,70.00%,68.17%,71.75%
2022-08-06 11:41:22.596532,9,500,554,500,1000,71.00%,57.73%,71.00%,71.00%,71.00%,70.97%,71.67%
2022-08-06 11:41:30.706386,10,500,554,500,1000,74.00%,58.80%,74.00%,74.00%,74.00%,73.83%,71.90%
2022-08-06 11:41:42.273320,1,500,551,1000,1500,71.00%,59.08%,71.00%,71.00%,71.00%,70.97%,71.00%
2022-08-06 11:41:47.385857,2,500,551,1000,1500,78.00%,58.81%,78.00%,78.00%,78.00%,77.86%,74.50%
2022-08-06 11:41:52.243112,3,500,551,1000,1500,74.00%,59.64%,74.00%,74.00%,74.00%,72.68%,74.33%
2022-08-06 11:41:57.351241,4,500,551,1000,1500,73.00%,59.30%,73.00%,73.00%,73.00%,72.78%,74.00%
2022-08-06 11:42:02.424862,5,500,551,1000,1500,69.00%,60.42%,69.00%,69.00%,69.00%,66.93%,73.00%
2022-08-06 11:42:07.353774,6,500,551,1000,1500,76.00%,58.77%,76.00%,76.00%,76.00%,75.00%,73.50%
2022-08-06 11:42:12.491807,7,500,551,1000,1500,76.00%,57.87%,76.00%,76.00%,76.00%,76.00%,73.86%
2022-08-06 11:42:15.300975,8,500,551,1000,1500,56.00%,69.01%,56.00%,56.00%,56.00%,55.56%,71.62%
2022-08-06 11:42:20.475357,9,500,551,1000,1500,75.00%,56.01%,75.00%,75.00%,75.00%,74.94%,72.00%
2022-08-06 11:42:25.494115,10,500,551,1000,1500,69.00%,60.57%,69.00%,69.00%,69.00%,68.29%,71.70%
2022-08-06 11:42:37.287698,1,500,550,1500,2000,68.00%,60.71%,68.00%,68.00%,68.00%,64.84%,68.00%
2022-08-06 11:42:42.307886,2,500,550,1500,2000,68.00%,61.27%,68.00%,68.00%,68.00%,65.28%,68.00%
2022-08-06 11:42:45.857100,3,500,550,1500,2000,65.00%,66.85%,65.00%,65.00%,65.00%,64.57%,67.00%
2022-08-06 11:42:51.068979,4,500,550,1500,2000,71.00%,59.79%,71.00%,71.00%,71.00%,70.76%,68.00%
2022-08-06 11:42:56.293995,5,500,550,1500,2000,69.00%,58.65%,69.00%,69.00%,69.00%,67.27%,68.20%
2022-08-06 11:43:01.484655,6,500,550,1500,2000,75.00%,59.09%,75.00%,75.00%,75.00%,74.42%,69.33%
2022-08-06 11:43:06.832375,7,500,550,1500,2000,71.00%,58.56%,71.00%,71.00%,71.00%,69.66%,69.57%
2022-08-06 11:43:12.019370,8,500,550,1500,2000,71.00%,59.94%,71.00%,71.00%,71.00%,70.93%,69.75%
2022-08-06 11:43:17.075669,9,500,550,1500,2000,70.00%,59.47%,70.00%,70.00%,70.00%,69.40%,69.78%
2022-08-06 11:43:22.171105,10,500,550,1500,2000,72.00%,58.19%,72.00%,72.00%,72.00%,71.72%,70.00%
2022-08-06 11:43:32.440383,1,500,547,2000,2500,55.00%,67.21%,55.00%,55.00%,55.00%,46.93%,55.00%
2022-08-06 11:43:37.568937,2,500,547,2000,2500,70.00%,64.39%,70.00%,70.00%,70.00%,67.03%,62.50%
2022-08-06 11:43:42.956253,3,500,547,2000,2500,64.00%,64.66%,64.00%,64.00%,64.00%,61.80%,63.00%
