date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc,,,,,,,,,,,,,
44:30.6,1,50000,30000,0,50000,86.21%,32.42%,86.21%,86.21%,86.21%,86.19%,86.21%,,,,,,,,,,,,,
45:25.2,2,50000,30000,0,50000,86.76%,31.93%,86.76%,86.76%,86.76%,86.75%,86.49%,,,,,,,,,,,,,
46:09.6,3,50000,30000,0,50000,86.02%,33.06%,86.02%,86.02%,86.02%,86.01%,86.33%,,,,,,,,,,,,,
46:54.3,4,50000,30000,0,50000,86.73%,31.86%,86.73%,86.73%,86.73%,86.72%,86.43%,,,,,,,,,,,,,
47:33.7,5,50000,30000,0,50000,85.92%,32.34%,85.92%,85.92%,85.92%,85.91%,86.33%,,,,,,,,,,,,,
48:26.1,6,50000,30000,0,50000,86.87%,31.54%,86.87%,86.87%,86.87%,86.87%,86.42%,,,,,,,,,,,,,
49:10.8,7,50000,30000,0,50000,86.91%,31.33%,86.91%,86.91%,86.91%,86.91%,86.49%,,,,,,,,,,,,,
50:00.2,8,50000,30000,0,50000,86.72%,31.69%,86.72%,86.72%,86.72%,86.71%,86.52%,,,,,,,,,,,,,
50:43.2,9,50000,30000,0,50000,85.36%,34.97%,85.36%,85.36%,85.36%,85.28%,86.39%,,,,,,,,,,,,,
51:48.0,10,50000,30000,0,50000,87.38%,31.85%,87.38%,87.38%,87.38%,87.38%,86.49%,,,,,,,,,,,,,
56:08.0,1,5000,30000,0,5000,86.92%,31.58%,86.92%,86.92%,86.92%,86.91%,86.92%,,,,,,,,,,,,,
56:52.1,2,5000,30000,0,5000,87.15%,30.76%,87.15%,87.15%,87.15%,87.15%,87.04%,,,,,,,,,,,,,
57:31.5,3,5000,30000,0,5000,87.12%,31.23%,87.12%,87.12%,87.12%,87.12%,87.06%,,,,,,,,,,,,,
58:14.5,4,5000,30000,0,5000,87.38%,30.80%,87.38%,87.38%,87.38%,87.38%,87.14%,,,,,,,,,,,,,
58:49.2,5,5000,30000,0,5000,86.56%,32.02%,86.56%,86.56%,86.56%,86.55%,87.03%,,,,,,,,,,,,,
59:26.8,6,5000,30000,0,5000,86.44%,31.38%,86.44%,86.44%,86.44%,86.44%,86.93%,,,,,,,,,,,,,
59:48.6,7,5000,30000,0,5000,82.94%,37.41%,82.94%,82.94%,82.94%,82.91%,86.36%,,,,,,,,,,,,,
00:15.0,8,5000,30000,0,5000,85.32%,33.86%,85.32%,85.32%,85.32%,85.30%,86.23%,,,,,,,,,,,,,
00:49.9,9,5000,30000,0,5000,84.98%,34.65%,84.98%,84.98%,84.98%,84.95%,86.09%,,,,,,,,,,,,,
01:26.1,10,5000,30000,0,5000,86.88%,31.52%,86.88%,86.88%,86.88%,86.87%,86.17%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
