date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
33:53.5,1,500,300,0,500,53.00%,67.19%,53.00%,53.00%,53.00%,47.26%,53.00%
34:01.7,2,500,300,0,500,62.00%,66.22%,62.00%,62.00%,62.00%,61.24%,57.50%
34:09.8,3,500,300,0,500,52.00%,68.22%,52.00%,52.00%,52.00%,47.25%,55.67%
34:15.3,4,500,300,0,500,59.00%,68.31%,59.00%,59.00%,59.00%,58.06%,56.50%
34:23.1,5,500,300,0,500,60.00%,67.87%,60.00%,60.00%,60.00%,59.98%,57.20%
34:31.1,6,500,300,0,500,71.00%,64.32%,71.00%,71.00%,71.00%,70.76%,59.50%
34:38.9,7,500,300,0,500,58.00%,66.00%,58.00%,58.00%,58.00%,56.25%,59.29%
34:46.7,8,500,300,0,500,60.00%,66.95%,60.00%,60.00%,60.00%,57.56%,59.37%
34:54.5,9,500,300,0,500,63.00%,67.55%,63.00%,63.00%,63.00%,61.29%,59.78%
35:02.3,10,500,300,0,500,54.00%,67.59%,54.00%,54.00%,54.00%,47.99%,59.20%
35:14.8,1,500,300,500,1000,69.00%,61.54%,69.00%,69.00%,69.00%,68.47%,69.00%
35:20.4,2,500,300,500,1000,53.00%,68.73%,53.00%,53.00%,53.00%,52.42%,61.00%
35:26.6,3,500,300,500,1000,75.00%,65.72%,75.00%,75.00%,75.00%,73.85%,65.67%
35:32.6,4,500,300,500,1000,66.00%,64.66%,66.00%,66.00%,66.00%,63.92%,65.75%
35:37.9,5,500,300,500,1000,64.00%,65.70%,64.00%,64.00%,64.00%,59.89%,65.40%
35:44.0,6,500,300,500,1000,68.00%,63.90%,68.00%,68.00%,68.00%,63.82%,65.83%
35:50.0,7,500,300,500,1000,58.00%,65.25%,58.00%,58.00%,58.00%,45.43%,64.71%
35:56.1,8,500,300,500,1000,65.00%,65.77%,65.00%,65.00%,65.00%,64.97%,64.75%
36:02.2,9,500,300,500,1000,59.00%,63.20%,59.00%,59.00%,59.00%,51.65%,64.11%
36:08.1,10,500,300,500,1000,60.00%,66.30%,60.00%,60.00%,60.00%,54.77%,63.70%
36:18.8,1,500,300,1000,1500,57.00%,65.99%,57.00%,57.00%,57.00%,53.05%,57.00%
36:23.4,2,500,300,1000,1500,66.00%,64.27%,66.00%,66.00%,66.00%,65.50%,61.50%
36:27.7,3,500,300,1000,1500,63.00%,65.34%,63.00%,63.00%,63.00%,62.36%,62.00%
36:32.4,4,500,300,1000,1500,70.00%,64.30%,70.00%,70.00%,70.00%,69.56%,64.00%
36:36.8,5,500,300,1000,1500,54.00%,67.81%,54.00%,54.00%,54.00%,44.15%,62.00%
36:41.1,6,500,300,1000,1500,69.00%,65.62%,69.00%,69.00%,69.00%,68.62%,63.17%
36:45.7,7,500,300,1000,1500,62.00%,64.86%,62.00%,62.00%,62.00%,60.42%,63.00%
36:49.9,8,500,300,1000,1500,68.00%,65.16%,68.00%,68.00%,68.00%,67.68%,63.63%
36:54.4,9,500,300,1000,1500,64.00%,66.10%,64.00%,64.00%,64.00%,62.17%,63.67%
36:58.8,10,500,300,1000,1500,63.00%,65.88%,63.00%,63.00%,63.00%,62.97%,63.60%
37:09.8,1,500,300,1500,2000,69.00%,65.66%,69.00%,69.00%,69.00%,67.57%,69.00%
37:14.4,2,500,300,1500,2000,65.00%,64.52%,65.00%,65.00%,65.00%,62.25%,67.00%
37:18.8,3,500,300,1500,2000,70.00%,65.50%,70.00%,70.00%,70.00%,69.99%,68.00%
37:23.6,4,500,300,1500,2000,65.00%,64.79%,65.00%,65.00%,65.00%,63.05%,67.25%
37:28.0,5,500,300,1500,2000,62.00%,65.11%,62.00%,62.00%,62.00%,57.03%,66.20%
37:32.6,6,500,300,1500,2000,55.00%,67.12%,55.00%,55.00%,55.00%,44.79%,64.33%
37:37.1,7,500,300,1500,2000,69.00%,64.05%,69.00%,69.00%,69.00%,68.62%,65.00%
