date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-08-24 01:02:03.647926,1,500,545,0,500,62.00%,64.56%,62.00%,62.00%,62.00%,60.42%,62.00%
2022-08-24 01:02:15.003692,2,500,545,0,500,66.00%,62.06%,66.00%,66.00%,66.00%,65.32%,64.00%
2022-08-24 01:02:26.018973,3,500,545,0,500,63.00%,62.14%,63.00%,63.00%,63.00%,62.36%,63.67%
2022-08-24 01:02:37.435978,4,500,545,0,500,58.00%,64.44%,58.00%,58.00%,58.00%,55.43%,62.25%
2022-08-24 01:02:48.546883,5,500,545,0,500,68.00%,61.77%,68.00%,68.00%,68.00%,67.68%,63.40%
2022-08-24 01:02:59.873455,6,500,545,0,500,62.00%,63.92%,62.00%,62.00%,62.00%,61.62%,63.17%
2022-08-24 01:03:10.936388,7,500,545,0,500,67.00%,62.21%,67.00%,67.00%,67.00%,66.43%,63.71%
2022-08-24 01:03:22.299549,8,500,545,0,500,70.00%,61.85%,70.00%,70.00%,70.00%,69.89%,64.50%
2022-08-24 01:03:33.304190,9,500,545,0,500,66.00%,61.67%,66.00%,66.00%,66.00%,65.78%,64.67%
2022-08-24 01:03:44.302416,10,500,545,0,500,69.00%,64.13%,69.00%,69.00%,69.00%,68.85%,65.10%
2022-08-24 01:03:58.965672,1,500,540,500,1000,71.00%,58.58%,71.00%,71.00%,71.00%,69.07%,71.00%
2022-08-24 01:04:06.771493,2,500,540,500,1000,67.00%,61.50%,67.00%,67.00%,67.00%,66.97%,69.00%
2022-08-24 01:04:14.853888,3,500,540,500,1000,68.00%,60.16%,68.00%,68.00%,68.00%,64.84%,68.67%
2022-08-24 01:04:22.639433,4,500,540,500,1000,68.00%,60.87%,68.00%,68.00%,68.00%,64.35%,68.50%
2022-08-24 01:04:30.804179,5,500,540,500,1000,74.00%,59.95%,74.00%,74.00%,74.00%,72.92%,69.60%
2022-08-24 01:04:38.709181,6,500,540,500,1000,80.00%,57.32%,80.00%,80.00%,80.00%,80.00%,71.33%
2022-08-24 01:04:46.432644,7,500,540,500,1000,74.00%,58.35%,74.00%,74.00%,74.00%,72.68%,71.71%
2022-08-24 01:04:54.439138,8,500,540,500,1000,72.00%,58.82%,72.00%,72.00%,72.00%,71.96%,71.75%
2022-08-24 01:05:02.180592,9,500,540,500,1000,71.00%,58.11%,71.00%,71.00%,71.00%,68.34%,71.67%
2022-08-24 01:05:10.074576,10,500,540,500,1000,75.00%,58.39%,75.00%,75.00%,75.00%,74.80%,72.00%
2022-08-24 01:05:21.572653,1,500,545,1000,1500,76.00%,57.80%,76.00%,76.00%,76.00%,75.96%,76.00%
2022-08-24 01:05:26.710361,2,500,545,1000,1500,76.00%,54.82%,76.00%,76.00%,76.00%,75.65%,76.00%
2022-08-24 01:05:31.689911,3,500,545,1000,1500,68.00%,60.32%,68.00%,68.00%,68.00%,67.53%,73.33%
2022-08-24 01:05:36.827054,4,500,545,1000,1500,73.00%,57.74%,73.00%,73.00%,73.00%,71.75%,73.25%
