date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
04:50.3,1,50000,53017,0,50000,85.55%,35.08%,85.55%,85.55%,85.55%,85.55%,85.55%
05:19.4,2,50000,53017,0,50000,84.56%,35.62%,84.56%,84.56%,84.56%,84.51%,85.05%
06:12.0,3,50000,53017,0,50000,85.04%,34.25%,85.04%,85.04%,85.04%,85.03%,85.05%
06:51.2,4,50000,53017,0,50000,85.26%,34.15%,85.26%,85.26%,85.26%,85.26%,85.10%
07:38.5,5,50000,53017,0,50000,84.83%,34.56%,84.83%,84.83%,84.83%,84.83%,85.05%
08:15.3,6,50000,53017,0,50000,84.87%,35.55%,84.87%,84.87%,84.87%,84.87%,85.02%
08:38.0,7,50000,53017,0,50000,81.20%,40.39%,81.20%,81.20%,81.20%,81.02%,84.47%
09:10.8,8,50000,53017,0,50000,84.53%,35.12%,84.53%,84.53%,84.53%,84.52%,84.48%
09:43.2,9,50000,53017,0,50000,84.56%,35.06%,84.56%,84.56%,84.56%,84.55%,84.49%
10:19.3,10,50000,53017,0,50000,85.27%,34.81%,85.27%,85.27%,85.27%,85.26%,84.57%
52:25.8,1,5000,5297,0,5000,75.00%,51.81%,75.00%,75.00%,75.00%,74.77%,75.00%
52:38.8,2,5000,5297,0,5000,74.20%,52.68%,74.20%,74.20%,74.20%,74.20%,74.60%
52:51.6,3,5000,5297,0,5000,75.60%,49.91%,75.60%,75.60%,75.60%,75.59%,74.93%
53:03.7,4,5000,5297,0,5000,75.50%,51.95%,75.50%,75.50%,75.50%,75.50%,75.07%
53:14.8,5,5000,5297,0,5000,73.60%,52.93%,73.60%,73.60%,73.60%,73.53%,74.78%
53:24.6,6,5000,5297,0,5000,74.30%,52.97%,74.30%,74.30%,74.30%,74.18%,74.70%
53:36.6,7,5000,5297,0,5000,74.90%,49.74%,74.90%,74.90%,74.90%,74.85%,74.73%
53:46.9,8,5000,5297,0,5000,72.60%,53.23%,72.60%,72.60%,72.60%,72.60%,74.46%
53:59.7,9,5000,5297,0,5000,74.80%,50.58%,74.80%,74.80%,74.80%,74.69%,74.50%
54:10.6,10,5000,5297,0,5000,73.90%,52.02%,73.90%,73.90%,73.90%,73.90%,74.44%
54:25.7,1,5000,5304,5000,10000,77.00%,49.03%,77.00%,77.00%,77.00%,77.00%,77.00%
54:38.9,2,5000,5304,5000,10000,76.00%,50.50%,76.00%,76.00%,76.00%,75.98%,76.50%
54:52.4,3,5000,5304,5000,10000,76.80%,49.71%,76.80%,76.80%,76.80%,76.79%,76.60%
55:03.6,4,5000,5304,5000,10000,75.10%,51.57%,75.10%,75.10%,75.10%,75.00%,76.22%
55:16.4,5,5000,5304,5000,10000,76.00%,50.52%,76.00%,76.00%,76.00%,75.99%,76.18%
55:25.8,6,5000,5304,5000,10000,72.80%,53.74%,72.80%,72.80%,72.80%,72.51%,75.62%
55:39.8,7,5000,5304,5000,10000,74.80%,53.10%,74.80%,74.80%,74.80%,74.65%,75.50%
55:54.1,8,5000,5304,5000,10000,77.10%,51.14%,77.10%,77.10%,77.10%,77.10%,75.70%
56:06.7,9,5000,5304,5000,10000,75.20%,49.64%,75.20%,75.20%,75.20%,75.20%,75.64%
56:18.7,10,5000,5304,5000,10000,77.30%,49.41%,77.30%,77.30%,77.30%,77.23%,75.81%
56:34.5,1,5000,5277,10000,15000,79.80%,44.22%,79.80%,79.80%,79.80%,79.72%,79.80%
56:49.6,2,5000,5277,10000,15000,80.80%,41.41%,80.80%,80.80%,80.80%,80.80%,80.30%
57:03.9,3,5000,5277,10000,15000,81.60%,41.61%,81.60%,81.60%,81.60%,81.59%,80.73%
57:19.7,4,5000,5277,10000,15000,82.80%,40.38%,82.80%,82.80%,82.80%,82.80%,81.25%
57:35.4,5,5000,5277,10000,15000,83.00%,40.00%,83.00%,83.00%,83.00%,83.00%,81.60%
