date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
56:34.0,1,500,545,0,500,88.00%,33.71%,88.00%,88.00%,88.00%,87.88%,88.00%
02:16.6,2,500,545,0,500,58.00%,67.65%,58.00%,58.00%,58.00%,54.95%,73.00%
08:03.3,3,500,545,0,500,78.00%,69.74%,78.00%,78.00%,78.00%,76.66%,74.67%
13:45.8,4,500,545,0,500,82.00%,47.23%,82.00%,82.00%,82.00%,81.99%,76.50%
19:31.1,5,500,545,0,500,75.00%,44.78%,75.00%,75.00%,75.00%,73.85%,76.20%
25:16.1,1,500,540,500,1000,88.00%,27.71%,88.00%,88.00%,88.00%,87.88%,88.00%
30:58.7,2,500,540,500,1000,90.00%,30.83%,90.00%,90.00%,90.00%,89.98%,89.00%
36:42.4,3,500,540,500,1000,85.00%,42.73%,85.00%,85.00%,85.00%,84.96%,87.67%
42:25.8,4,500,540,500,1000,86.00%,34.93%,86.00%,86.00%,86.00%,85.72%,87.25%
48:08.7,5,500,540,500,1000,88.00%,27.92%,88.00%,88.00%,88.00%,87.88%,87.40%
53:54.7,1,500,545,1000,1500,84.00%,48.67%,84.00%,84.00%,84.00%,83.94%,84.00%
59:41.0,2,500,545,1000,1500,87.00%,41.75%,87.00%,87.00%,87.00%,86.94%,85.50%
05:23.1,3,500,545,1000,1500,85.00%,28.22%,85.00%,85.00%,85.00%,84.96%,85.33%
11:00.6,4,500,545,1000,1500,87.00%,29.19%,87.00%,87.00%,87.00%,86.97%,85.75%
16:36.5,5,500,545,1000,1500,88.00%,37.02%,88.00%,88.00%,88.00%,88.00%,86.20%
22:17.9,1,500,541,1500,2000,81.00%,50.02%,81.00%,81.00%,81.00%,80.91%,81.00%
27:53.3,2,500,541,1500,2000,81.00%,43.81%,81.00%,81.00%,81.00%,80.77%,81.00%
33:28.5,3,500,541,1500,2000,80.00%,53.93%,80.00%,80.00%,80.00%,78.78%,80.67%
39:05.7,4,500,541,1500,2000,86.00%,34.78%,86.00%,86.00%,86.00%,86.00%,82.00%
44:41.7,5,500,541,1500,2000,86.00%,33.42%,86.00%,86.00%,86.00%,85.95%,82.80%
50:13.0,1,500,526,2000,2500,87.00%,29.98%,87.00%,87.00%,87.00%,86.94%,87.00%
55:41.4,2,500,526,2000,2500,78.00%,42.60%,78.00%,78.00%,78.00%,77.08%,82.50%
01:08.0,3,500,526,2000,2500,84.00%,27.28%,84.00%,84.00%,84.00%,83.97%,83.00%
06:35.5,4,500,526,2000,2500,73.00%,59.52%,73.00%,73.00%,73.00%,71.49%,80.50%
12:03.4,5,500,526,2000,2500,85.00%,31.60%,85.00%,85.00%,85.00%,84.93%,81.40%
17:42.8,1,500,538,2500,3000,81.00%,50.16%,81.00%,81.00%,81.00%,80.67%,81.00%
23:15.8,2,500,538,2500,3000,76.00%,97.63%,76.00%,76.00%,76.00%,74.26%,78.50%
28:48.9,3,500,538,2500,3000,76.00%,50.47%,76.00%,76.00%,76.00%,75.99%,77.67%
34:21.8,4,500,538,2500,3000,78.00%,63.12%,78.00%,78.00%,78.00%,77.92%,77.75%
39:55.1,5,500,538,2500,3000,80.00%,44.95%,80.00%,80.00%,80.00%,79.80%,78.20%
45:35.7,1,500,542,3000,3500,81.00%,50.84%,81.00%,81.00%,81.00%,80.77%,81.00%
51:12.5,2,500,542,3000,3500,82.00%,47.05%,82.00%,82.00%,82.00%,81.93%,81.50%
56:47.3,3,500,542,3000,3500,88.00%,34.48%,88.00%,88.00%,88.00%,88.00%,83.67%
02:21.4,4,500,542,3000,3500,85.00%,32.15%,85.00%,85.00%,85.00%,84.96%,84.00%
07:57.6,5,500,542,3000,3500,76.00%,44.50%,76.00%,76.00%,76.00%,75.00%,82.40%
13:40.5,1,500,550,3500,4000,88.00%,33.18%,88.00%,88.00%,88.00%,87.13%,88.00%
19:21.0,2,500,550,3500,4000,88.00%,38.45%,88.00%,88.00%,88.00%,87.68%,88.00%
25:00.7,3,500,550,3500,4000,88.00%,34.85%,88.00%,88.00%,88.00%,86.98%,88.00%
30:40.0,4,500,550,3500,4000,81.00%,48.27%,81.00%,81.00%,81.00%,80.91%,86.25%
36:19.0,5,500,550,3500,4000,88.00%,27.21%,88.00%,88.00%,88.00%,87.60%,86.60%
42:03.2,1,500,550,4000,4500,83.00%,44.27%,83.00%,83.00%,83.00%,82.49%,83.00%
47:40.6,2,500,550,4000,4500,83.00%,41.86%,83.00%,83.00%,83.00%,82.79%,83.00%
53:19.3,3,500,550,4000,4500,83.00%,39.21%,83.00%,83.00%,83.00%,82.86%,83.00%
