date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
27:10.6,1,500,531,0,500,73.00%,53.74%,73.00%,73.00%,73.00%,72.78%,73.00%
34:26.9,2,500,531,0,500,81.00%,45.32%,81.00%,81.00%,81.00%,81.00%,77.00%
41:40.4,3,500,531,0,500,79.00%,53.31%,79.00%,79.00%,79.00%,78.98%,77.67%
48:56.7,4,500,531,0,500,86.00%,45.42%,86.00%,86.00%,86.00%,85.63%,79.75%
56:16.8,5,500,531,0,500,80.00%,39.79%,80.00%,80.00%,80.00%,79.97%,79.80%
03:29.6,1,500,524,500,1000,84.00%,49.68%,84.00%,84.00%,84.00%,83.58%,84.00%
10:40.2,2,500,524,500,1000,91.00%,41.99%,91.00%,91.00%,91.00%,90.96%,87.50%
17:51.2,3,500,524,500,1000,90.00%,28.02%,90.00%,90.00%,90.00%,90.00%,88.33%
25:00.9,4,500,524,500,1000,81.00%,53.78%,81.00%,81.00%,81.00%,80.43%,86.50%
32:15.0,5,500,524,500,1000,79.00%,57.59%,79.00%,79.00%,79.00%,78.52%,85.00%
39:32.7,1,500,524,1000,1500,87.00%,28.79%,87.00%,87.00%,87.00%,86.99%,87.00%
46:43.5,2,500,524,1000,1500,50.00%,74.07%,50.00%,50.00%,50.00%,35.03%,68.50%
53:57.4,3,500,524,1000,1500,83.00%,43.39%,83.00%,83.00%,83.00%,82.92%,73.33%
01:06.7,4,500,524,1000,1500,84.00%,29.24%,84.00%,84.00%,84.00%,83.77%,76.00%
08:16.1,5,500,524,1000,1500,86.00%,26.83%,86.00%,86.00%,86.00%,85.99%,78.00%
15:44.4,1,500,539,1500,2000,88.00%,31.12%,88.00%,88.00%,88.00%,87.76%,88.00%
23:05.9,2,500,539,1500,2000,85.00%,33.32%,85.00%,85.00%,85.00%,84.99%,86.50%
30:26.3,3,500,539,1500,2000,89.00%,25.64%,89.00%,89.00%,89.00%,88.99%,87.33%
37:45.7,4,500,539,1500,2000,83.00%,37.35%,83.00%,83.00%,83.00%,82.92%,86.25%
45:06.8,5,500,539,1500,2000,87.00%,38.04%,87.00%,87.00%,87.00%,86.61%,86.40%
52:21.6,1,500,525,2000,2500,83.00%,53.80%,83.00%,83.00%,83.00%,82.49%,83.00%
59:32.6,2,500,525,2000,2500,82.00%,62.20%,82.00%,82.00%,82.00%,81.40%,82.50%
06:50.2,3,500,525,2000,2500,85.00%,33.98%,85.00%,85.00%,85.00%,84.82%,83.33%
14:03.9,4,500,525,2000,2500,85.00%,34.74%,85.00%,85.00%,85.00%,84.99%,83.75%
21:14.8,5,500,525,2000,2500,84.00%,45.13%,84.00%,84.00%,84.00%,83.77%,83.80%
28:39.0,1,500,539,2500,3000,83.00%,50.16%,83.00%,83.00%,83.00%,82.92%,83.00%
36:00.9,2,500,539,2500,3000,76.00%,55.16%,76.00%,76.00%,76.00%,74.26%,79.50%
43:21.6,3,500,539,2500,3000,79.00%,63.52%,79.00%,79.00%,79.00%,78.52%,79.33%
