date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-08-22 15:29:32.824253,1,500,545,0,500,60.00%,63.42%,60.00%,60.00%,60.00%,58.33%,60.00%
2022-08-22 15:30:33.504866,2,500,545,0,500,65.00%,63.96%,65.00%,65.00%,65.00%,64.83%,62.50%
2022-08-22 15:31:46.822588,3,500,545,0,500,64.00%,64.20%,64.00%,64.00%,64.00%,63.28%,63.00%
2022-08-22 15:32:56.118218,4,500,545,0,500,66.00%,64.08%,66.00%,66.00%,66.00%,65.99%,63.75%
2022-08-22 15:34:02.331307,5,500,545,0,500,61.00%,63.69%,61.00%,61.00%,61.00%,60.33%,63.20%
2022-08-22 15:35:14.646495,6,500,545,0,500,64.00%,64.91%,64.00%,64.00%,64.00%,63.05%,63.33%
2022-08-22 15:36:20.232139,7,500,545,0,500,63.00%,63.83%,63.00%,63.00%,63.00%,62.55%,63.29%
2022-08-22 15:37:25.750386,8,500,545,0,500,63.00%,63.73%,63.00%,63.00%,63.00%,63.00%,63.25%
2022-08-22 15:38:30.932729,9,500,545,0,500,66.00%,62.80%,66.00%,66.00%,66.00%,65.66%,63.56%
2022-08-22 15:39:43.121757,10,500,545,0,500,67.00%,62.80%,67.00%,67.00%,67.00%,66.92%,63.90%
2022-08-22 15:40:33.114713,1,500,540,500,1000,71.00%,59.61%,71.00%,71.00%,71.00%,70.33%,71.00%
2022-08-22 15:41:16.633637,2,500,540,500,1000,71.00%,54.72%,71.00%,71.00%,71.00%,70.33%,71.00%
2022-08-22 15:41:59.673095,3,500,540,500,1000,79.00%,50.58%,79.00%,79.00%,79.00%,78.52%,73.67%
2022-08-22 15:42:43.023096,4,500,540,500,1000,74.00%,51.62%,74.00%,74.00%,74.00%,73.96%,73.75%
2022-08-22 15:43:27.213608,5,500,540,500,1000,79.00%,50.95%,79.00%,79.00%,79.00%,78.83%,74.80%
2022-08-22 15:44:10.427065,6,500,540,500,1000,74.00%,52.72%,74.00%,74.00%,74.00%,73.13%,74.67%
