date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
57:18.3,1,2000,1200,0,2000,71.00%,53.68%,71.00%,71.00%,71.00%,70.33%,71.00%
57:29.1,2,2000,1200,0,2000,76.50%,65.18%,76.50%,76.50%,76.50%,76.37%,73.75%
57:39.9,3,2000,1200,0,2000,73.75%,50.82%,73.75%,73.75%,73.75%,72.99%,73.75%
57:51.4,4,2000,1200,0,2000,67.75%,57.90%,67.75%,67.75%,67.75%,67.37%,72.25%
58:02.9,5,2000,1200,0,2000,80.00%,42.96%,80.00%,80.00%,80.00%,79.99%,73.80%
58:14.7,6,2000,1200,0,2000,83.00%,41.03%,83.00%,83.00%,83.00%,82.94%,75.33%
58:25.3,7,2000,1200,0,2000,72.50%,53.26%,72.50%,72.50%,72.50%,71.29%,74.93%
58:35.4,8,2000,1200,0,2000,79.25%,51.89%,79.25%,79.25%,79.25%,79.23%,75.47%
58:44.4,9,2000,1200,0,2000,51.00%,68.53%,51.00%,51.00%,51.00%,35.93%,72.75%
58:56.8,10,2000,1200,0,2000,72.50%,51.62%,72.50%,72.50%,72.50%,71.82%,72.73%
03:01.2,1,2000,1200,2000,4000,74.25%,63.89%,74.25%,74.25%,74.25%,74.22%,74.25%
03:16.8,2,2000,1200,2000,4000,73.75%,53.80%,73.75%,73.75%,73.75%,73.52%,74.00%
03:32.2,3,2000,1200,2000,4000,70.25%,60.50%,70.25%,70.25%,70.25%,69.87%,72.75%
03:47.9,4,2000,1200,2000,4000,66.00%,59.79%,66.00%,66.00%,66.00%,66.00%,71.06%
04:04.4,5,2000,1200,2000,4000,73.75%,53.14%,73.75%,73.75%,73.75%,73.70%,71.60%
04:12.2,6,2000,1200,2000,4000,51.50%,69.32%,51.50%,51.50%,51.50%,51.29%,68.25%
04:21.3,7,2000,1200,2000,4000,49.50%,69.63%,49.50%,49.50%,49.50%,33.11%,65.57%
04:37.2,8,2000,1200,2000,4000,72.75%,58.79%,72.75%,72.75%,72.75%,72.59%,66.47%
