date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-08-03 03:51:58.144571,1,500,300,0,500,66.00%,63.65%,66.00%,66.00%,66.00%,65.50%,66.00%
2022-08-03 03:52:05.975313,2,500,300,0,500,54.00%,67.61%,54.00%,54.00%,54.00%,51.66%,60.00%
2022-08-03 03:52:13.705703,3,500,300,0,500,56.00%,69.02%,56.00%,56.00%,56.00%,50.98%,58.67%
2022-08-03 03:52:20.614520,4,500,300,0,500,50.00%,70.43%,50.00%,50.00%,50.00%,41.56%,56.50%
2022-08-03 03:52:28.187384,5,500,300,0,500,59.00%,66.37%,59.00%,59.00%,59.00%,57.46%,57.00%
2022-08-03 03:52:36.017589,6,500,300,0,500,62.00%,64.88%,62.00%,62.00%,62.00%,61.62%,57.83%
2022-08-03 03:52:43.595911,7,500,300,0,500,58.00%,67.83%,58.00%,58.00%,58.00%,56.25%,57.86%
2022-08-03 03:52:51.057081,8,500,300,0,500,53.00%,69.59%,53.00%,53.00%,53.00%,48.68%,57.25%
2022-08-03 03:52:59.152721,9,500,300,0,500,70.00%,63.43%,70.00%,70.00%,70.00%,69.99%,58.67%
2022-08-03 03:53:06.801871,10,500,300,0,500,67.00%,64.39%,67.00%,67.00%,67.00%,66.73%,59.50%
2022-08-03 03:53:19.220087,1,500,300,500,1000,62.00%,64.99%,62.00%,62.00%,62.00%,56.34%,62.00%
2022-08-03 03:53:24.541071,2,500,300,500,1000,60.00%,67.37%,60.00%,60.00%,60.00%,51.43%,61.00%
2022-08-03 03:53:30.653310,3,500,300,500,1000,73.00%,63.41%,73.00%,73.00%,73.00%,72.98%,65.00%
2022-08-03 03:53:35.736069,4,500,300,500,1000,64.00%,67.06%,64.00%,64.00%,64.00%,62.17%,64.75%
2022-08-03 03:53:42.062545,5,500,300,500,1000,60.00%,65.38%,60.00%,60.00%,60.00%,50.40%,63.80%
2022-08-03 03:53:47.561726,6,500,300,500,1000,60.00%,67.42%,60.00%,60.00%,60.00%,59.98%,63.17%
2022-08-03 03:53:53.585316,7,500,300,500,1000,70.00%,64.64%,70.00%,70.00%,70.00%,69.81%,64.14%
2022-08-03 03:53:59.858596,8,500,300,500,1000,74.00%,63.41%,74.00%,74.00%,74.00%,73.62%,65.38%
2022-08-03 03:54:05.716429,9,500,300,500,1000,63.00%,65.01%,63.00%,63.00%,63.00%,62.36%,65.11%
2022-08-03 03:54:10.722444,10,500,300,500,1000,62.00%,66.98%,62.00%,62.00%,62.00%,61.86%,64.80%
2022-08-03 03:54:21.312951,1,500,300,1000,1500,72.00%,63.47%,72.00%,72.00%,72.00%,69.97%,72.00%
2022-08-03 03:54:25.814071,2,500,300,1000,1500,59.00%,65.97%,59.00%,59.00%,59.00%,51.65%,65.50%
2022-08-03 03:54:30.036675,3,500,300,1000,1500,67.00%,63.19%,67.00%,67.00%,67.00%,65.48%,66.00%
2022-08-03 03:54:34.527962,4,500,300,1000,1500,60.00%,66.15%,60.00%,60.00%,60.00%,57.10%,64.50%
2022-08-03 03:54:38.852173,5,500,300,1000,1500,61.00%,65.38%,61.00%,61.00%,61.00%,58.40%,63.80%
2022-08-03 03:54:43.234823,6,500,300,1000,1500,67.00%,64.60%,67.00%,67.00%,67.00%,66.60%,64.33%
2022-08-03 03:54:47.636609,7,500,300,1000,1500,66.00%,65.65%,66.00%,66.00%,66.00%,65.88%,64.57%
2022-08-03 03:54:52.000096,8,500,300,1000,1500,62.00%,64.34%,62.00%,62.00%,62.00%,60.07%,64.25%
2022-08-03 03:54:56.455787,9,500,300,1000,1500,62.00%,63.04%,62.00%,62.00%,62.00%,61.62%,64.00%
2022-08-03 03:55:00.522292,10,500,300,1000,1500,57.00%,68.32%,57.00%,57.00%,57.00%,53.05%,63.30%
2022-08-03 03:55:11.665761,1,500,300,1500,2000,62.00%,64.55%,62.00%,62.00%,62.00%,60.07%,62.00%
2022-08-03 03:55:16.331940,2,500,300,1500,2000,64.00%,64.95%,64.00%,64.00%,64.00%,63.64%,63.00%
2022-08-03 03:55:20.938223,3,500,300,1500,2000,62.00%,65.84%,62.00%,62.00%,62.00%,60.42%,62.67%
2022-08-03 03:55:25.726308,4,500,300,1500,2000,65.00%,64.63%,65.00%,65.00%,65.00%,64.71%,63.25%
2022-08-03 03:55:30.265599,5,500,300,1500,2000,62.00%,66.22%,62.00%,62.00%,62.00%,59.24%,63.00%
2022-08-03 03:55:33.769851,6,500,300,1500,2000,61.00%,67.32%,61.00%,61.00%,61.00%,61.00%,62.67%
2022-08-03 03:55:38.267193,7,500,300,1500,2000,65.00%,65.21%,65.00%,65.00%,65.00%,63.96%,63.00%
2022-08-03 03:55:41.078351,8,500,300,1500,2000,47.00%,73.12%,47.00%,47.00%,47.00%,31.97%,61.00%
2022-08-03 03:55:45.706779,9,500,300,1500,2000,66.00%,64.95%,66.00%,66.00%,66.00%,65.66%,61.56%
2022-08-03 03:55:48.877180,10,500,300,1500,2000,52.00%,68.78%,52.00%,52.00%,52.00%,46.52%,60.60%
2022-08-03 03:55:59.568545,1,500,300,2000,2500,51.00%,72.02%,51.00%,51.00%,51.00%,33.77%,51.00%
2022-08-03 03:56:03.493453,2,500,300,2000,2500,55.00%,68.29%,55.00%,55.00%,55.00%,48.72%,53.00%
2022-08-03 03:56:07.077314,3,500,300,2000,2500,51.00%,71.93%,51.00%,51.00%,51.00%,33.77%,52.33%
2022-08-03 03:56:12.334775,4,500,300,2000,2500,53.00%,68.26%,53.00%,53.00%,53.00%,41.07%,52.50%
