date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-11-30 10:24:37.544859,1,4400,4400,0,500,68.00%,57.59%,68.00%,68.00%,68.00%,67.16%,68.00%
2022-11-30 10:24:51.035860,2,4400,4400,0,500,66.00%,53.50%,66.00%,66.00%,66.00%,65.66%,67.00%
2022-11-30 10:25:05.958809,3,4400,4400,0,500,72.00%,49.31%,72.00%,72.00%,72.00%,71.59%,68.67%
2022-11-30 10:25:20.472674,4,4400,4400,0,500,80.00%,48.48%,80.00%,80.00%,80.00%,79.87%,71.50%
2022-11-30 10:25:35.040494,5,4400,4400,0,500,70.00%,55.77%,70.00%,70.00%,70.00%,69.70%,71.20%
2022-11-30 10:25:48.867684,6,4400,4400,0,500,72.00%,51.50%,72.00%,72.00%,72.00%,71.82%,71.33%
2022-11-30 10:26:03.272017,7,4400,4400,0,500,78.00%,42.22%,78.00%,78.00%,78.00%,77.99%,72.29%
2022-11-30 10:26:18.981858,8,4400,4400,0,500,74.00%,47.29%,74.00%,74.00%,74.00%,73.91%,72.50%
2022-11-30 10:26:32.606274,9,4400,4400,0,500,72.00%,50.95%,72.00%,72.00%,72.00%,71.59%,72.44%
2022-11-30 10:26:46.358261,10,4400,4400,0,500,74.00%,46.71%,74.00%,74.00%,74.00%,73.91%,72.60%
2022-11-30 10:27:00.621249,1,4400,4400,500,1000,60.00%,66.80%,60.00%,60.00%,60.00%,60.00%,60.00%
2022-11-30 10:27:06.278217,2,4400,4400,500,1000,68.00%,60.81%,68.00%,68.00%,68.00%,60.32%,64.00%
2022-11-30 10:27:12.682123,3,4400,4400,500,1000,68.00%,65.11%,68.00%,68.00%,68.00%,65.28%,65.33%
2022-11-30 10:27:18.856638,4,4400,4400,500,1000,66.00%,63.11%,66.00%,66.00%,66.00%,54.67%,65.50%
2022-11-30 10:27:26.579530,5,4400,4400,500,1000,72.00%,60.43%,72.00%,72.00%,72.00%,67.83%,66.80%
2022-11-30 10:27:33.926180,6,4400,4400,500,1000,64.00%,62.43%,64.00%,64.00%,64.00%,55.36%,66.33%
2022-11-30 10:27:40.396529,7,4400,4400,500,1000,68.00%,65.68%,68.00%,68.00%,68.00%,58.42%,66.57%
2022-11-30 10:27:47.783916,8,4400,4400,500,1000,78.00%,58.47%,78.00%,78.00%,78.00%,77.26%,68.00%
2022-11-30 10:27:54.519189,9,4400,4400,500,1000,64.00%,58.96%,64.00%,64.00%,64.00%,50.66%,67.56%
2022-11-30 10:28:00.332720,10,4400,4400,500,1000,62.00%,60.50%,62.00%,62.00%,62.00%,49.33%,67.00%
2022-11-30 10:28:16.405012,1,4400,4400,1000,1500,80.00%,43.54%,80.00%,80.00%,80.00%,78.78%,80.00%
2022-11-30 10:28:23.965684,2,4400,4400,1000,1500,72.00%,49.33%,72.00%,72.00%,72.00%,68.81%,76.00%
2022-11-30 10:28:32.050873,3,4400,4400,1000,1500,70.00%,47.06%,70.00%,70.00%,70.00%,66.08%,74.00%
2022-11-30 10:28:40.811564,4,4400,4400,1000,1500,78.00%,43.99%,78.00%,78.00%,78.00%,76.88%,75.00%
2022-11-30 10:28:49.547157,5,4400,4400,1000,1500,78.00%,42.70%,78.00%,78.00%,78.00%,77.56%,75.60%
2022-11-30 10:28:58.477641,6,4400,4400,1000,1500,84.00%,38.13%,84.00%,84.00%,84.00%,83.33%,77.00%
2022-11-30 10:29:05.552759,7,4400,4400,1000,1500,74.00%,47.34%,74.00%,74.00%,74.00%,71.43%,76.57%
2022-11-30 10:29:13.422819,8,4400,4400,1000,1500,80.00%,40.08%,80.00%,80.00%,80.00%,78.78%,77.00%
2022-11-30 10:29:21.891307,9,4400,4400,1000,1500,76.00%,47.66%,76.00%,76.00%,76.00%,73.96%,76.89%
2022-11-30 10:29:32.064879,10,4400,4400,1000,1500,80.00%,43.71%,80.00%,80.00%,80.00%,78.78%,77.20%
2022-11-30 10:30:05.303745,1,4400,4400,1500,2000,84.00%,39.69%,84.00%,84.00%,84.00%,84.00%,84.00%
2022-11-30 10:30:20.547740,2,4400,4400,1500,2000,68.00%,63.14%,68.00%,68.00%,68.00%,66.04%,76.00%
2022-11-30 10:30:34.171185,3,4400,4400,1500,2000,76.00%,63.62%,76.00%,76.00%,76.00%,73.96%,76.00%
2022-11-30 10:30:51.121036,4,4400,4400,1500,2000,74.00%,62.24%,74.00%,74.00%,74.00%,73.99%,75.50%
2022-11-30 10:31:06.443440,5,4400,4400,1500,2000,70.00%,63.75%,70.00%,70.00%,70.00%,67.03%,74.40%
2022-11-30 10:31:23.290332,6,4400,4400,1500,2000,70.00%,65.23%,70.00%,70.00%,70.00%,69.89%,73.67%
2022-11-30 10:31:36.786455,7,4400,4400,1500,2000,76.00%,54.78%,76.00%,76.00%,76.00%,75.37%,74.00%
2022-11-30 10:31:51.932036,8,4400,4400,1500,2000,62.00%,63.42%,62.00%,62.00%,62.00%,60.07%,72.50%
2022-11-30 10:32:11.953292,9,4400,4400,1500,2000,78.00%,50.64%,78.00%,78.00%,78.00%,76.88%,73.11%
2022-11-30 10:32:27.153319,10,4400,4400,1500,2000,76.00%,63.05%,76.00%,76.00%,76.00%,75.65%,73.40%
2022-11-30 10:32:48.202598,1,4400,4400,2000,2500,60.00%,66.63%,60.00%,60.00%,60.00%,56.60%,60.00%
2022-11-30 10:33:13.871870,2,4400,4400,2000,2500,62.00%,90.48%,62.00%,62.00%,62.00%,61.24%,61.00%
2022-11-30 10:33:38.020645,3,4400,4400,2000,2500,60.00%,91.88%,60.00%,60.00%,60.00%,59.42%,60.67%
2022-11-30 10:34:03.777660,4,4400,4400,2000,2500,68.00%,86.88%,68.00%,68.00%,68.00%,67.53%,62.50%
2022-11-30 10:34:29.003686,5,4400,4400,2000,2500,62.00%,99.25%,62.00%,62.00%,62.00%,61.62%,62.40%
2022-11-30 10:34:50.762910,6,4400,4400,2000,2500,66.00%,80.07%,66.00%,66.00%,66.00%,65.66%,63.00%
2022-11-30 10:35:15.225989,7,4400,4400,2000,2500,62.00%,74.86%,62.00%,62.00%,62.00%,61.62%,62.86%
2022-11-30 10:35:34.618014,8,4400,4400,2000,2500,64.00%,78.19%,64.00%,64.00%,64.00%,63.47%,63.00%
2022-11-30 10:35:56.702102,9,4400,4400,2000,2500,62.00%,98.25%,62.00%,62.00%,62.00%,61.24%,62.89%
2022-11-30 10:36:16.075345,10,4400,4400,2000,2500,68.00%,90.00%,68.00%,68.00%,68.00%,67.53%,63.40%
2022-11-30 10:36:34.367373,1,4400,4400,2500,3000,82.00%,43.05%,82.00%,82.00%,82.00%,81.40%,82.00%
2022-11-30 10:36:43.629120,2,4400,4400,2500,3000,82.00%,46.42%,82.00%,82.00%,82.00%,81.08%,82.00%
2022-11-30 10:36:53.176078,3,4400,4400,2500,3000,82.00%,43.23%,82.00%,82.00%,82.00%,81.40%,82.00%
2022-11-30 10:37:02.997199,4,4400,4400,2500,3000,76.00%,60.99%,76.00%,76.00%,76.00%,75.37%,80.50%
2022-11-30 10:37:12.270205,5,4400,4400,2500,3000,84.00%,44.85%,84.00%,84.00%,84.00%,83.58%,81.20%
2022-11-30 10:37:20.672694,6,4400,4400,2500,3000,76.00%,54.83%,76.00%,76.00%,76.00%,73.96%,80.33%
2022-11-30 10:37:31.127634,7,4400,4400,2500,3000,78.00%,45.01%,78.00%,78.00%,78.00%,77.92%,80.00%
2022-11-30 10:37:40.547573,8,4400,4400,2500,3000,76.00%,47.01%,76.00%,76.00%,76.00%,75.00%,79.50%
2022-11-30 10:37:50.235289,9,4400,4400,2500,3000,76.00%,54.33%,76.00%,76.00%,76.00%,73.26%,79.11%
2022-11-30 10:37:59.188797,10,4400,4400,2500,3000,80.00%,45.98%,80.00%,80.00%,80.00%,78.30%,79.20%
2022-11-30 10:38:31.614644,1,4400,4400,3000,3500,84.00%,41.42%,84.00%,84.00%,84.00%,83.97%,84.00%
2022-11-30 10:38:51.283610,2,4400,4400,3000,3500,82.00%,41.02%,82.00%,82.00%,82.00%,81.40%,83.00%
2022-11-30 10:39:09.407816,3,4400,4400,3000,3500,86.00%,44.95%,86.00%,86.00%,86.00%,85.95%,84.00%
2022-11-30 10:39:31.164675,4,4400,4400,3000,3500,82.00%,47.27%,82.00%,82.00%,82.00%,81.64%,83.50%
2022-11-30 10:39:51.842276,5,4400,4400,3000,3500,80.00%,44.99%,80.00%,80.00%,80.00%,79.17%,82.80%
2022-11-30 10:40:17.121802,6,4400,4400,3000,3500,86.00%,42.66%,86.00%,86.00%,86.00%,85.53%,83.33%
2022-11-30 10:40:37.887129,7,4400,4400,3000,3500,80.00%,48.06%,80.00%,80.00%,80.00%,79.87%,82.86%
2022-11-30 10:41:00.781370,8,4400,4400,3000,3500,84.00%,43.37%,84.00%,84.00%,84.00%,83.97%,83.00%
2022-11-30 10:41:21.386123,9,4400,4400,3000,3500,82.00%,44.64%,82.00%,82.00%,82.00%,81.40%,82.89%
2022-11-30 10:41:45.244550,10,4400,4400,3000,3500,84.00%,44.08%,84.00%,84.00%,84.00%,83.58%,83.00%
2022-11-30 10:42:06.424087,1,4400,4400,3500,4000,80.00%,48.59%,80.00%,80.00%,80.00%,79.47%,80.00%
2022-11-30 10:42:27.148595,2,4400,4400,3500,4000,80.00%,57.69%,80.00%,80.00%,80.00%,79.71%,80.00%
2022-11-30 10:42:44.932603,3,4400,4400,3500,4000,78.00%,54.41%,78.00%,78.00%,78.00%,77.78%,79.33%
2022-11-30 10:43:01.394938,4,4400,4400,3500,4000,80.00%,57.44%,80.00%,80.00%,80.00%,79.71%,79.50%
2022-11-30 10:43:20.027758,5,4400,4400,3500,4000,82.00%,53.24%,82.00%,82.00%,82.00%,81.40%,80.00%
2022-11-30 10:43:38.908823,6,4400,4400,3500,4000,80.00%,71.72%,80.00%,80.00%,80.00%,79.71%,80.00%
2022-11-30 10:43:58.441101,7,4400,4400,3500,4000,80.00%,50.72%,80.00%,80.00%,80.00%,79.71%,80.00%
2022-11-30 10:44:15.239743,8,4400,4400,3500,4000,78.00%,53.52%,78.00%,78.00%,78.00%,77.56%,79.75%
2022-11-30 10:44:32.024444,9,4400,4400,3500,4000,80.00%,53.70%,80.00%,80.00%,80.00%,79.71%,79.78%
2022-11-30 10:44:50.900401,10,4400,4400,3500,4000,82.00%,52.18%,82.00%,82.00%,82.00%,81.64%,80.00%
2022-11-30 10:45:06.686851,1,4400,4400,4000,4500,74.00%,54.50%,74.00%,74.00%,74.00%,73.13%,74.00%
2022-11-30 10:45:15.074107,2,4400,4400,4000,4500,74.00%,57.37%,74.00%,74.00%,74.00%,73.48%,74.00%
2022-11-30 10:45:24.239628,3,4400,4400,4000,4500,78.00%,56.87%,78.00%,78.00%,78.00%,77.26%,75.33%
2022-11-30 10:45:32.120642,4,4400,4400,4000,4500,78.00%,54.93%,78.00%,78.00%,78.00%,77.78%,76.00%
2022-11-30 10:45:39.251963,5,4400,4400,4000,4500,74.00%,54.35%,74.00%,74.00%,74.00%,72.68%,75.60%
