start,end,normal_acc,aug_acc
0,500,75.60%,76.20%
500,1000,76.00%,87.40%
1000,1500,86.00%,86.20%
1500,2000,82.80%,82.80%
2000,2500,81.20%,81.40%
2500,3000,66.00%,78.20%
3000,3500,78.00%,82.40%
3500,4000,89.60%,86.60%
4000,4500,82.00%,84.00%
4500,5000,83.20%,84.00%
5000,5500,70.40%,78.60%
5500,6000,75.60%,81.80%
6000,6500,73.20%,81.80%
6500,7000,83.20%,78.80%
7000,7500,74.40%,86.80%
7500,8000,79.60%,82.80%
8000,8500,81.20%,83.80%
8500,9000,82.80%,87.80%
9000,9500,86.00%,89.80%
9500,10000,86.00%,89.60%
10000,10500,87.20%,84.20%
10500,11000,82.80%,83.00%
11000,11500,73.20%,79.20%
11500,12000,87.20%,84.80%
12000,12500,81.20%,85.80%
12500,13000,80.40%,86.20%
13000,13500,78.40%,80.20%
13500,14000,80.80%,76.40%
14000,14500,89.20%,84.00%
14500,15000,79.60%,82.80%
15000,15500,85.20%,83.60%
15500,16000,76.40%,81.40%
16000,16500,83.60%,81.20%
16500,17000,81.60%,88.00%
17000,17500,82.00%,84.20%
17500,18000,83.60%,85.60%
18000,18500,79.20%,83.40%
18500,19000,75.60%,84.00%
19000,19500,75.20%,85.40%
19500,20000,73.60%,82.20%
20000,20500,73.20%,90.20%
20500,21000,75.20%,72.20%
21000,21500,82.40%,80.40%
21500,22000,82.80%,83.60%
22000,22500,81.60%,80.60%
22500,23000,73.20%,77.40%
23000,23500,76.00%,75.40%
23500,24000,77.20%,75.00%
24000,24500,77.20%,79.80%
24500,25000,84.40%,83.20%
25000,25500,78.00%,81.00%
25500,26000,78.40%,83.20%
26000,26500,76.00%,83.60%
26500,27000,77.60%,86.60%
27000,27500,90.80%,84.60%
27500,28000,77.20%,84.00%
28000,28500,84.40%,82.00%
28500,29000,86.80%,82.00%
29000,29500,78.40%,82.80%
29500,30000,89.60%,83.60%
30000,30500,82.00%,84.00%
30500,31000,78.40%,92.00%
31000,31500,88.80%,84.80%
31500,32000,81.20%,86.80%
32000,32500,74.80%,78.40%
32500,33000,74.40%,85.40%
33000,33500,83.20%,81.20%
33500,34000,75.60%,81.40%
34000,34500,82.40%,86.20%
34500,35000,78.40%,76.80%
35000,35500,80.40%,78.80%
35500,36000,81.20%,90.60%
36000,36500,86.80%,86.80%
36500,37000,66.80%,78.20%
37000,37500,86.40%,82.00%
37500,38000,80.40%,81.20%
38000,38500,83.60%,80.40%
38500,39000,83.20%,87.80%
39000,39500,77.60%,84.80%
39500,40000,80.40%,84.60%
40000,40500,84.80%,83.40%
40500,41000,78.00%,86.00%
41000,41500,79.20%,86.00%
41500,42000,75.60%,84.80%
42000,42500,76.40%,83.60%
42500,43000,78.40%,80.00%
43000,43500,80.40%,88.40%
43500,44000,78.00%,82.40%
44000,44500,79.60%,86.00%
44500,45000,77.20%,82.60%
45000,45500,83.20%,82.60%
45500,46000,76.40%,85.40%
46000,46500,79.60%,80.20%
46500,47000,84.00%,86.60%
47000,47500,82.40%,82.20%
47500,48000,76.40%,74.20%
48000,48500,75.60%,84.40%
48500,49000,85.60%,79.60%
49000,49500,87.20%,83.80%
49500,50000,83.60%,80.60%
0,1000,89.80%,86.60%
1000,2000,84.00%,85.20%
2000,3000,76.20%,85.90%
3000,4000,81.20%,84.70%
4000,5000,85.80%,88.50%
5000,6000,83.60%,83.30%
6000,7000,80.40%,85.10%
7000,8000,84.40%,86.40%
8000,9000,77.60%,86.20%
9000,10000,84.00%,87.60%
10000,11000,87.40%,85.90%
11000,12000,83.80%,82.30%
12000,13000,86.60%,83.00%
13000,14000,80.40%,81.30%
14000,15000,86.60%,88.40%
15000,16000,82.60%,81.20%
16000,17000,80.20%,83.10%
17000,18000,80.20%,85.40%
18000,19000,81.60%,83.40%
19000,20000,75.60%,89.80%
20000,21000,79.60%,83.20%
21000,22000,77.20%,83.70%
22000,23000,75.60%,88.70%
23000,24000,87.20%,81.30%
24000,25000,84.20%,83.10%
25000,26000,85.80%,87.80%
26000,27000,85.20%,86.10%
27000,28000,81.80%,78.10%
28000,29000,81.00%,85.70%
29000,30000,85.00%,83.20%
30000,31000,79.60%,84.00%
31000,32000,75.00%,84.80%
32000,33000,83.20%,84.50%
33000,34000,85.80%,85.30%
34000,35000,83.20%,84.40%
35000,36000,85.60%,81.00%
36000,37000,89.20%,83.60%
37000,38000,86.20%,84.80%
38000,39000,85.60%,83.60%
39000,40000,87.00%,87.00%
40000,41000,86.20%,83.00%
41000,42000,89.60%,85.40%
42000,43000,86.00%,83.80%
43000,44000,81.60%,80.50%
44000,45000,86.00%,84.50%
45000,46000,87.00%,83.10%
46000,47000,83.00%,85.40%
47000,48000,85.40%,84.20%
48000,49000,85.80%,87.20%
49000,50000,89.00%,85.80%
0,2000,89.00%,87.20%
2000,4000,88.20%,84.80%
4000,6000,87.70%,85.95%
6000,8000,89.70%,86.10%
8000,10000,86.60%,85.55%
10000,12000,86.70%,84.80%
12000,14000,87.20%,84.25%
14000,16000,87.50%,86.30%
16000,18000,84.50%,84.45%
18000,20000,84.00%,85.20%
20000,22000,85.50%,85.60%
22000,24000,86.00%,84.85%
24000,26000,87.70%,82.55%
26000,28000,88.80%,87.25%
28000,30000,88.20%,83.55%
30000,32000,85.60%,84.50%
32000,34000,84.10%,86.60%
34000,36000,86.40%,85.10%
36000,38000,85.80%,83.80%
38000,40000,88.10%,87.50%
40000,42000,89.10%,85.70%
42000,44000,85.80%,85.95%
44000,46000,89.20%,84.85%
46000,48000,90.60%,87.60%
48000,50000,89.80%,84.55%
0,5000,89.56%,87.88%
5000,10000,91.28%,88.66%
10000,15000,88.60%,89.44%
15000,20000,87.72%,88.24%
20000,25000,87.68%,87.14%
25000,30000,88.44%,88.56%
30000,35000,89.16%,86.00%
35000,40000,88.80%,87.20%
40000,45000,91.32%,88.32%
45000,50000,89.76%,88.76%
0,10000,89.48%,87.78%
10000,20000,89.08%,89.79%
20000,30000,90.38%,88.80%
30000,40000,89.44%,88.80%
40000,50000,87.58%,89.57%
0,12500,88.74%,89.77%
12500,25000,88.59%,88.98%
25000,37500,90.03%,89.38%
37500,50000,89.26%,89.45%
0,25000,90.67%,90.02%
25000,50000,92.38%,90.37%
0,50000,86.32%,91.11%
