start,end,normal_acc,aug_acc
0,500,64.90%,65.30%
500,1000,71.50%,74.70%
1000,1500,72.30%,72.60%
1500,2000,67.20%,67.80%
2000,2500,62.60%,67.10%
2500,3000,65.00%,67.00%
3000,3500,68.10%,66.00%
3500,4000,71.20%,71.30%
4000,4500,68.70%,72.70%
4500,5000,72.10%,68.80%
5000,5500,74.30%,72.70%
5500,6000,74.30%,70.70%
6000,6500,60.40%,69.10%
6500,7000,58.80%,61.70%
7000,7500,74.10%,79.30%
7500,8000,71.10%,72.10%
8000,8500,53.70%,61.60%
8500,9000,72.40%,73.50%
9000,9500,63.60%,69.90%
9500,10000,71.50%,72.20%
10000,10500,65.20%,66.80%
10500,11000,72.80%,76.30%
11000,11500,66.40%,71.00%
11500,12000,65.90%,67.50%
12000,12500,63.70%,65.90%
12500,13000,75.10%,73.50%
13000,13500,59.90%,61.40%
13500,14000,57.60%,63.80%
14000,14500,69.40%,74.40%
14500,15000,67.20%,68.20%
15000,15500,63.50%,66.50%
15500,16000,66.20%,69.40%
16000,16500,74.60%,71.70%
16500,17000,73.50%,75.80%
17000,17500,56.20%,63.00%
17500,18000,70.30%,72.80%
18000,18500,69.20%,73.60%
18500,19000,68.90%,65.40%
19000,19500,68.20%,73.10%
19500,20000,66.00%,65.30%
20000,20500,69.20%,69.40%
20500,21000,63.50%,64.20%
21000,21500,68.50%,69.50%
21500,22000,66.90%,69.30%
22000,22500,65.10%,71.00%
22500,23000,73.60%,72.00%
23000,23500,65.20%,70.60%
23500,24000,64.10%,68.70%
24000,24500,62.80%,66.40%
24500,25000,77.30%,79.10%
25000,25500,66.20%,66.80%
25500,26000,67.30%,67.50%
26000,26500,73.80%,73.90%
26500,27000,67.90%,67.80%
27000,27500,65.60%,71.90%
27500,28000,69.60%,72.60%
28000,28500,84.50%,80.20%
28500,29000,67.70%,67.90%
29000,29500,69.10%,72.40%
29500,30000,76.30%,73.40%
30000,30500,67.20%,66.70%
30500,31000,70.40%,73.30%
31000,31500,64.90%,68.60%
31500,32000,73.20%,77.30%
32000,32500,62.10%,63.30%
32500,33000,68.80%,72.30%
33000,33500,66.80%,67.00%
33500,34000,55.50%,71.60%
34000,34500,68.70%,70.10%
34500,35000,66.00%,72.30%
35000,35500,62.00%,63.80%
35500,36000,65.00%,69.30%
36000,36500,73.90%,73.90%
36500,37000,70.70%,71.50%
