start,end,normal_acc,aug_acc
0,500,75.60%,80.80%
500,1000,76.00%,87.40%
1000,1500,86.00%,84.80%
1500,2000,82.80%,85.20%
2000,2500,81.20%,88.00%
2500,3000,66.00%,74.40%
3000,3500,78.00%,86.80%
3500,4000,89.60%,89.00%
4000,4500,82.00%,82.60%
4500,5000,83.20%,84.40%
5000,5500,70.40%,76.80%
5500,6000,75.60%,81.20%
6000,6500,73.20%,80.60%
6500,7000,83.20%,84.60%
7000,7500,74.40%,85.40%
7500,8000,79.60%,78.00%
8000,8500,81.20%,85.60%
8500,9000,82.80%,91.40%
9000,9500,86.00%,85.60%
9500,10000,86.00%,93.20%
10000,10500,87.20%,81.20%
10500,11000,82.80%,87.40%
11000,11500,73.20%,81.40%
11500,12000,87.20%,86.00%
12000,12500,81.20%,81.20%
12500,13000,80.40%,85.20%
13000,13500,78.40%,79.80%
13500,14000,80.80%,83.20%
14000,14500,89.20%,83.60%
14500,15000,79.60%,78.60%
15000,15500,85.20%,81.60%
15500,16000,76.40%,83.80%
16000,16500,83.60%,85.40%
16500,17000,81.60%,84.00%
17000,17500,82.00%,86.00%
17500,18000,83.60%,83.40%
18000,18500,79.20%,85.40%
18500,19000,75.60%,79.00%
19000,19500,75.20%,77.60%
19500,20000,73.60%,81.20%
20000,20500,73.20%,84.80%
20500,21000,75.20%,77.40%
21000,21500,82.40%,81.60%
21500,22000,82.80%,82.60%
22000,22500,81.60%,85.00%
22500,23000,73.20%,78.40%
23000,23500,76.00%,79.80%
23500,24000,77.20%,76.20%
24000,24500,77.20%,80.60%
24500,25000,84.40%,81.80%
25000,25500,78.00%,81.20%
25500,26000,78.40%,76.80%
26000,26500,76.00%,77.40%
26500,27000,77.60%,83.60%
27000,27500,90.80%,82.80%
27500,28000,77.20%,80.80%
28000,28500,84.40%,87.60%
28500,29000,86.80%,79.60%
29000,29500,78.40%,77.80%
29500,30000,89.60%,83.40%
30000,30500,82.00%,87.60%
30500,31000,78.40%,89.40%
31000,31500,88.80%,86.00%
31500,32000,81.20%,88.80%
32000,32500,74.80%,76.00%
32500,33000,74.40%,88.40%
33000,33500,83.20%,77.20%
33500,34000,75.60%,78.40%
34000,34500,82.40%,80.00%
34500,35000,78.40%,82.60%
35000,35500,80.40%,79.60%
35500,36000,81.20%,83.40%
36000,36500,86.80%,76.80%
36500,37000,66.80%,81.80%
37000,37500,86.40%,83.80%
37500,38000,80.40%,84.00%
38000,38500,83.60%,78.40%
38500,39000,83.20%,87.20%
39000,39500,77.60%,74.00%
39500,40000,80.40%,83.80%
40000,40500,84.80%,81.40%
40500,41000,78.00%,83.00%
41000,41500,79.20%,88.60%
41500,42000,75.60%,79.80%
42000,42500,76.40%,82.80%
42500,43000,78.40%,84.60%
43000,43500,80.40%,84.80%
43500,44000,78.00%,83.00%
44000,44500,79.60%,84.40%
44500,45000,77.20%,84.40%
45000,45500,83.20%,86.00%
45500,46000,76.40%,82.80%
46000,46500,79.60%,79.40%
46500,47000,84.00%,85.00%
47000,47500,82.40%,86.00%
47500,48000,76.40%,82.40%
48000,48500,75.60%,81.20%
48500,49000,85.60%,86.00%
49000,49500,87.20%,83.40%
49500,50000,83.60%,82.60%
0,1000,89.80%,89.90%
1000,2000,84.00%,85.60%
2000,3000,76.20%,81.40%
3000,4000,81.20%,87.90%
4000,5000,85.80%,87.50%
5000,6000,83.60%,84.50%
6000,7000,80.40%,82.50%
7000,8000,84.40%,84.60%
8000,9000,77.60%,86.20%
9000,10000,84.00%,86.70%
10000,11000,87.40%,88.30%
11000,12000,83.80%,82.60%
12000,13000,86.60%,83.90%
13000,14000,80.40%,81.30%
14000,15000,86.60%,86.00%
15000,16000,82.60%,82.60%
16000,17000,80.20%,85.70%
17000,18000,80.20%,83.80%
18000,19000,81.60%,79.30%
19000,20000,75.60%,86.60%
20000,21000,79.60%,79.10%
21000,22000,77.20%,84.60%
22000,23000,75.60%,88.00%
23000,24000,87.20%,83.50%
24000,25000,84.20%,82.40%
25000,26000,85.80%,85.30%
26000,27000,85.20%,81.40%
27000,28000,81.80%,82.20%
28000,29000,81.00%,87.70%
