,Normal,Aug
0˜500,75.6,79.8
500˜1000,76,85
1000˜1500,86,78
1500˜2000,82.8,86.4
2000˜2500,81.2,83.8
2500˜3000,66,77.8
3000˜3500,78,85.4
3500˜4000,89.6,84.8
4000˜4500,82,82.2
4500˜5000,83.2,83.6
5000˜5500,70.4,80.6
5500˜6000,75.6,81.6
6000˜6500,73.2,82.4
6500˜7000,83.2,81.8
7000˜7500,74.4,88.8
7500˜8000,79.6,80
8000˜8500,81.2,85.2
8500˜9000,82.8,88.4
9000˜9500,86,90.2
9500˜10000,86,89.6
10000˜10500,87.2,81.8
10500˜11000,82.8,87.2
11000˜11500,73.2,82.6
11500˜12000,87.2,83
12000˜12500 ,81.2,81.2
12500˜13000 ,80.4,81.2
13000˜13500,78.4,76.4
13500˜14000,80.8,83.8
14000˜14500,89.2,86.4
14500˜15000,79.6,78.6
15000˜15500,85.2,84.4
15500˜16000,76.4,77.4
16000˜16500,83.6,83.4
16500˜17000,81.6,86.6
17000˜17500,82,83.6
17500˜18000,83.6,73.6
18000˜18500,79.2,85.8
18500˜19000,75.6,81.6
19000˜19500,75.2,82.4
19500˜20000,73.6,79
20000˜20500,73.2,81.6
20500˜21000,75.2,74.4
21000˜21500,82.4,71.4
21500˜22000,82.8,83.2
22000˜22500,81.6,79
22500˜23000,73.2,84.8
23000˜23500,76,78.6
23500˜24000,77.2,75.2
24000˜24500,77.2,81.6
24500˜25000,84.4,83.2
25000˜25500,78,78.2
25500˜26000,78.4,83.6
26000˜26500,76,83.6
26500˜27000,77.6,88.2
27000˜27500,90.8,90.8
27500˜28000,77.2,79.6
28000˜28500,84.4,85.6
28500˜29000,86.8,70.8
29000˜29500,78.4,83.2
29500˜30000,89.6,84
30000˜30500,82,79.8
30500˜31000,78.4,84.6
31000˜31500,88.8,83.8
31500˜32000,81.2,86
32000˜32500,74.8,71.6
32500˜33000 ,74.4,89.4
33000˜33500,83.2,85.6
33500˜34000,75.6,79.6
34000˜34500,82.4,78.8
34500˜35000,78.4,78.8
35000˜35500 ,80.4,82.6
35500˜36000,81.2,80.2
36000˜36500,86.8,81.4
36500˜37000,66.8,84.6
37000˜37500,86.4,85.6
37500˜38000,80.4,80.8
38000˜38500,83.6,74.2
38500˜39000,83.2,84.2
39000˜39500,77.6,75.6
39500˜40000 ,80.4,83.6
40000˜40500,84.8,80
40500˜41000,78,80.8
41000˜41500,79.2,81.6
41500˜42000,75.6,77.4
42000˜42500,76.4,87.4
42500˜43000,78.4,83.8
43000˜43500 ,80.4,87.6
43500˜44000,78,81.4
44000˜44500,79.6,86
44500˜45000,77.2,85.6
45000˜45500,83.2,85.2
45500˜46000 ,76.4,79.8
46000˜46500,79.6,80.8
46500˜47000,84,75.8
47000˜47500,82.4,84.4
47500˜48000,76.4,75.6
48000˜48500,75.6,87.2
48500˜49000,85.6,86.6
49000˜49500,87.2,85.4
49500˜50000,83.6,84.2
,80.168,82.234
,,
,,
0~1000,89.8,78
1000~2000,84,87.1
2000~3000,76.2,84.3
3000~4000,81.2,86.4
4000~5000,85.8,89.8
5000~6000,83.6,82.9
6000~7000,80.4,79.8
7000~8000,84.4,87.1
8000~9000,77.6,84.5
9000~10000,84,88.6
10000~11000,87.4,88.9
11000~12000,83.8,81.4
12000~13000,86.6,80.7
13000~14000,80.4,81.5
14000~15000,86.6,82.9
15000~16000,82.6,83.3
16000~17000,80.2,85.8
17000~18000,80.2,82.6
18000~19000,81.6,86.7
19000~20000,75.6,88.4
20000~21000,79.6,80.1
21000~22000,77.2,83.5
22000~23000,75.6,84.4
23000~24000,87.2,87.1
24000~25000,84.2,81.1
25000~26000,85.8,82.1
26000~27000,85.2,82.7
27000~28000,81.8,79.2
28000~29000,81,87.2
29000~30000,85,81.2
30000~31000,79.6,82.6
31000~32000,75,84.4
32000~33000,83.2,85.4
33000~34000,85.8,84.3
34000~35000 ,83.2,82.6
35000~36000,85.6,80.9
36000~37000 ,89.2,86.3
37000~38000 ,86.2,80.9
38000~39000 ,85.6,76.5
39000~40000,87,89.2
40000~41000,86.2,81.9
41000~42000,89.6,83.7
42000~43000,86,87
43000~44000,81.6,80.4
44000~45000,86,83.2
45000~46000,87,84.8
46000~47000,83,77.1
47000~48000,85.4,84.5
48000~49000 ,85.8,82.1
49000~50000,89,87.8
,83.492,83.698
,,
,,
0˜2000,89,86.2
2000˜4000,88.2,86.75
4000˜6000,87.7,84.95
6000˜8000,89.7,83.2
8000˜10000,86.6,83.45
10000˜12000,86.7,84.55
12000˜14000,87.2,85.8
14000˜16000,87.5,78.5
16000˜18000,84.5,84.2
18000˜20000 ,84,85.7
20000˜22000 ,85.5,85.3
22000~24000,86,85.1
24000~26000,87.7,83.75
26000~28000,88.8,88.15
28000~30000,88.2,85.35
30000~32000,85.6,86.05
32000~34000 ,84.1,84.25
34000~36000 ,86.4,86.25
36000~38000,85.8,84.95
38000~40000,88.1,87.7
40000~42000,89.1,86.6
42000~44000,85.8,85.5
44000~46000,89.2,86.45
46000~48000,90.6,87.95
48000~50000,89.8,84.7
,87.272,85.254
