start,end,normal_acc,aug_acc
0,500,59.20%,59.50%
500,1000,63.70%,64.80%
1000,1500,63.60%,63.30%
1500,2000,64.90%,60.60%
2000,2500,53.50%,54.40%
2500,3000,51.90%,52.60%
3000,3500,56.20%,56.20%
3500,4000,67.90%,65.10%
4000,4500,61.90%,63.60%
4500,5000,56.40%,56.80%
5000,5500,59.10%,58.50%
5500,6000,66.30%,59.30%
6000,6500,49.70%,51.90%
6500,7000,53.80%,53.20%
7000,7500,56.90%,57.20%
7500,8000,62.40%,61.80%
8000,8500,51.90%,52.70%
8500,9000,61.10%,58.50%
9000,9500,58.80%,59.30%
9500,10000,65.00%,65.00%
10000,10500,60.40%,60.80%
10500,11000,61.50%,63.00%
11000,11500,62.80%,64.60%
11500,12000,44.30%,49.30%
12000,12500,57.40%,57.70%
12500,13000,66.40%,63.70%
13000,13500,63.90%,61.80%
13500,14000,58.40%,51.20%
14000,14500,62.50%,64.40%
14500,15000,62.60%,59.60%
15000,15500,62.20%,60.80%
15500,16000,62.60%,63.60%
16000,16500,61.30%,59.30%
16500,17000,66.50%,61.80%
17000,17500,58.70%,57.20%
17500,18000,67.40%,66.90%
18000,18500,61.80%,61.70%
18500,19000,65.00%,63.00%
19000,19500,60.30%,65.90%
19500,20000,56.90%,55.80%
20000,20500,57.80%,65.30%
20500,21000,56.40%,57.10%
21000,21500,60.90%,59.90%
21500,22000,60.40%,58.30%
22000,22500,62.00%,61.20%
22500,23000,65.00%,65.10%
23000,23500,57.30%,61.10%
23500,24000,61.00%,59.00%
24000,24500,55.60%,57.50%
24500,25000,64.30%,67.10%
25000,25500,60.90%,58.70%
25500,26000,64.40%,61.30%
26000,26500,66.10%,69.10%
26500,27000,60.80%,61.40%
27000,27500,66.40%,65.40%
27500,28000,66.10%,64.40%
28000,28500,68.80%,68.50%
28500,29000,63.10%,65.00%
29000,29500,60.00%,61.70%
29500,30000,67.80%,62.30%
30000,30500,62.90%,58.70%
30500,31000,70.60%,66.40%
31000,31500,60.40%,60.10%
31500,32000,64.20%,63.80%
32000,32500,51.80%,53.10%
32500,33000,65.90%,61.80%
33000,33500,61.50%,61.70%
33500,34000,65.40%,63.40%
34000,34500,58.40%,58.60%
34500,35000,63.80%,61.30%
35000,35500,62.00%,62.80%
35500,36000,59.50%,60.10%
36000,36500,67.80%,68.40%
36500,37000,62.60%,59.70%
37000,37500,59.80%,59.20%
37500,38000,56.50%,53.30%
38000,38500,66.30%,63.10%
38500,39000,59.80%,59.80%
39000,39500,59.50%,58.00%
39500,40000,54.30%,50.60%
40000,40500,52.20%,55.10%
40500,41000,53.50%,56.80%
41000,41500,51.10%,52.00%
41500,42000,62.40%,62.30%
42000,42500,67.00%,64.00%
42500,43000,65.10%,59.40%
43000,43500,58.90%,63.20%
43500,44000,62.40%,66.80%
44000,44500,63.60%,58.10%
44500,45000,64.00%,63.00%
45000,45500,64.10%,60.30%
45500,46000,66.00%,65.50%
46000,46500,58.50%,58.10%
46500,47000,65.20%,66.30%
47000,47500,60.40%,58.90%
47500,48000,52.30%,53.40%
48000,48500,55.60%,54.90%
48500,49000,60.80%,62.80%
49000,49500,63.00%,60.90%
49500,50000,64.70%,65.10%
0,1000,71.20%,77.00%
1000,2000,71.55%,68.05%
2000,3000,65.95%,64.55%
3000,4000,72.05%,72.10%
4000,5000,68.45%,70.25%
5000,6000,70.25%,68.70%
6000,7000,68.55%,69.25%
7000,8000,72.25%,71.35%
8000,9000,64.00%,63.85%
9000,10000,68.50%,67.85%
10000,11000,70.00%,70.55%
11000,12000,63.65%,64.35%
12000,13000,73.90%,73.90%
13000,14000,69.35%,68.10%
14000,15000,73.00%,74.65%
15000,16000,63.60%,64.60%
16000,17000,74.20%,74.10%
