start,end,normal_acc,aug_acc
0,500,59.20%,65.10%
500,1000,63.70%,72.00%
1000,1500,63.60%,72.10%
1500,2000,64.90%,74.20%
2000,2500,53.50%,53.50%
2500,3000,51.90%,56.70%
3000,3500,56.20%,64.60%
3500,4000,67.90%,74.30%
4000,4500,61.90%,65.70%
4500,5000,56.40%,61.60%
5000,5500,59.10%,65.10%
5500,6000,66.30%,68.50%
6000,6500,49.70%,65.70%
6500,7000,53.80%,63.10%
7000,7500,56.90%,75.30%
7500,8000,62.40%,69.10%
8000,8500,51.90%,55.90%
8500,9000,61.10%,70.80%
9000,9500,58.80%,65.60%
9500,10000,65.00%,66.60%
10000,10500,60.40%,67.40%
10500,11000,61.50%,71.00%
11000,11500,62.80%,64.40%
11500,12000,44.30%,61.70%
12000,12500,57.40%,59.30%
12500,13000,66.40%,67.50%
13000,13500,63.90%,69.20%
13500,14000,58.40%,58.60%
14000,14500,62.50%,70.50%
14500,15000,62.60%,65.30%
15000,15500,62.20%,65.10%
15500,16000,62.60%,68.70%
16000,16500,61.30%,65.60%
16500,17000,66.50%,73.80%
17000,17500,58.70%,63.60%
17500,18000,67.40%,71.70%
18000,18500,61.80%,69.40%
18500,19000,65.00%,67.70%
19000,19500,60.30%,68.30%
19500,20000,56.90%,58.70%
20000,20500,57.80%,66.60%
20500,21000,56.40%,63.10%
21000,21500,60.90%,67.60%
21500,22000,60.40%,61.00%
22000,22500,62.00%,65.00%
22500,23000,65.00%,71.30%
23000,23500,57.30%,66.60%
23500,24000,61.00%,62.40%
24000,24500,55.60%,66.70%
24500,25000,64.30%,67.30%
25000,25500,60.90%,64.40%
25500,26000,64.40%,64.80%
26000,26500,66.10%,74.80%
26500,27000,60.80%,66.50%
27000,27500,66.40%,72.30%
27500,28000,66.10%,68.40%
28000,28500,68.80%,75.70%
28500,29000,63.10%,72.10%
29000,29500,60.00%,65.60%
29500,30000,67.80%,68.40%
30000,30500,62.90%,62.80%
30500,31000,70.60%,67.20%
31000,31500,60.40%,65.40%
31500,32000,64.20%,74.60%
32000,32500,51.80%,60.70%
32500,33000,65.90%,67.80%
33000,33500,61.50%,66.70%
33500,34000,65.40%,64.90%
34000,34500,58.40%,65.50%
34500,35000,63.80%,68.10%
35000,35500,62.00%,67.10%
35500,36000,59.50%,67.90%
36000,36500,67.80%,69.10%
36500,37000,62.60%,67.80%
37000,37500,59.80%,63.30%
37500,38000,56.50%,60.10%
38000,38500,66.30%,63.80%
38500,39000,59.80%,64.00%
39000,39500,59.50%,65.50%
39500,40000,54.30%,59.50%
40000,40500,52.20%,60.00%
40500,41000,53.50%,64.00%
41000,41500,51.10%,58.60%
41500,42000,62.40%,66.80%
42000,42500,67.00%,61.00%
42500,43000,65.10%,65.90%
43000,43500,58.90%,67.10%
43500,44000,62.40%,66.60%
44000,44500,63.60%,70.80%
44500,45000,64.00%,70.20%
45000,45500,64.10%,70.00%
45500,46000,66.00%,69.40%
46000,46500,58.50%,63.30%
46500,47000,65.20%,72.20%
47000,47500,60.40%,67.00%
47500,48000,52.30%,64.70%
48000,48500,55.60%,62.30%
48500,49000,60.80%,64.10%
49000,49500,63.00%,65.60%
49500,50000,64.70%,68.80%
0,1000,71.20%,84.30%
1000,2000,71.55%,73.90%
2000,3000,65.95%,67.05%
3000,4000,72.05%,79.75%
4000,5000,68.45%,71.70%
5000,6000,70.25%,72.80%
6000,7000,68.55%,72.80%
7000,8000,72.25%,76.80%
8000,9000,64.00%,70.20%
9000,10000,68.50%,75.55%
10000,11000,70.00%,76.80%
11000,12000,63.65%,69.35%
12000,13000,73.90%,75.55%
13000,14000,69.35%,73.00%
14000,15000,73.00%,79.55%
15000,16000,63.60%,70.50%
16000,17000,74.20%,78.15%
17000,18000,66.95%,74.65%
18000,19000,72.30%,77.30%
19000,20000,70.35%,76.40%
20000,21000,66.50%,73.30%
21000,22000,71.05%,75.15%
22000,23000,68.50%,72.65%
23000,24000,66.85%,73.25%
24000,25000,72.10%,74.70%
25000,26000,68.85%,73.90%
26000,27000,74.55%,76.20%
27000,28000,71.40%,73.55%
28000,29000,71.45%,79.70%
29000,30000,70.90%,77.10%
30000,31000,67.05%,70.75%
31000,32000,70.95%,77.20%
32000,33000,70.80%,75.55%
33000,34000,68.65%,68.45%
34000,35000,66.85%,72.40%
35000,36000,64.20%,68.20%
36000,37000,71.65%,76.30%
37000,38000,70.30%,74.50%
38000,39000,67.00%,70.10%
39000,40000,70.30%,76.35%
40000,41000,67.10%,71.20%
41000,42000,68.85%,73.75%
42000,43000,73.10%,76.40%
43000,44000,70.00%,74.20%
44000,45000,70.60%,76.60%
45000,46000,66.20%,74.25%
46000,47000,68.45%,76.50%
47000,48000,72.10%,75.10%
48000,49000,70.95%,75.30%
49000,50000,71.40%,76.80%
0,2000,78.17%,82.47%
2000,4000,74.47%,80.83%
4000,6000,77.12%,81.60%
6000,8000,78.20%,82.92%
8000,10000,75.53%,80.13%
10000,12000,76.03%,79.73%
12000,14000,74.70%,81.20%
14000,16000,73.75%,79.90%
16000,18000,75.87%,80.95%
18000,20000,77.57%,82.27%
20000,22000,74.58%,73.73%
22000,24000,75.45%,80.70%
24000,26000,78.10%,81.58%
26000,28000,79.75%,83.65%
28000,30000,75.67%,78.95%
30000,32000,76.85%,79.90%
32000,34000,68.15%,72.25%
34000,36000,77.73%,78.78%
36000,38000,73.13%,80.53%
38000,40000,78.38%,82.15%
40000,42000,75.22%,78.75%
42000,44000,78.33%,80.70%
44000,46000,77.60%,81.42%
46000,48000,74.10%,79.48%
48000,50000,72.88%,79.18%
0,5000,84.87%,75.83%
5000,10000,81.72%,79.00%
10000,15000,84.05%,84.32%
15000,20000,82.81%,83.46%
20000,25000,84.66%,85.90%
25000,30000,81.80%,83.69%
30000,35000,82.63%,82.03%
35000,40000,83.31%,84.70%
40000,45000,82.59%,83.26%
45000,50000,83.26%,82.80%
0,10000,85.57%,81.16%
10000,20000,85.47%,86.09%
20000,30000,83.70%,83.84%
30000,40000,84.54%,85.02%
40000,50000,84.11%,83.19%
0,12500,87.44%,79.21%
12500,25000,85.18%,86.06%
25000,37500,88.84%,86.06%
37500,50000,87.33%,83.84%
0,25000,85.88%,87.51%
25000,50000,85.68%,84.68%
0,50000,84.51%,86.64%
