start,end,normal_acc,aug_acc
0,500,59.20%,64.70%
500,1000,63.70%,66.50%
1000,1500,63.60%,68.60%
1500,2000,64.90%,74.60%
2000,2500,53.50%,62.30%
2500,3000,51.90%,62.10%
3000,3500,56.20%,64.00%
3500,4000,67.90%,73.90%
4000,4500,61.90%,67.40%
4500,5000,56.40%,60.20%
5000,5500,59.10%,63.00%
5500,6000,66.30%,70.00%
6000,6500,49.70%,62.00%
6500,7000,53.80%,60.70%
7000,7500,56.90%,71.30%
7500,8000,62.40%,65.20%
8000,8500,51.90%,54.60%
8500,9000,61.10%,61.40%
9000,9500,58.80%,62.30%
9500,10000,65.00%,71.10%
10000,10500,60.40%,66.30%
10500,11000,61.50%,60.40%
11000,11500,62.80%,63.90%
11500,12000,44.30%,52.90%
12000,12500,57.40%,60.00%
12500,13000,66.40%,59.60%
13000,13500,63.90%,69.40%
13500,14000,58.40%,63.10%
14000,14500,62.50%,64.60%
14500,15000,62.60%,66.50%
15000,15500,62.20%,67.50%
15500,16000,62.60%,60.00%
16000,16500,61.30%,62.80%
16500,17000,66.50%,61.90%
17000,17500,58.70%,59.50%
17500,18000,67.40%,70.60%
18000,18500,61.80%,61.80%
18500,19000,65.00%,68.90%
19000,19500,60.30%,67.20%
19500,20000,56.90%,57.60%
20000,20500,57.80%,71.30%
20500,21000,56.40%,58.30%
21000,21500,60.90%,64.50%
21500,22000,60.40%,67.00%
22000,22500,62.00%,62.40%
22500,23000,65.00%,68.90%
23000,23500,57.30%,64.70%
23500,24000,61.00%,61.80%
24000,24500,55.60%,65.90%
24500,25000,64.30%,68.40%
25000,25500,60.90%,69.40%
25500,26000,64.40%,63.60%
26000,26500,66.10%,74.70%
26500,27000,60.80%,67.10%
27000,27500,66.40%,70.40%
27500,28000,66.10%,67.40%
28000,28500,68.80%,74.00%
28500,29000,63.10%,68.00%
29000,29500,60.00%,57.40%
29500,30000,67.80%,70.40%
30000,30500,62.90%,64.20%
30500,31000,70.60%,70.20%
31000,31500,60.40%,65.80%
31500,32000,64.20%,71.00%
32000,32500,51.80%,53.90%
32500,33000,65.90%,72.30%
33000,33500,61.50%,66.90%
33500,34000,65.40%,67.30%
34000,34500,58.40%,70.40%
34500,35000,63.80%,63.80%
35000,35500,62.00%,65.80%
35500,36000,59.50%,69.70%
36000,36500,67.80%,72.70%
36500,37000,62.60%,63.80%
37000,37500,59.80%,61.10%
37500,38000,56.50%,60.40%
38000,38500,66.30%,65.80%
38500,39000,59.80%,64.30%
39000,39500,59.50%,60.00%
39500,40000,54.30%,49.50%
40000,40500,52.20%,63.40%
40500,41000,53.50%,60.50%
41000,41500,51.10%,62.10%
41500,42000,62.40%,66.20%
42000,42500,67.00%,64.30%
42500,43000,65.10%,67.40%
43000,43500,58.90%,65.10%
43500,44000,62.40%,69.30%
44000,44500,63.60%,73.70%
44500,45000,64.00%,68.10%
45000,45500,64.10%,71.90%
45500,46000,66.00%,66.80%
46000,46500,58.50%,64.70%
46500,47000,65.20%,73.60%
47000,47500,60.40%,65.80%
47500,48000,52.30%,58.40%
48000,48500,55.60%,58.70%
48500,49000,60.80%,65.30%
49000,49500,63.00%,62.00%
49500,50000,64.70%,65.00%
0,1000,71.20%,83.45%
1000,2000,71.55%,73.85%
2000,3000,65.95%,67.35%
3000,4000,72.05%,79.00%
4000,5000,68.45%,74.55%
5000,6000,70.25%,70.30%
6000,7000,68.55%,70.05%
7000,8000,72.25%,77.40%
8000,9000,64.00%,66.30%
9000,10000,68.50%,75.60%
10000,11000,70.00%,74.40%
11000,12000,63.65%,70.15%
12000,13000,73.90%,77.45%
13000,14000,69.35%,73.80%
14000,15000,73.00%,78.10%
15000,16000,63.60%,69.90%
16000,17000,74.20%,77.20%
17000,18000,66.95%,74.15%
18000,19000,72.30%,75.30%
19000,20000,70.35%,76.65%
20000,21000,66.50%,71.85%
21000,22000,71.05%,74.80%
22000,23000,68.50%,72.05%
23000,24000,66.85%,73.65%
24000,25000,72.10%,74.20%
25000,26000,68.85%,75.10%
26000,27000,74.55%,74.90%
27000,28000,71.40%,74.45%
28000,29000,71.45%,76.35%
29000,30000,70.90%,75.40%
30000,31000,67.05%,69.25%
31000,32000,70.95%,77.90%
32000,33000,70.80%,74.35%
33000,34000,68.65%,70.30%
34000,35000,66.85%,71.50%
35000,36000,64.20%,67.90%
36000,37000,71.65%,76.85%
37000,38000,70.30%,74.20%
38000,39000,67.00%,68.00%
39000,40000,70.30%,75.80%
40000,41000,67.10%,72.10%
41000,42000,68.85%,68.95%
42000,43000,73.10%,75.30%
43000,44000,70.00%,72.50%
44000,45000,70.60%,76.50%
45000,46000,66.20%,74.95%
46000,47000,68.45%,74.00%
47000,48000,72.10%,75.30%
48000,49000,70.95%,74.80%
49000,50000,71.40%,69.10%
0,2000,78.17%,82.05%
2000,4000,74.47%,80.10%
4000,6000,77.12%,81.08%
6000,8000,78.20%,83.25%
8000,10000,75.53%,79.35%
10000,12000,76.03%,79.73%
12000,14000,74.70%,80.23%
14000,16000,73.75%,79.48%
16000,18000,75.87%,80.68%
18000,20000,77.57%,81.12%
20000,22000,74.58%,73.75%
22000,24000,75.45%,79.05%
24000,26000,78.10%,81.25%
26000,28000,79.75%,83.47%
28000,30000,75.67%,78.60%
