start,end,normal_acc,aug_acc
0,500,64.90%,63.90%
500,1000,71.50%,74.80%
1000,1500,72.30%,72.90%
1500,2000,67.20%,72.00%
2000,2500,62.60%,66.70%
2500,3000,65.00%,66.40%
3000,3500,68.10%,65.70%
3500,4000,71.20%,71.80%
4000,4500,68.70%,72.50%
4500,5000,72.10%,67.00%
5000,5500,74.30%,72.60%
5500,6000,74.30%,73.00%
6000,6500,60.40%,73.00%
6500,7000,58.80%,63.90%
7000,7500,74.10%,79.20%
7500,8000,71.10%,70.70%
8000,8500,53.70%,63.30%
8500,9000,72.40%,75.20%
9000,9500,63.60%,68.20%
9500,10000,71.50%,73.50%
10000,10500,65.20%,65.80%
10500,11000,72.80%,77.10%
11000,11500,66.40%,67.00%
11500,12000,65.90%,67.50%
12000,12500,63.70%,61.60%
12500,13000,75.10%,72.80%
13000,13500,59.90%,62.90%
13500,14000,57.60%,60.10%
14000,14500,69.40%,76.70%
14500,15000,67.20%,69.10%
15000,15500,63.50%,66.70%
15500,16000,66.20%,70.50%
16000,16500,74.60%,74.60%
16500,17000,73.50%,73.30%
17000,17500,56.20%,62.30%
17500,18000,70.30%,73.90%
18000,18500,69.20%,74.50%
18500,19000,68.90%,67.50%
19000,19500,68.20%,72.20%
19500,20000,66.00%,64.70%
20000,20500,69.20%,70.20%
20500,21000,63.50%,63.80%
21000,21500,68.50%,69.90%
21500,22000,66.90%,70.00%
22000,22500,65.10%,67.60%
22500,23000,73.60%,72.70%
23000,23500,65.20%,70.50%
23500,24000,64.10%,70.40%
24000,24500,62.80%,63.00%
24500,25000,77.30%,78.10%
25000,25500,66.20%,66.40%
25500,26000,67.30%,70.40%
26000,26500,73.80%,76.20%
26500,27000,67.90%,69.50%
27000,27500,65.60%,71.60%
27500,28000,69.60%,73.50%
28000,28500,84.50%,84.50%
28500,29000,67.70%,68.90%
29000,29500,69.10%,71.80%
29500,30000,76.30%,76.40%
30000,30500,67.20%,65.80%
30500,31000,70.40%,71.70%
31000,31500,64.90%,69.90%
31500,32000,73.20%,75.90%
32000,32500,62.10%,62.50%
32500,33000,68.80%,72.50%
33000,33500,66.80%,68.80%
33500,34000,55.50%,74.30%
34000,34500,68.70%,69.20%
34500,35000,66.00%,74.50%
35000,35500,62.00%,66.10%
35500,36000,65.00%,68.80%
