,Normal,Aug
0˜500,64.90%,65.90%
500˜1000,71.50%,71.60%
1000˜1500,72.30%,75.60%
1500˜2000,67.20%,76.50%
2000˜2500,62.60%,65.60%
2500˜3000,65.00%,63.90%
3000˜3500,68.10%,67.90%
3500˜4000,71.20%,73.70%
4000˜4500,68.70%,74.40%
4500˜5000,72.10%,66.50%
5000˜5500,74.30%,71.90%
5500˜6000,74.30%,73.30%
6000˜6500,60.40%,67.56%
6500˜7000,58.80%,61.70%
7000˜7500,74.10%,78.10%
7500˜8000,71.10%,68.00%
8000˜8500,53.70%,55.40%
8500˜9000,72.40%,72.90%
9000˜9500,63.60%,68.40%
9500˜10000,71.50%,75.80%
10000˜10500,65.20%,66.90%
10500˜11000,72.80%,75.00%
11000˜11500,66.40%,68.90%
11500˜12000,65.90%,69.70%
12000˜12500,63.70%,65.40%
12500˜13000,75.10%,72.60%
13000˜13500,59.90%,61.90%
13500˜14000,57.60%,69.20%
14000˜14500,69.40%,76.60%
14500˜15000,67.20%,71.10%
15000˜15500,63.50%,66.30%
15500˜16000,66.20%,65.20%
16000˜16500,74.60%,75.60%
16500˜17000,73.50%,70.50%
17000˜17500,56.20%,60.40%
17500˜18000 ,70.30%,74.90%
18000˜18500,69.20%,70.10%
18500˜19000,68.90%,68.40%
19000˜19500,68.20%,70.90%
19500˜20000,66.00%,63.80%
20000˜20500,69.20%,71.90%
20500˜21000,63.50%,63.40%
21000˜21500,68.50%,70.70%
21500˜22000,66.90%,71.80%
22000˜22500,65.10%,70.10%
22500˜23000,73.60%,73.30%
23000˜23500,65.20%,70.60%
23500˜24000,64.10%,67.60%
24000˜24500,62.80%,65.50%
24500˜25000,77.30%,79.50%
25000˜25500,66.20%,69.20%
25500˜26000,67.30%,68.60%
26000˜26500,73.80%,76.30%
26500˜27000,67.90%,68.20%
27000˜27500 ,65.60%,72.80%
27500˜28000,69.60%,73.80%
28000˜28500,84.50%,82.30%
28500˜29000,67.70%,69.70%
29000˜29500 ,69.10%,68.30%
29500˜30000,76.30%,78.20%
30000˜30500 ,67.20%,67.50%
30500˜31000 ,70.40%,75.20%
31000˜31500,64.90%,70.60%
31500˜32000 ,73.20%,76.20%
32000˜32500,62.10%,63.10%
32500˜33000,68.80%,72.90%
33000˜33500,66.80%,67.30%
33500˜34000,55.50%,69.80%
34000˜34500,68.70%,69.20%
34500˜35000,66.00%,71.20%
35000˜35500,62.00%,66.00%
35500˜36000,65.00%,69.40%
36000˜36500,73.90%,74.40%
36500˜37000,70.70%,70.80%
37000˜37500,55.30%,62.00%
37500˜38000,60.80%,64.20%
38000˜38500,69.90%,69.70%
38500˜39000,65.50%,69.70%
39000˜39500 ,68.50%,69.10%
39500˜40000,70.20%,54.30%
40000˜40500,65.90%,65.40%
40500˜41000,64.50%,69.10%
41000˜41500,72.80%,75.10%
41500˜42000 ,71.90%,76.80%
42000˜42500 ,70.20%,75.00%
42500˜43000,69.10%,69.10%
43000˜43500,68.70%,70.40%
43500˜44000,73.80%,71.80%
44000˜44500,72.60%,70.40%
44500˜45000,72.00%,73.90%
45000˜45500,68.80%,73.50%
45500˜46000 ,70.80%,70.80%
46000˜46500,65.10%,70.10%
46500˜47000,76.20%,77.40%
47000˜47500,68.60%,72.00%
47500˜48000 ,68.00%,64.60%
48000˜48500,65.40%,64.00%
48500˜49000,67.70%,69.40%
49000˜49500 ,68.80%,68.40%
49500˜50000,73.10%,68.40%
,68.01%,69.98%
,,
,,
0˜1000,78.80%,80.95%
1000˜2000,73.80%,74.70%
2000~3000,68.00%,68.45%
3000~4000,72.50%,72.95%
4000~5000 ,73.00%,73.10%
5000~6000 ,72.80%,70.30%
6000~7000,67.50%,66.60%
7000~8000,77.90%,77.20%
8000~9000,66.55%,68.20%
9000~10000,75.00%,74.05%
10000~11000,76.25%,73.65%
11000~12000,68.45%,71.30%
12000~13000 ,76.80%,77.65%
13000~14000,71.60%,70.95%
14000~15000,80.35%,78.25%
15000~16000,70.70%,71.15%
16000~17000,73.55%,73.95%
17000~18000,67.20%,71.15%
18000~19000,75.50%,73.20%
19000~20000,73.50%,74.40%
20000~21000,68.30%,71.25%
21000~22000,72.00%,75.15%
22000~23000,73.30%,71.40%
23000~24000,73.40%,73.10%
24000~25000,76.80%,75.45%
25000~26000,73.20%,75.45%
26000~27000,75.55%,71.90%
27000~28000 ,74.40%,76.55%
28000~29000,77.40%,77.10%
29000~30000,76.50%,77.15%
30000~31000,66.00%,69.65%
31000~32000 ,74.30%,73.45%
32000~33000,76.15%,76.35%
33000~34000,71.80%,70.25%
34000~35000,72.30%,73.45%
35000~36000,66.75%,68.30%
36000~37000,75.65%,72.85%
37000~38000,70.40%,71.70%
38000~39000,74.25%,69.45%
39000~40000 ,74.70%,77.00%
40000~41000,74.40%,72.45%
41000~42000,72.05%,72.70%
42000~43000,76.95%,77.40%
43000~44000,74.15%,72.55%
44000~45000 ,77.75%,78.20%
45000~46000,70.45%,76.35%
46000~47000,75.20%,74.85%
47000~48000,78.65%,78.15%
48000~49000,74.80%,75.05%
49000~50000,78.95%,75.10%
,73.53%,73.64%
,,
,,
0˜2000,,
2000˜4000,,
4000˜6000,,
6000˜8000,,
8000˜10000,,
10000˜12000,,
12000˜14000,,
14000˜16000,,
16000˜18000,,
18000˜20000 ,,
20000˜22000 ,,
22000~24000,,
24000~26000,,
26000~28000,,
28000~30000,,
30000~32000,,
32000~34000 ,,
34000~36000 ,,
36000~38000,,
38000~40000,,
40000~42000,,
42000~44000,,
44000~46000,,
46000~48000,,
48000~50000,,
,,
,,
,,
0˜5000,,
5000˜10000,,
10000˜15000,,
15000˜20000,,
20000˜25000,,
25000˜30000,,
30000˜35000,,
35000˜40000 ,,
40000˜45000,,
45000˜50000,,
,,
,,
,,
0˜10000,,
10000˜20000,,
20000˜30000,,
30000˜40000,,
40000˜50000,,
,,
,,
,,
0˜12500,,
12500˜25000,,
25000˜37500,,
37500˜50000 ,,
,,
,,
,,
0˜25000,,
25000˜50000 ,,
,,
,,
,,
0˜50000,,
